CUCUÍ	-66.853	1.215
     9    10  1984     4502.130000
    10    10  1984     4479.800000
    11    10  1984     4435.210000
    12    10  1984     4435.210000
    13    10  1984     4502.130000
    14    10  1984     4569.300000
    15    10  1984     4693.050000
    16    10  1984     4715.630000
    17    10  1984     4715.630000
    18    10  1984     4760.880000
    19    10  1984     4806.230000
    20    10  1984     4840.310000
    21    10  1984     4863.060000
    22    10  1984     4863.060000
    23    10  1984     4897.230000
    24    10  1984     4897.230000
    25    10  1984     4885.830000
    26    10  1984     4863.060000
    27    10  1984     4772.210000
    28    10  1984     4636.700000
    29    10  1984     4513.310000
    30    10  1984     4479.800000
    31    10  1984     4435.210000
     1    11  1984     4346.340000
     2    11  1984     4302.070000
     3    11  1984     4268.940000
     4    11  1984     4169.920000
     5    11  1984     4006.110000
     6    11  1984     3833.130000
     7    11  1984     3683.290000
     8    11  1984     3651.360000
     9    11  1984     3704.610000
    10    11  1984     3768.740000
    11    11  1984     3800.900000
    12    11  1984     3758.030000
    13    11  1984     3800.900000
    14    11  1984     3854.660000
    15    11  1984     3886.990000
    16    11  1984     3919.400000
    17    11  1984     3984.390000
    18    11  1984     4093.280000
    19    11  1984     4202.860000
    20    11  1984     4302.070000
    21    11  1984     4468.640000
    22    11  1984     4636.700000
    23    11  1984     4783.540000
    24    11  1984     4885.830000
    25    11  1984     4942.890000
    26    11  1984     4954.310000
    27    11  1984     4931.460000
    28    11  1984     4977.190000
    29    11  1984     4988.640000
    30    11  1984     4908.640000
     1    12  1984     4749.560000
     2    12  1984     4569.300000
     3    12  1984     4335.270000
     4    12  1984     4115.140000
     5    12  1984     3930.210000
     6    12  1984     3747.330000
     7    12  1984     3608.900000
     8    12  1984     3450.730000
     9    12  1984     3346.240000
    10    12  1984     3242.510000
    11    12  1984     3221.860000
    12    12  1984     3232.180000
    13    12  1984     3180.650000
    14    12  1984     3088.400000
    15    12  1984     2956.300000
    16    12  1984     2825.590000
    17    12  1984     2726.010000
    18    12  1984     2656.820000
    19    12  1984     2696.310000
    20    12  1984     2835.590000
    21    12  1984     3078.190000
    22    12  1984     3232.180000
    23    12  1984     3693.940000
    24    12  1984     4006.110000
    25    12  1984     4224.860000
    26    12  1984     4412.950000
    27    12  1984     4580.520000
    28    12  1984     4681.770000
    29    12  1984     4840.310000
    30    12  1984     5023.020000
    31    12  1984     5265.260000
     1     1  1985     5451.620000
     2     1  1985     5545.380000
     3     1  1985     5580.640000
     4     1  1985     5568.880000
     5     1  1985     5521.910000
     6     1  1985     5451.620000
     7     1  1985     5311.700000
     8     1  1985     5207.340000
     9     1  1985     4977.190000
    10     1  1985     4851.680000
    11     1  1985     4602.970000
    12     1  1985     4213.860000
    13     1  1985     3951.860000
    14     1  1985     3693.940000
    15     1  1985     3492.750000
    16     1  1985     3377.500000
    17     1  1985     3180.650000
    18     1  1985     3149.830000
    19     1  1985     3047.600000
    20     1  1985     2976.530000
    21     1  1985     2865.660000
    22     1  1985     2735.930000
    23     1  1985     2588.060000
    24     1  1985     2413.230000
    25     1  1985     2317.390000
    26     1  1985     2222.470000
    27     1  1985     2128.520000
    28     1  1985     2072.610000
    29     1  1985     1934.430000
    30     1  1985     1888.870000
    31     1  1985     1816.530000
     1     2  1985     1744.870000
     2     2  1985     1684.860000
     3     2  1985     1642.280000
     4     2  1985     1600.020000
     5     2  1985     1541.380000
     6     2  1985     1475.140000
     7     2  1985     1393.520000
     8     2  1985     1313.250000
     9     2  1985     1242.180000
    10     2  1985     1195.430000
    11     2  1985     1164.560000
    12     2  1985     1156.870000
