FAZENDAPASSARÃO	-60.571	3.208
    17     5  1984     1480.180000
    18     5  1984     1573.680000
    19     5  1984     1546.770000
    20     5  1984     1427.590000
    21     5  1984     1252.230000
    22     5  1984     1085.360000
    23     5  1984     1085.360000
    24     5  1984     1324.300000
    25     5  1984     1662.150000
    26     5  1984     1780.200000
    27     5  1984     1944.060000
    28     5  1984     2097.710000
    29     5  1984     2431.710000
    30     5  1984     2541.310000
    31     5  1984     2533.430000
     1     6  1984     2308.400000
     2     6  1984     1951.290000
     3     6  1984     2031.390000
     4     6  1984     2172.200000
     5     6  1984     2331.360000
     6     6  1984     3053.500000
     7     6  1984     3394.210000
     8     6  1984     3613.040000
     9     6  1984     3719.650000
    10     6  1984     3710.730000
    11     6  1984     3613.040000
    12     6  1984     3045.130000
    13     6  1984     2486.310000
    14     6  1984     2024.070000
    15     6  1984     1944.060000
    16     6  1984     1994.850000
    17     6  1984     2097.710000
    18     6  1984     2224.850000
    19     6  1984     2105.120000
    20     6  1984     1908.040000
    21     6  1984     2038.720000
    22     6  1984     2879.380000
    23     6  1984     3003.410000
    24     6  1984     3179.890000
    25     6  1984     3420.240000
    26     6  1984     3710.730000
    27     6  1984     3684.000000
    28     6  1984     3551.320000
    29     6  1984     3171.410000
    30     6  1984     2953.590000
     1     7  1984     2604.640000
     2     7  1984     2172.200000
     3     7  1984     2194.710000
     4     7  1984     2285.510000
     5     7  1984     2416.180000
     6     7  1984     2362.090000
     7     7  1984     2179.700000
     8     7  1984     2009.440000
     9     7  1984     2262.700000
    10     7  1984     2580.830000
    11     7  1984     2716.680000
    12     7  1984     2757.070000
    13     7  1984     2588.760000
    14     7  1984     2255.110000
    15     7  1984     2157.230000
    16     7  1984     2323.700000
    17     7  1984     2416.180000
    18     7  1984     2331.360000
    19     7  1984     2565.000000
    20     7  1984     2692.540000
    21     7  1984     2781.390000
    22     7  1984     2660.470000
    23     7  1984     2308.400000
    24     7  1984     2217.300000
    25     7  1984     2400.690000
    26     7  1984     2557.090000
    27     7  1984     2830.250000
    28     7  1984     3095.440000
    29     7  1984     3265.070000
    30     7  1984     3463.750000
    31     7  1984     3657.340000
     1     8  1984     3719.650000
     2     8  1984     3701.810000
     3     8  1984     3524.980000
     4     8  1984     3282.200000
     5     8  1984     3036.770000
     6     8  1984     2846.590000
     7     8  1984     2509.840000
     8     8  1984     2187.200000
     9     8  1984     2112.540000
    10     8  1984     1987.570000
    11     8  1984     1973.030000
    12     8  1984     1951.290000
    13     8  1984     1994.850000
    14     8  1984     2331.360000
    15     8  1984     2580.830000
    16     8  1984     2644.480000
    17     8  1984     2572.910000
    18     8  1984     2604.640000
    19     8  1984     2509.840000
    20     8  1984     2255.110000
    21     8  1984     2149.760000
    22     8  1984     2053.420000
    23     8  1984     1951.290000
    24     8  1984     1808.360000
    25     8  1984     2533.430000
    26     8  1984     2781.390000
    27     8  1984     2970.170000
    28     8  1984     3129.130000
    29     8  1984     3179.890000
    30     8  1984     3256.520000
    31     8  1984     3325.140000
     1     9  1984     3368.260000
     2     9  1984     3368.260000
     3     9  1984     3342.360000
     4     9  1984     3299.350000
     5     9  1984     3230.910000
     6     9  1984     3120.700000
     7     9  1984     2628.520000
     8     9  1984     2533.430000
     9     9  1984     2316.050000
    10     9  1984     2179.700000
    11     9  1984     2478.490000
    12     9  1984     2830.250000
    13     9  1984     2945.320000
    14     9  1984     2692.540000
    15     9  1984     2285.510000
    16     9  1984     2112.540000
    17     9  1984     1822.490000
    18     9  1984     1580.430000
    19     9  1984     1453.810000
    20     9  1984     1473.570000
    21     9  1984     1493.420000
    22     9  1984     1434.130000
    23     9  1984     1408.030000
    24     9  1984     1330.680000
    25     9  1984     1311.570000
    26     9  1984     1281.660000
    27     9  1984     1211.340000
    28     9  1984     1130.720000
    29     9  1984     1074.100000
    30     9  1984      990.707000
     1    10  1984      925.368000
     2    10  1984      903.867000
