GUAJARÁ-MIRIM	-65.348	-10.793
     8     4  1984    20039.000000
     9     4  1984    20190.500000
    10     4  1984    20342.400000
    11     4  1984    20456.700000
    12     4  1984    20571.200000
    13     4  1984    20762.500000
    14     4  1984    20916.200000
    15     4  1984    20954.600000
    16     4  1984    21031.700000
    17     4  1984    21147.400000
    18     4  1984    21224.800000
    19     4  1984    21263.500000
    20     4  1984    21302.200000
    21     4  1984    21302.200000
    22     4  1984    21341.000000
    23     4  1984    21379.700000
    24     4  1984    21418.600000
    25     4  1984    21457.400000
    26     4  1984    21496.300000
    27     4  1984    21535.200000
    28     4  1984    21535.200000
    29     4  1984    21535.200000
    30     4  1984    21535.200000
     1     5  1984    21535.200000
     2     5  1984    21535.200000
     3     5  1984    21535.200000
     4     5  1984    21535.200000
     5     5  1984    21496.300000
     6     5  1984    21457.400000
     7     5  1984    21418.600000
     8     5  1984    21418.600000
     9     5  1984    21418.600000
    10     5  1984    21379.700000
    11     5  1984    21302.200000
    12     5  1984    21224.800000
    13     5  1984    21147.400000
    14     5  1984    20993.100000
    15     5  1984    20916.200000
    16     5  1984    20839.300000
    17     5  1984    20762.500000
    18     5  1984    20609.400000
    19     5  1984    20533.000000
    20     5  1984    20380.500000
    21     5  1984    20266.400000
    22     5  1984    20114.700000
    23     5  1984    20001.300000
    24     5  1984    19850.400000
    25     5  1984    19699.900000
    26     5  1984    19549.900000
    27     5  1984    19363.100000
    28     5  1984    19214.200000
    29     5  1984    19065.700000
    30     5  1984    18843.800000
    31     5  1984    18659.700000
     1     6  1984    18439.800000
     2     6  1984    18220.900000
     3     6  1984    18003.000000
     4     6  1984    17822.300000
     5     6  1984    17570.400000
     6     6  1984    17320.000000
     7     6  1984    17071.100000
     8     6  1984    16788.300000
     9     6  1984    16577.500000
    10     6  1984    16298.100000
    11     6  1984    16020.500000
    12     6  1984    15573.600000
    13     6  1984    15335.100000
    14     6  1984    15098.000000
    15     6  1984    14862.400000
    16     6  1984    14495.200000
    17     6  1984    14263.400000
    18     6  1984    13934.900000
    19     6  1984    13609.400000
    20     6  1984    13319.200000
    21     6  1984    12967.800000
    22     6  1984    12651.600000
    23     6  1984    12338.600000
    24     6  1984    11936.400000
    25     6  1984    11630.600000
    26     6  1984    11328.000000
    27     6  1984    11028.600000
    28     6  1984    10791.400000
    29     6  1984    10468.600000
    30     6  1984    10207.500000
     1     7  1984     9948.960000
     2     7  1984     9664.830000
     3     7  1984     9439.900000
     4     7  1984     9189.390000
     5     7  1984     8996.410000
     6     7  1984     8805.080000
     7     7  1984     8588.430000
     8     7  1984     8400.640000
     9     7  1984     8214.510000
    10     7  1984     7977.660000
    11     7  1984     7795.360000
    12     7  1984     7589.090000
    13     7  1984     7385.030000
    14     7  1984     7158.130000
    15     7  1984     6909.350000
    16     7  1984     6712.870000
    17     7  1984     6518.660000
    18     7  1984     6350.600000
    19     7  1984     6207.960000
    20     7  1984     6113.580000
    21     7  1984     6019.780000
    22     7  1984     5949.810000
    23     7  1984     5833.920000
    24     7  1984     5696.060000
    25     7  1984     5559.520000
    26     7  1984     5424.310000
    27     7  1984     5290.440000
    28     7  1984     5135.940000
    29     7  1984     5026.710000
    30     7  1984     4853.900000
    31     7  1984     4683.520000
     1     8  1984     4494.760000
     2     8  1984     4288.680000
     3     8  1984     4086.490000
     4     8  1984     3849.040000
     5     8  1984     3655.530000
     6     8  1984     3466.030000
     7     8  1984     3280.580000
     8     8  1984     3117.180000
     9     8  1984     2989.080000
    10     8  1984     2867.090000
    11     8  1984     2733.870000
