CURICURIARI	-66.801	-0.200
     1    12  1984     9584.020000
     2    12  1984     9658.860000
     3    12  1984     9733.900000
     4    12  1984     9683.850000
     5    12  1984     9608.940000
     6    12  1984     9534.230000
     7    12  1984     9434.920000
     8    12  1984     9335.950000
     9    12  1984     9360.660000
    10    12  1984     9335.950000
    11    12  1984     9261.950000
    12    12  1984     9237.330000
    13    12  1984     9237.330000
    14    12  1984     9139.060000
    15    12  1984     8797.890000
    16    12  1984     8484.990000
    17    12  1984     8270.590000
    18    12  1984     8270.590000
    19    12  1984     8175.890000
    20    12  1984     7964.150000
    21    12  1984     8081.550000
    22    12  1984     8461.080000
    23    12  1984     9016.720000
    24    12  1984     9509.370000
    25    12  1984     9909.730000
    26    12  1984    10290.000000
    27    12  1984    10830.400000
    28    12  1984    11751.300000
    29    12  1984    12560.300000
    30    12  1984    13248.100000
    31    12  1984    13948.000000
     1     1  1985    14602.400000
     2     1  1985    14918.900000
     3     1  1985    15237.600000
     4     1  1985    15500.100000
     5     1  1985    15705.300000
     6     1  1985    15617.200000
     7     1  1985    15412.400000
     8     1  1985    15383.300000
     9     1  1985    15441.600000
    10     1  1985    15121.500000
    11     1  1985    14918.900000
    12     1  1985    14345.100000
    13     1  1985    13554.600000
    14     1  1985    12751.700000
    15     1  1985    11938.500000
    16     1  1985    11300.900000
    17     1  1985    10649.300000
    18     1  1985    10264.500000
    19     1  1985     9784.030000
    20     1  1985     9090.060000
    21     1  1985     8580.870000
    22     1  1985     8081.550000
    23     1  1985     7847.310000
    24     1  1985     7523.260000
    25     1  1985     7226.460000
    26     1  1985     6956.050000
    27     1  1985     6733.350000
    28     1  1985     6447.470000
    29     1  1985     6101.350000
    30     1  1985     5867.110000
    31     1  1985     5594.240000
     1     2  1985     5264.420000
     2     2  1985     5001.400000
     3     2  1985     4749.730000
     4     2  1985     4527.710000
     5     2  1985     4290.850000
     6     2  1985     3951.670000
     7     2  1985     3689.930000
     8     2  1985     3552.570000
     9     2  1985     3450.590000
    10     2  1985     3501.470000
    11     2  1985     3638.240000
    12     2  1985     3724.520000
    13     2  1985     3793.980000
    14     2  1985     3828.850000
    15     2  1985     3811.400000
    16     2  1985     3776.580000
    17     2  1985     3741.850000
    18     2  1985     3689.930000
    19     2  1985     3586.760000
    20     2  1985     3501.470000
    21     2  1985     3366.290000
    22     2  1985     3265.970000
    23     2  1985     3232.740000
    24     2  1985     3199.600000
    25     2  1985     3282.630000
    26     2  1985     3332.750000
    27     2  1985     3316.020000
    28     2  1985     3416.800000
     1     3  1985     3249.340000
     2     3  1985     3133.650000
     3     3  1985     3051.790000
     4     3  1985     3084.450000
     5     3  1985     3199.600000
     6     3  1985     3399.940000
     7     3  1985     3586.760000
     8     3  1985     3724.520000
     9     3  1985     3793.980000
    10     3  1985     3828.850000
    11     3  1985     3951.670000
    12     3  1985     4004.660000
    13     3  1985     4075.650000
    14     3  1985     4004.660000
    15     3  1985     3881.340000
    16     3  1985     3707.210000
    17     3  1985     3552.570000
    18     3  1985     3349.510000
    19     3  1985     3133.650000
    20     3  1985     3019.230000
    21     3  1985     3051.790000
    22     3  1985     3002.990000
    23     3  1985     3051.790000
    24     3  1985     3133.650000
    25     3  1985     3150.100000
    26     3  1985     3150.100000
    27     3  1985     3133.650000
    28     3  1985     3100.830000
    29     3  1985     3150.100000
    30     3  1985     3249.340000
    31     3  1985     3316.020000
     1     4  1985     3518.480000
     2     4  1985     3741.850000
     3     4  1985     3934.050000
     4     4  1985     4093.450000
     5     4  1985     4272.790000
     6     4  1985     4345.170000
     7     4  1985     4363.320000
     8     4  1985     4345.170000
     9     4  1985     4308.930000
    10     4  1985     4290.850000
    11     4  1985     4272.790000
    12     4  1985     4200.780000
    13     4  1985     4040.110000
    14     4  1985     3863.820000
    15     4  1985     3621.060000
    16     4  1985     3383.100000
    17     4  1985     3133.650000
    18     4  1985     3002.990000
    19     4  1985     2778.420000
    20     4  1985     2512.940000
    21     4  1985     2360.590000
    22     4  1985     2255.670000
    23     4  1985     2211.150000
    24     4  1985     2181.620000
    25     4  1985     2225.960000
    26     4  1985     2390.830000
    27     4  1985     2636.870000
    28     4  1985     2938.290000
    29     4  1985     3282.630000
    30     4  1985     3724.520000
     1     5  1985     4218.740000
     2     5  1985     4582.910000
     3     5  1985     4901.440000
     4     5  1985     5122.230000
     5     5  1985     5284.840000
     6     5  1985     5387.320000
     7     5  1985     5490.460000
     8     5  1985     5909.470000
     9     5  1985     6600.890000
    10     5  1985     7317.360000
    11     5  1985     8152.270000
    12     5  1985     8919.240000
    13     5  1985     9509.370000
    14     5  1985     9960.160000
    15     5  1985    10137.300000
    16     5  1985    10341.100000
    17     5  1985    10417.900000
    18     5  1985    10571.900000
    19     5  1985    10804.500000
    20     5  1985    11169.500000
    21     5  1985    11565.100000
    22     5  1985    11858.100000
    23     5  1985    11965.300000
    24     5  1985    12045.900000
    25     5  1985    12207.500000
    26     5  1985    12560.300000
    27     5  1985    12888.900000
    28     5  1985    13303.600000
    29     5  1985    13694.600000
    30     5  1985    14202.900000
    31     5  1985    14688.500000
     1     6  1985    14947.800000
     2     6  1985    15179.500000
     3     6  1985    15529.400000
     4     6  1985    16177.600000
     5     6  1985    17015.300000
     6     6  1985    17775.100000
     7     6  1985    18545.800000
     8     6  1985    19421.900000
     9     6  1985    20343.400000
    10     6  1985    21019.500000
    11     6  1985    21539.600000
    12     6  1985    22063.800000
    13     6  1985    22228.500000
    14     6  1985    22294.500000
    15     6  1985    22393.600000
    16     6  1985    22360.600000
    17     6  1985    22327.500000
    18     6  1985    22327.500000
    19     6  1985    22327.500000
    20     6  1985    22261.500000
    21     6  1985    22162.600000
    22     6  1985    22063.800000
    23     6  1985    21965.200000
    24     6  1985    21932.400000
    25     6  1985    21866.700000
    26     6  1985    21899.500000
    27     6  1985    21866.700000
    28     6  1985    21409.100000
    29     6  1985    21344.000000
    30     6  1985    21279.000000
     1     7  1985    20793.300000
     2     7  1985    20632.200000
     3     7  1985    20535.800000
     4     7  1985    20471.600000
     5     7  1985    20375.400000
     6     7  1985    20311.400000
     7     7  1985    20311.400000
     8     7  1985    20215.400000
     9     7  1985    20119.700000
    10     7  1985    20119.700000
    11     7  1985    20024.000000
    12     7  1985    19896.800000
    13     7  1985    19769.800000
    14     7  1985    19548.200000
    15     7  1985    19485.000000
    16     7  1985    19453.400000
    17     7  1985    19421.900000
    18     7  1985    19390.400000
    19     7  1985    19485.000000
    20     7  1985    19801.500000
    21     7  1985    20151.600000
    22     7  1985    20567.900000
    23     7  1985    20922.500000
    24     7  1985    21116.700000
    25     7  1985    21246.500000
    26     7  1985    21474.300000
    27     7  1985    21801.200000
    28     7  1985    21932.400000
    29     7  1985    21899.500000
    30     7  1985    21932.400000
    31     7  1985    21998.100000
     1     8  1985    21735.700000
     2     8  1985    21506.900000
     3     8  1985    21279.000000
     4     8  1985    20954.800000
     5     8  1985    20696.600000
     6     8  1985    20567.900000
     7     8  1985    20375.400000
     8     8  1985    20247.400000
     9     8  1985    20183.500000
    10     8  1985    20151.600000
    11     8  1985    20215.400000
    12     8  1985    20664.400000
    13     8  1985    20890.100000
    14     8  1985    20890.100000
    15     8  1985    20922.500000
    16     8  1985    20857.900000
    17     8  1985    20728.800000
    18     8  1985    20632.200000
    19     8  1985    20375.400000
    20     8  1985    20119.700000
    21     8  1985    19992.200000
    22     8  1985    19960.400000
    23     8  1985    19928.500000
    24     8  1985    19928.500000
    25     8  1985    19833.200000
    26     8  1985    19801.500000
    27     8  1985    19769.800000
    28     8  1985    19674.700000
    29     8  1985    19643.000000
    30     8  1985    19611.400000
    31     8  1985    19548.200000
     1     9  1985    19358.900000
     2     9  1985    19264.500000
     3     9  1985    19201.600000
     4     9  1985    19076.100000
     5     9  1985    18670.100000
     6     9  1985    18919.600000
     7     9  1985    19044.800000
     8     9  1985    19170.200000
     9     9  1985    19264.500000
    10     9  1985    19201.600000
    11     9  1985    19044.800000
    12     9  1985    18825.900000
    13     9  1985    18576.900000
    14     9  1985    18298.000000
    15     9  1985    17805.700000
    16     9  1985    17500.300000
    17     9  1985    17136.100000
    18     9  1985    16744.500000
    19     9  1985    16385.700000
    20     9  1985    15970.400000
