MANACAPURU	-60.609	-3.308
    29     7  1984   128589.000000
    30     7  1984   128076.000000
    31     7  1984   127666.000000
     1     8  1984   127053.000000
     2     8  1984   126644.000000
     3     8  1984   126135.000000
     4     8  1984   125626.000000
     5     8  1984   125016.000000
     6     8  1984   124509.000000
     7     8  1984   123901.000000
     8     8  1984   123294.000000
     9     8  1984   122588.000000
    10     8  1984   121984.000000
    11     8  1984   121180.000000
    12     8  1984   120578.000000
    13     8  1984   119978.000000
    14     8  1984   119179.000000
    15     8  1984   118382.000000
    16     8  1984   117587.000000
    17     8  1984   116795.000000
    18     8  1984   115905.000000
    19     8  1984   115116.000000
    20     8  1984   114134.000000
    21     8  1984   113252.000000
    22     8  1984   112275.000000
    23     8  1984   111301.000000
    24     8  1984   110234.000000
    25     8  1984   109267.000000
    26     8  1984   108207.000000
    27     8  1984   107247.000000
    28     8  1984   106099.000000
    29     8  1984   105106.000000
    30     8  1984   104372.000000
    31     8  1984   103566.000000
     1     9  1984   102689.000000
     2     9  1984   101888.000000
     3     9  1984   101235.000000
     4     9  1984   100583.000000
     5     9  1984    99860.400000
     6     9  1984    99140.000000
     7     9  1984    98278.100000
     8     9  1984    97562.200000
     9     9  1984    96848.200000
    10     9  1984    96278.400000
    11     9  1984    95497.200000
    12     9  1984    94930.500000
    13     9  1984    94294.600000
    14     9  1984    93589.900000
    15     9  1984    92887.300000
    16     9  1984    91976.900000
    17     9  1984    91418.300000
    18     9  1984    90722.000000
    19     9  1984    89958.400000
    20     9  1984    89197.400000
    21     9  1984    88438.700000
    22     9  1984    87751.300000
    23     9  1984    86929.000000
    24     9  1984    86314.300000
    25     9  1984    85633.200000
    26     9  1984    84954.200000
    27     9  1984    84277.200000
    28     9  1984    83535.000000
    29     9  1984    82862.500000
    30     9  1984    82192.000000
     1    10  1984    81457.000000
     2    10  1984    80591.500000
     3    10  1984    79795.800000
     4    10  1984    79003.100000
     5    10  1984    78213.400000
     6    10  1984    77426.900000
     7    10  1984    76578.200000
     8    10  1984    75603.400000
     9    10  1984    74956.200000
    10    10  1984    74053.700000
    11    10  1984    73411.700000
    12    10  1984    72644.100000
    13    10  1984    72070.400000
    14    10  1984    71435.000000
    15    10  1984    70928.300000
    16    10  1984    70296.800000
    17    10  1984    69919.000000
    18    10  1984    69604.700000
    19    10  1984    69291.000000
    20    10  1984    68977.800000
    21    10  1984    68602.700000
    22    10  1984    68477.900000
    23    10  1984    68228.400000
    24    10  1984    68103.800000
    25    10  1984    67979.300000
    26    10  1984    67854.900000
    27    10  1984    67792.700000
    28    10  1984    67854.900000
    29    10  1984    67917.100000
    30    10  1984    67979.300000
    31    10  1984    67979.300000
     1    11  1984    68228.400000
     2    11  1984    68477.900000
     3    11  1984    68602.700000
     4    11  1984    68790.200000
     5    11  1984    69040.400000
     6    11  1984    69353.700000
     7    11  1984    69604.700000
     8    11  1984    69981.900000
     9    11  1984    70296.800000
    10    11  1984    70612.300000
    11    11  1984    70801.800000
    12    11  1984    70991.500000
    13    11  1984    71118.100000
    14    11  1984    71371.600000
    15    11  1984    71435.000000
    16    11  1984    71498.500000
    17    11  1984    71371.600000
    18    11  1984    71244.800000
    19    11  1984    71118.100000
    20    11  1984    70991.500000
    21    11  1984    70801.800000
    22    11  1984    70486.000000
    23    11  1984    70044.800000
    24    11  1984    69793.200000
    25    11  1984    69479.200000
    26    11  1984    69353.700000
