GAVIÃO	-66.849	-4.839
    31     7  1984     1455.440000
     1     8  1984     1418.980000
     2     8  1984     1394.960000
     3     8  1984     1377.090000
     4     8  1984     1362.290000
     5     8  1984     1353.460000
     6     8  1984     1324.230000
     7     8  1984     1295.350000
     8     8  1984     1278.190000
     9     8  1984     1238.640000
    10     8  1984     1210.800000
    11     8  1984     1188.790000
    12     8  1984     1161.570000
    13     8  1984     1150.780000
    14     8  1984     1142.730000
    15     8  1984     1124.050000
    16     8  1984     1081.990000
    17     8  1984     1069.030000
    18     8  1984     1053.580000
    19     8  1984     1040.810000
    20     8  1984     1028.120000
    21     8  1984     1015.510000
    22     8  1984     1000.500000
    23     8  1984      983.130000
    24     8  1984      965.940000
    25     8  1984      951.330000
    26     8  1984      941.660000
    27     8  1984      936.840000
    28     8  1984      932.040000
    29     8  1984      929.650000
    30     8  1984      927.260000
    31     8  1984      917.720000
     1     9  1984      908.240000
     2     9  1984      901.160000
     3     9  1984      898.810000
     4     9  1984      898.810000
     5     9  1984      898.810000
     6     9  1984      903.520000
     7     9  1984      910.600000
     8     9  1984      917.720000
     9     9  1984      922.480000
    10     9  1984      936.840000
    11     9  1984      936.840000
    12     9  1984      936.840000
    13     9  1984      936.840000
    14     9  1984      941.660000
    15     9  1984      944.070000
    16     9  1984      951.330000
    17     9  1984      956.190000
    18     9  1984      965.940000
    19     9  1984      970.830000
    20     9  1984      975.740000
    21     9  1984      980.670000
    22     9  1984      975.740000
    23     9  1984      970.830000
    24     9  1984      970.830000
    25     9  1984      968.390000
    26     9  1984      965.940000
    27     9  1984      965.940000
    28     9  1984      968.390000
    29     9  1984      965.940000
    30     9  1984      961.060000
     1    10  1984      956.190000
     2    10  1984      946.490000
     3    10  1984      951.330000
     4    10  1984      956.190000
     5    10  1984      961.060000
     6    10  1984      970.830000
     7    10  1984      990.560000
     8    10  1984     1010.490000
     9    10  1984     1040.810000
    10    10  1984     1087.200000
    11    10  1984     1113.450000
    12    10  1984     1118.740000
    13    10  1984     1113.450000
    14    10  1984     1108.170000
    15    10  1984     1105.540000
    16    10  1984     1102.910000
    17    10  1984     1097.660000
    18    10  1984     1092.420000
    19    10  1984     1089.810000
    20    10  1984     1087.200000
    21    10  1984     1081.990000
    22    10  1984     1076.790000
    23    10  1984     1087.200000
    24    10  1984     1108.170000
    25    10  1984     1140.050000
    26    10  1984     1205.280000
    27    10  1984     1295.350000
    28    10  1984     1400.940000
