FLORIANOPEIXOTO	-67.368	-9.051
    20     9  1984       63.720000
    21     9  1984       66.730000
    22     9  1984       70.840000
    23     9  1984       76.140000
    24     9  1984       76.140000
    25     9  1984       75.070000
    26     9  1984       80.510000
    27     9  1984       91.910000
    28     9  1984       97.870000
    29     9  1984      102.760000
    30     9  1984      111.570000
     1    10  1984      111.570000
     2    10  1984      105.240000
     3    10  1984       95.470000
     4    10  1984       88.420000
     5    10  1984       81.620000
     6    10  1984       76.140000
     7    10  1984       71.890000
     8    10  1984       69.800000
     9    10  1984       71.890000
    10    10  1984       77.770000
    11    10  1984       88.420000
    12    10  1984       97.870000
    13    10  1984      106.500000
    14    10  1984      116.760000
    15    10  1984      126.090000
    16    10  1984      135.750000
    17    10  1984      147.190000
    18    10  1984      160.560000
    19    10  1984      168.220000
    20    10  1984      162.840000
    21    10  1984      154.550000
    22    10  1984      155.300000
    23    10  1984      169.770000
    24    10  1984      187.260000
    25    10  1984      203.830000
    26    10  1984      219.290000
    27    10  1984      237.080000
    28    10  1984      255.490000
    29    10  1984      274.540000
    30    10  1984      294.200000
    31    10  1984      309.360000
     1    11  1984      319.650000
     2    11  1984      332.210000
     3    11  1984      344.990000
     4    11  1984      355.810000
     5    11  1984      354.720000
     6    11  1984      346.070000
     7    11  1984      346.070000
     8    11  1984      356.900000
     9    11  1984      370.100000
    10    11  1984      392.580000
    11    11  1984      413.330000
    12    11  1984      436.960000
    13    11  1984      459.970000
    14    11  1984      473.530000
    15    11  1984      473.530000
    16    11  1984      461.190000
    17    11  1984      453.860000
    18    11  1984      451.430000
    19    11  1984      462.420000
    20    11  1984      478.510000
    21    11  1984      501.190000
    22    11  1984      524.360000
    23    11  1984      555.990000
    24    11  1984      588.460000
    25    11  1984      621.780000
    26    11  1984      630.240000
    27    11  1984      621.780000
    28    11  1984      602.240000
    29    11  1984      587.090000
    30    11  1984      582.990000
     1    12  1984      585.730000
     2    12  1984      609.190000
     3    12  1984      638.750000
     4    12  1984      661.700000
     5    12  1984      690.910000
     6    12  1984      719.190000
     7    12  1984      747.980000
     8    12  1984      780.410000
     9    12  1984      816.650000
    10    12  1984      871.580000
    11    12  1984      957.040000
    12    12  1984     1051.480000
    13    12  1984     1120.370000
    14    12  1984     1178.150000
    15    12  1984     1235.570000
    16    12  1984     1246.770000
    17    12  1984     1233.340000
    18    12  1984     1184.710000
    19    12  1984     1140.680000
    20    12  1984     1094.760000
    21    12  1984     1046.130000
    22    12  1984     1000.260000
    23    12  1984      958.750000
    24    12  1984      913.020000
    25    12  1984      858.510000
    26    12  1984      803.960000
    27    12  1984      774.190000
    28    12  1984      763.350000
    29    12  1984      767.980000
    30    12  1984      788.230000
    31    12  1984      815.060000
     1     1  1985      853.630000
     2     1  1985      896.340000
     3     1  1985      938.300000
     4     1  1985      984.600000
     5     1  1985     1037.240000
     6     1  1985     1116.690000
     7     1  1985     1224.430000
     8     1  1985     1349.650000
     9     1  1985     1449.140000
    10     1  1985     1544.530000
    11     1  1985     1635.140000
    12     1  1985     1722.950000
    13     1  1985     1823.660000
    14     1  1985     1916.070000
    15     1  1985     2016.270000
    16     1  1985     2055.880000
    17     1  1985     2061.570000
    18     1  1985     2050.200000
    19     1  1985     2027.550000
    20     1  1985     1985.390000
    21     1  1985     1935.360000
    22     1  1985     1913.320000
    23     1  1985     1935.360000
    24     1  1985     2002.210000
    25     1  1985     2033.200000
    26     1  1985     2030.370000
    27     1  1985     1990.990000
    28     1  1985     1929.840000
    29     1  1985     1872.310000
    30     1  1985     1810.260000
    31     1  1985     1746.560000
     1     2  1985     1689.120000
     2     2  1985     1619.870000
     3     2  1985     1551.990000
     4     2  1985     1483.060000
     5     2  1985     1406.090000
     6     2  1985     1331.070000
     7     2  1985     1258.010000
     8     2  1985     1182.520000
     9     2  1985     1116.690000
    10     2  1985     1042.570000
    11     2  1985      974.220000
    12     2  1985      906.330000
    13     2  1985      837.460000
    14     2  1985      772.630000
    15     2  1985      702.750000
    16     2  1985      641.600000
    17     2  1985      611.970000
    18     2  1985      602.240000
    19     2  1985      605.020000
    20     2  1985      641.600000
    21     2  1985      693.860000
    22     2  1985      760.260000
    23     2  1985      835.850000
    24     2  1985      916.370000
    25     2  1985      996.770000
    26     2  1985     1082.050000
    27     2  1985     1144.390000
    28     2  1985     1174.280000
     1     3  1985     1170.520000
     2     3  1985     1140.680000
     3     3  1985     1118.530000
     4     3  1985     1151.830000
     5     3  1985     1262.520000
     6     3  1985     1384.800000
     7     3  1985     1507.500000
     8     3  1985     1622.410000
     9     3  1985     1722.950000
    10     3  1985     1812.930000
    11     3  1985     1850.620000
    12     3  1985     1875.030000
    13     3  1985     1888.670000
    14     3  1985     1888.670000
    15     3  1985     1905.090000
    16     3  1985     1921.570000
    17     3  1985     1929.840000
    18     3  1985     1921.570000
    19     3  1985     1905.090000
    20     3  1985     1902.340000
    21     3  1985     1896.870000
    22     3  1985     1877.760000
    23     3  1985     1850.620000
    24     3  1985     1815.610000
    25     3  1985     1772.970000
    26     3  1985     1720.330000
    27     3  1985     1660.740000
    28     3  1985     1589.530000
    29     3  1985     1505.050000
    30     3  1985     1398.980000
    31     3  1985     1305.740000
     1     4  1985     1246.770000
     2     4  1985     1231.110000
     3     4  1985     1246.770000
     4     4  1985     1273.820000
     5     4  1985     1314.920000
     6     4  1985     1387.150000
     7     4  1985     1487.930000
     8     4  1985     1579.480000
     9     4  1985     1647.910000
    10     4  1985     1704.690000
    11     4  1985     1762.380000
    12     4  1985     1788.900000
    13     4  1985     1767.670000
    14     4  1985     1717.720000
    15     4  1985     1689.120000
    16     4  1985     1720.330000
    17     4  1985     1780.930000
    18     4  1985     1853.320000
    19     4  1985     1924.330000
    20     4  1985     1988.190000
    21     4  1985     2024.730000
    22     4  1985     2061.570000
    23     4  1985     2095.870000
    24     4  1985     2133.320000
    25     4  1985     2162.350000
    26     4  1985     2191.560000
    27     4  1985     2197.420000
    28     4  1985     2194.490000
    29     4  1985     2174.010000
    30     4  1985     2174.010000
     1     5  1985     2188.630000
     2     5  1985     2185.700000
     3     5  1985     2162.350000
     4     5  1985     2139.110000
     5     5  1985     2116.000000
     6     5  1985     2098.740000
     7     5  1985     2067.270000
     8     5  1985     2024.730000
     9     5  1985     1974.220000
    10     5  1985     1913.320000
    11     5  1985     1839.810000
    12     5  1985     1765.020000
    13     5  1985     1678.770000
    14     5  1985     1574.460000
    15     5  1985     1466.050000
    16     5  1985     1358.980000
    17     5  1985     1255.760000
    18     5  1985     1151.830000
    19     5  1985     1058.640000
    20     5  1985      965.610000
    21     5  1985      873.230000
    22     5  1985      783.530000
    23     5  1985      695.340000
    24     5  1985      620.370000
    25     5  1985      549.330000
    26     5  1985      486.010000
    27     5  1985      432.190000
    28     5  1985      379.020000
    29     5  1985      361.270000
    30     5  1985      374.550000
    31     5  1985      365.670000
     1     6  1985      326.950000
     2     6  1985      279.390000
     3     6  1985      243.450000
     4     6  1985      232.570000
     5     6  1985      224.560000
     6     6  1985      216.680000
     7     6  1985      203.830000
     8     6  1985      193.810000
     9     6  1985      195.460000
    10     6  1985      185.640000
    11     6  1985      180.810000
    12     6  1985      185.640000
    13     6  1985      181.610000
    14     6  1985      173.680000
    15     6  1985      170.550000
    16     6  1985      166.680000
    17     6  1985      160.560000
    18     6  1985      154.550000
    19     6  1985      151.590000
    20     6  1985      149.380000
    21     6  1985      145.740000
    22     6  1985      143.570000
