LÁBREA	-64.800	-7.252
    22     7  1984     2001.650000
    23     7  1984     1961.210000
    24     7  1984     1921.200000
    25     7  1984     1881.590000
    26     7  1984     1846.300000
    27     7  1984     1811.350000
    28     7  1984     1776.740000
    29     7  1984     1746.250000
    30     7  1984     1712.260000
    31     7  1984     1682.340000
     1     8  1984     1651.970000
     2     8  1984     1621.670000
     3     8  1984     1599.040000
     4     8  1984     1576.510000
     5     8  1984     1550.330000
     6     8  1984     1531.720000
     7     8  1984     1509.460000
     8     8  1984     1490.990000
     9     8  1984     1465.240000
    10     8  1984     1443.270000
    11     8  1984     1425.030000
    12     8  1984     1403.240000
    13     8  1984     1392.380000
    14     8  1984     1381.540000
    15     8  1984     1363.540000
    16     8  1984     1342.020000
    17     8  1984     1320.600000
    18     8  1984     1306.380000
    19     8  1984     1285.130000
    20     8  1984     1274.540000
    21     8  1984     1263.980000
    22     8  1984     1256.950000
    23     8  1984     1249.940000
    24     8  1984     1242.930000
    25     8  1984     1235.940000
    26     8  1984     1225.470000
    27     8  1984     1215.020000
    28     8  1984     1211.550000
    29     8  1984     1215.020000
    30     8  1984     1221.980000
    31     8  1984     1228.950000
     1     9  1984     1232.440000
     2     9  1984     1228.950000
     3     9  1984     1221.980000
     4     9  1984     1208.080000
     5     9  1984     1197.680000
     6     9  1984     1173.510000
     7     9  1984     1152.910000
     8     9  1984     1135.820000
     9     9  1984     1118.810000
    10     9  1984     1105.250000
    11     9  1984     1098.490000
    12     9  1984     1091.750000
    13     9  1984     1098.490000
    14     9  1984     1112.030000
    15     9  1984     1129.010000
    16     9  1984     1152.910000
    17     9  1984     1173.510000
    18     9  1984     1201.140000
    19     9  1984     1221.980000
    20     9  1984     1228.950000
    21     9  1984     1221.980000
    22     9  1984     1211.550000
    23     9  1984     1194.220000
    24     9  1984     1187.300000
    25     9  1984     1183.850000
    26     9  1984     1187.300000
    27     9  1984     1194.220000
    28     9  1984     1201.140000
    29     9  1984     1201.140000
    30     9  1984     1194.220000
     1    10  1984     1187.300000
     2    10  1984     1173.510000
