FAZENDACAJUPIRANGA	-61.037	3.438
    27     3  1984      303.226000
    28     3  1984      329.588000
    29     3  1984      345.043000
    30     3  1984      356.818000
    31     3  1984      372.761000
     1     4  1984      397.193000
     2     4  1984      418.022000
     3     4  1984      460.940000
     4     4  1984      519.200000
     5     4  1984      609.236000
     6     4  1984      614.132000
     7     4  1984      519.200000
     8     4  1984      460.940000
     9     4  1984      443.573000
    10     4  1984      413.823000
    11     4  1984      380.836000
    12     4  1984      345.043000
    13     4  1984      321.967000
    14     4  1984      288.557000
    15     4  1984      270.630000
    16     4  1984      256.620000
    17     4  1984      246.308000
    18     4  1984      232.822000
    19     4  1984      263.588000
    20     4  1984      318.183000
    21     4  1984      348.950000
    22     4  1984      348.950000
    23     4  1984      337.280000
    24     4  1984      306.939000
    25     4  1984      303.226000
    26     4  1984      284.935000
    27     4  1984      281.332000
    28     4  1984      284.935000
    29     4  1984     1230.100000
    30     4  1984     1478.470000
     1     5  1984     1288.830000
     2     5  1984     1066.600000
     3     5  1984      935.600000
     4     5  1984      889.671000
     5     5  1984      795.153000
     6     5  1984      731.001000
     7     5  1984      669.016000
     8     5  1984      844.666000
     9     5  1984     1030.200000
    10     5  1984     1217.190000
    11     5  1984     1471.520000
    12     5  1984     1534.540000
    13     5  1984     1423.230000
    14     5  1984     1282.250000
    15     5  1984     1249.550000
    16     5  1984     1147.190000
    17     5  1984     1295.430000
    18     5  1984     1478.470000
    19     5  1984     1341.960000
    20     5  1984     1217.190000
    21     5  1984     1060.500000
    22     5  1984      941.406000
    23     5  1984     1030.200000
    24     5  1984     1402.740000
    25     5  1984     1562.880000
    26     5  1984     1700.330000
    27     5  1984     1949.860000
    28     5  1984     2059.800000
    29     5  1984     2245.580000
    30     5  1984     2311.690000
    31     5  1984     2155.930000
     1     6  1984     1752.120000
     2     6  1984     1541.610000
     3     6  1984     1548.690000
     4     6  1984     2147.850000
     5     6  1984     2688.760000
     6     6  1984     2786.550000
     7     6  1984     2867.580000
     8     6  1984     2894.800000
     9     6  1984     2958.700000
    10     6  1984     2840.470000
    11     6  1984     2523.160000
    12     6  1984     2059.800000
    13     6  1984     1627.410000
    14     6  1984     1499.400000
    15     6  1984     1605.790000
    16     6  1984     1819.620000
    17     6  1984     1700.330000
    18     6  1984     1627.410000
    19     6  1984     1548.690000
    20     6  1984     1382.360000
    21     6  1984     2286.810000
    22     6  1984     2446.180000
    23     6  1984     2480.270000
    24     6  1984     2566.330000
    25     6  1984     2733.040000
    26     6  1984     2786.550000
    27     6  1984     2412.270000
    28     6  1984     1996.690000
    29     6  1984     2075.700000
    30     6  1984     2059.800000
     1     7  1984     2091.650000
     2     7  1984     2311.690000
     3     7  1984     2196.500000
     4     7  1984     1965.420000
     5     7  1984     1767.030000
     6     7  1984     1570.000000
     7     7  1984     1450.750000
     8     7  1984     1492.410000
     9     7  1984     1797.010000
    10     7  1984     1729.850000
    11     7  1984     1934.360000
    12     7  1984     1729.850000
    13     7  1984     1656.430000
    14     7  1984     1570.000000
    15     7  1984     1649.160000
    16     7  1984     1737.260000
    17     7  1984     1744.680000
    18     7  1984     1957.640000
    19     7  1984     1988.850000
    20     7  1984     1973.220000
    21     7  1984     1759.570000
    22     7  1984     1499.400000
    23     7  1984     1416.390000
    24     7  1984     1443.850000
    25     7  1984     1570.000000
    26     7  1984     1812.070000
    27     7  1984     2164.020000
    28     7  1984     2237.370000
    29     7  1984     2303.380000
    30     7  1984     2196.500000
    31     7  1984     2454.690000
     1     8  1984     2662.340000
     2     8  1984     2697.590000
     3     8  1984     2671.130000
     4     8  1984     2583.680000
     5     8  1984     2437.680000
     6     8  1984     2123.690000
     7     8  1984     1849.940000
     8     8  1984     1700.330000
     9     8  1984     1663.710000
    10     8  1984     1685.640000
    11     8  1984     1678.320000
    12     8  1984     1700.330000
    13     8  1984     1834.750000
    14     8  1984     1973.220000
    15     8  1984     1949.860000
    16     8  1984     1804.530000
    17     8  1984     1722.450000
    18     8  1984     1663.710000
    19     8  1984     1570.000000
    20     8  1984     1627.410000
    21     8  1984     1499.400000
    22     8  1984     1375.590000
    23     8  1984     1362.100000
    24     8  1984     1389.140000
    25     8  1984     1368.840000
    26     8  1984     1288.830000
    27     8  1984     1275.690000
    28     8  1984     1243.050000
    29     8  1984     1210.760000
