THAUMATURGO	-72.795	-8.946
     9     5  1984      161.410000
    10     5  1984      196.370000
    11     5  1984      375.780000
    12     5  1984      345.540000
    13     5  1984      229.980000
    14     5  1984      487.230000
    15     5  1984      543.380000
    16     5  1984      513.930000
    17     5  1984      394.090000
    18     5  1984      311.390000
    19     5  1984      243.300000
    20     5  1984      202.460000
    21     5  1984      189.150000
    22     5  1984      186.770000
    23     5  1984      189.150000
    24     5  1984      203.690000
    25     5  1984      202.460000
    26     5  1984      190.350000
    27     5  1984      172.750000
    28     5  1984      159.180000
    29     5  1984      153.660000
    30     5  1984      152.570000
    31     5  1984      159.180000
     1     6  1984      167.040000
     2     6  1984      165.910000
     3     6  1984      182.050000
     4     6  1984      172.750000
     5     6  1984      158.070000
     6     6  1984      154.760000
     7     6  1984      214.890000
     8     6  1984      294.900000
     9     6  1984      283.590000
    10     6  1984      286.800000
    11     6  1984      253.880000
    12     6  1984      207.400000
    13     6  1984      154.760000
    14     6  1984      122.260000
    15     6  1984      108.620000
    16     6  1984      102.980000
    17     6  1984       98.380000
    18     6  1984       92.080000
    19     6  1984       98.380000
    20     6  1984      124.260000
    21     6  1984      117.310000
    22     6  1984       89.430000
    23     6  1984       77.500000
    24     6  1984      114.390000
    25     6  1984      111.490000
    26     6  1984      125.260000
    27     6  1984      113.420000
    28     6  1984       92.970000
    29     6  1984       76.670000
    30     6  1984       70.200000
     1     7  1984       63.200000
     2     7  1984       56.510000
     3     7  1984       52.930000
     4     7  1984       50.130000
     5     7  1984       47.390000
     6     7  1984       44.720000
     7     7  1984       43.410000
     8     7  1984       56.510000
     9     7  1984       58.710000
    10     7  1984       55.790000
    11     7  1984       51.520000
    12     7  1984       50.130000
    13     7  1984       50.130000
    14     7  1984       46.050000
    15     7  1984       44.720000
    16     7  1984       51.520000
    17     7  1984       52.220000
    18     7  1984       75.850000
    19     7  1984       85.950000
    20     7  1984       73.410000
    21     7  1984       66.280000
    22     7  1984       60.190000
    23     7  1984       52.930000
    24     7  1984       45.380000
    25     7  1984       40.840000
    26     7  1984       37.090000
    27     7  1984       35.880000
    28     7  1984       34.680000
    29     7  1984       33.500000
    30     7  1984       32.340000
