JATUARANA	-59.678	-3.052
     9     6  1984   174332.000000
    10     6  1984   174777.000000
    11     6  1984   175000.000000
    12     6  1984   175000.000000
    13     6  1984   175223.000000
    14     6  1984   175893.000000
    15     6  1984   176565.000000
    16     6  1984   176565.000000
    17     6  1984   176565.000000
    18     6  1984   176565.000000
    19     6  1984   176565.000000
    20     6  1984   176565.000000
    21     6  1984   176565.000000
    22     6  1984   176565.000000
    23     6  1984   176565.000000
    24     6  1984   176565.000000
    25     6  1984   176565.000000
    26     6  1984   176565.000000
    27     6  1984   176565.000000
    28     6  1984   176117.000000
    29     6  1984   175670.000000
    30     6  1984   175223.000000
     1     7  1984   175223.000000
     2     7  1984   175223.000000
     3     7  1984   174777.000000
     4     7  1984   174332.000000
     5     7  1984   173888.000000
     6     7  1984   173444.000000
     7     7  1984   173002.000000
     8     7  1984   172559.000000
     9     7  1984   172118.000000
    10     7  1984   171678.000000
    11     7  1984   171238.000000
    12     7  1984   170799.000000
    13     7  1984   170360.000000
    14     7  1984   169923.000000
    15     7  1984   169486.000000
    16     7  1984   169050.000000
    17     7  1984   168397.000000
    18     7  1984   167746.000000
    19     7  1984   167313.000000
    20     7  1984   166665.000000
    21     7  1984   165373.000000
    22     7  1984   164516.000000
    23     7  1984   163875.000000
    24     7  1984   163236.000000
    25     7  1984   162598.000000
    26     7  1984   161962.000000
    27     7  1984   161328.000000
    28     7  1984   160695.000000
    29     7  1984   159854.000000
    30     7  1984   159016.000000
    31     7  1984   158181.000000
     1     8  1984   157349.000000
     2     8  1984   156520.000000
     3     8  1984   155694.000000
     4     8  1984   154050.000000
     5     8  1984   152621.000000
     6     8  1984   152214.000000
     7     8  1984   151201.000000
     8     8  1984   150393.000000
     9     8  1984   149267.000000
    10     8  1984   148780.000000
    11     8  1984   148053.000000
    12     8  1984   147569.000000
    13     8  1984   147087.000000
    14     8  1984   146244.000000
    15     8  1984   145286.000000
    16     8  1984   144332.000000
    17     8  1984   143382.000000
    18     8  1984   142672.000000
    19     8  1984   141729.000000
    20     8  1984   140790.000000
    21     8  1984   140089.000000
    22     8  1984   139390.000000
    23     8  1984   138578.000000
    24     8  1984   137884.000000
    25     8  1984   137078.000000
    26     8  1984   136160.000000
    27     8  1984   135246.000000
    28     8  1984   134223.000000
    29     8  1984   133205.000000
    30     8  1984   132080.000000
    31     8  1984   130961.000000
     1     9  1984   129627.000000
     2     9  1984   128302.000000
     3     9  1984   127424.000000
     4     9  1984   126658.000000
     5     9  1984   125896.000000
     6     9  1984   125029.000000
     7     9  1984   124166.000000
     8     9  1984   123199.000000
     9     9  1984   122451.000000
    10     9  1984   121600.000000
    11     9  1984   120330.000000
    12     9  1984   119279.000000
    13     9  1984   118270.000000
    14     9  1984   117479.000000
    15     9  1984   116604.000000
    16     9  1984   115734.000000
    17     9  1984   114868.000000
    18     9  1984   113834.000000
    19     9  1984   112978.000000
    20     9  1984   112041.000000
    21     9  1984   111024.000000
    22     9  1984   110098.000000
    23     9  1984   109344.000000
    24     9  1984   108177.000000
    25     9  1984   107185.000000
    26     9  1984   106034.000000
    27     9  1984   105054.000000
    28     9  1984   104161.000000
    29     9  1984   103515.000000
    30     9  1984   102872.000000
     1    10  1984   102231.000000
     2    10  1984   101354.000000
     3    10  1984   100641.000000
     4    10  1984    99615.800000
     5    10  1984    98754.100000
     6    10  1984    97742.200000
     7    10  1984    96737.200000
     8    10  1984    95815.600000
     9    10  1984    94900.000000
    10    10  1984    93990.100000
    11    10  1984    93011.100000
    12    10  1984    92337.300000
    13    10  1984    91443.900000
    14    10  1984    90777.700000
    15    10  1984    89967.900000
    16    10  1984    89235.800000
    17    10  1984    88725.800000
    18    10  1984    88290.100000
    19    10  1984    87783.700000
    20    10  1984    87207.300000
    21    10  1984    86347.400000
    22    10  1984    86347.400000
    23    10  1984    85919.600000
    24    10  1984    85635.200000
    25    10  1984    85209.700000
    26    10  1984    84926.900000
    27    10  1984    84856.200000
    28    10  1984    84785.700000
    29    10  1984    84715.100000
    30    10  1984    84715.100000
    31    10  1984    84644.600000
     1    11  1984    84644.600000
     2    11  1984    84856.200000
     3    11  1984    84856.200000
     4    11  1984    84926.900000
     5    11  1984    85209.700000
     6    11  1984    85493.200000
     7    11  1984    85777.300000
     8    11  1984    86133.300000
     9    11  1984    86418.800000
    10    11  1984    86705.000000
    11    11  1984    86920.000000
    12    11  1984    87207.300000
    13    11  1984    87639.400000
    14    11  1984    87928.200000
    15    11  1984    88217.700000
    16    11  1984    88290.100000
    17    11  1984    88362.600000
    18    11  1984    88435.200000
    19    11  1984    88435.200000
    20    11  1984    88362.600000
    21    11  1984    88362.600000
    22    11  1984    88072.900000
    23    11  1984    87928.200000
    24    11  1984    87711.500000
    25    11  1984    87423.100000
    26    11  1984    87207.300000
    27    11  1984    87063.600000
    28    11  1984    86776.600000
    29    11  1984    86776.600000
    30    11  1984    86490.300000
     1    12  1984    86347.400000
     2    12  1984    86204.600000
     3    12  1984    86204.600000
     4    12  1984    86133.300000
     5    12  1984    86062.000000
     6    12  1984    86062.000000
     7    12  1984    86204.600000
     8    12  1984    86490.300000
     9    12  1984    86848.300000
    10    12  1984    87207.300000
    11    12  1984    87639.400000
    12    12  1984    88145.200000
    13    12  1984    88725.800000
    14    12  1984    89308.900000
    15    12  1984    89821.100000
    16    12  1984    90556.400000
    17    12  1984    91221.500000
    18    12  1984    91889.900000
    19    12  1984    92486.700000
    20    12  1984    93086.200000
    21    12  1984    93839.100000
    22    12  1984    94444.300000
    23    12  1984    95052.200000
    24    12  1984    95662.600000
    25    12  1984    96506.300000
    26    12  1984    97045.700000
    27    12  1984    97664.600000
    28    12  1984    98520.000000
    29    12  1984    99145.100000
    30    12  1984    99851.600000
    31    12  1984   100167.000000
     1     1  1985   100799.000000
     2     1  1985   101434.000000
     3     1  1985   102071.000000
     4     1  1985   102711.000000
     5     1  1985   103273.000000
     6     1  1985   103676.000000
     7     1  1985   104242.000000
     8     1  1985   105135.000000
     9     1  1985   105788.000000
    10     1  1985   106444.000000
    11     1  1985   107185.000000
    12     1  1985   108095.000000
    13     1  1985   108760.000000
    14     1  1985   109762.000000
    15     1  1985   110940.000000
    16     1  1985   111616.000000
    17     1  1985   112466.000000
    18     1  1985   113491.000000
    19     1  1985   114178.000000
    20     1  1985   115041.000000
    21     1  1985   116082.000000
    22     1  1985   116779.000000
    23     1  1985   117479.000000
    24     1  1985   117918.000000
    25     1  1985   118270.000000
    26     1  1985   118623.000000
    27     1  1985   118976.000000
    28     1  1985   119384.000000
    29     1  1985   119699.000000
    30     1  1985   119699.000000
    31     1  1985   119699.000000
     1     2  1985   119699.000000
     2     2  1985   119489.000000
     3     2  1985   119279.000000
     4     2  1985   119065.000000
     5     2  1985   118976.000000
     6     2  1985   118888.000000
     7     2  1985   118888.000000
     8     2  1985   118888.000000
     9     2  1985   118711.000000
    10     2  1985   118535.000000
    11     2  1985   117830.000000
    12     2  1985   117216.000000
    13     2  1985   116954.000000
    14     2  1985   116517.000000
    15     2  1985   116082.000000
    16     2  1985   115908.000000
    17     2  1985   115560.000000
    18     2  1985   115127.000000
