ASSISBRASIL	-69.550	-10.933
    13     4  1984      130.080000
    14     4  1984       68.430000
    15     4  1984       61.870000
    16     4  1984       40.680000
    17     4  1984       26.690000
    18     4  1984       19.810000
    19     4  1984       17.500000
    20     4  1984       34.620000
    21     4  1984      205.550000
    22     4  1984      187.350000
    23     4  1984      107.300000
    24     4  1984      328.900000
    25     4  1984      486.900000
    26     4  1984      217.670000
    27     4  1984      131.120000
    28     4  1984      108.240000
    29     4  1984       75.340000
    30     4  1984       46.620000
     1     5  1984       29.050000
     2     5  1984       26.690000
     3     5  1984       24.430000
     4     5  1984       21.850000
     5     5  1984       19.420000
     6     5  1984       17.880000
     7     5  1984       14.310000
     8     5  1984       25.770000
     9     5  1984       31.520000
    10     5  1984       25.770000
    11     5  1984       20.610000
    12     5  1984       19.030000
    13     5  1984       14.990000
    14     5  1984       11.750000
    15     5  1984       13.000000
    16     5  1984       16.040000
    17     5  1984       14.650000
    18     5  1984       13.980000
    19     5  1984       13.320000
    20     5  1984       11.750000
    21     5  1984       12.370000
    22     5  1984       16.040000
    23     5  1984       13.980000
    24     5  1984       13.000000
    25     5  1984       11.450000
    26     5  1984       10.850000
    27     5  1984       11.750000
    28     5  1984       10.850000
    29     5  1984       10.280000
    30     5  1984       10.000000
    31     5  1984       10.000000
     1     6  1984        9.720000
     2     6  1984       10.000000
     3     6  1984        9.720000
     4     6  1984        9.440000
     5     6  1984        9.440000
     6     6  1984       16.760000
     7     6  1984       14.310000
     8     6  1984       12.060000
     9     6  1984       10.280000
    10     6  1984        8.910000
    11     6  1984        8.130000
    12     6  1984        7.880000
    13     6  1984        7.880000
    14     6  1984        7.880000
    15     6  1984        7.400000
    16     6  1984        8.130000
    17     6  1984        8.650000
    18     6  1984        7.640000
    19     6  1984        8.130000
    20     6  1984        6.920000
    21     6  1984        6.690000
    22     6  1984        6.920000
    23     6  1984        6.470000
    24     6  1984        6.250000
    25     6  1984        6.030000
    26     6  1984        5.810000
    27     6  1984        6.690000
    28     6  1984        7.160000
    29     6  1984        6.690000
    30     6  1984        5.810000
     1     7  1984        5.400000
     2     7  1984        5.190000
     3     7  1984        4.800000
     4     7  1984        4.800000
     5     7  1984        4.610000
     6     7  1984        4.610000
     7     7  1984        4.420000
     8     7  1984        4.420000
     9     7  1984        4.420000
    10     7  1984        4.240000
    11     7  1984        4.240000
    12     7  1984        4.420000
    13     7  1984        6.690000
    14     7  1984        5.810000
    15     7  1984        5.190000
    16     7  1984        4.800000
    17     7  1984        4.610000
    18     7  1984        4.800000
    19     7  1984        5.000000
    20     7  1984        4.610000
    21     7  1984        4.420000
    22     7  1984        4.060000
    23     7  1984        4.060000
    24     7  1984        4.060000
    25     7  1984        4.060000
    26     7  1984        3.720000
    27     7  1984        3.720000
    28     7  1984        3.720000
    29     7  1984        3.720000
    30     7  1984        3.720000
    31     7  1984        3.720000
     1     8  1984        3.720000
     2     8  1984        3.550000
     3     8  1984        3.390000
     4     8  1984        3.390000
     5     8  1984        3.390000
     6     8  1984        3.720000
     7     8  1984        3.390000
     8     8  1984        3.070000
     9     8  1984        3.390000
    10     8  1984        3.390000
    11     8  1984        3.070000
    12     8  1984        3.070000
    13     8  1984        3.070000
    14     8  1984        3.390000
    15     8  1984        3.390000
    16     8  1984        3.390000
    17     8  1984        3.070000
    18     8  1984        3.070000
    19     8  1984        3.070000
    20     8  1984        2.770000
    21     8  1984        2.770000
    22     8  1984        2.770000
    23     8  1984        2.770000
    24     8  1984        2.770000
    25     8  1984        3.070000
    26     8  1984        3.390000
    27     8  1984        3.390000
    28     8  1984        3.720000
    29     8  1984        3.390000
    30     8  1984        3.390000
    31     8  1984        3.070000
     1     9  1984        3.070000
     2     9  1984        3.070000
     3     9  1984        3.070000
     4     9  1984        3.070000
     5     9  1984        3.070000
     6     9  1984        3.070000
     7     9  1984        3.070000
     8     9  1984        4.610000
     9     9  1984       12.370000
    10     9  1984        6.030000
    11     9  1984        5.000000
    12     9  1984        4.800000
    13     9  1984        4.240000
    14     9  1984        3.390000
    15     9  1984        2.770000
    16     9  1984        2.770000
    17     9  1984        3.550000
    18     9  1984        3.890000
    19     9  1984        3.390000
    20     9  1984        3.070000
    21     9  1984        2.770000
    22     9  1984        5.600000
    23     9  1984        7.640000
    24     9  1984        5.000000
    25     9  1984        4.240000
    26     9  1984        4.060000
    27     9  1984        3.720000
    28     9  1984        3.390000
    29     9  1984        2.920000
    30     9  1984        3.070000
     1    10  1984        3.070000
     2    10  1984        3.390000
     3    10  1984        3.070000
     4    10  1984        3.550000
     5    10  1984        5.000000
     6    10  1984        5.000000
     7    10  1984        4.240000
     8    10  1984        3.720000
     9    10  1984        3.720000
    10    10  1984        3.390000
    11    10  1984        3.230000
    12    10  1984        3.890000
    13    10  1984        4.060000
    14    10  1984        4.610000
    15    10  1984        5.000000
    16    10  1984       21.020000
    17    10  1984       14.650000
    18    10  1984       22.270000
    19    10  1984       32.030000
    20    10  1984       71.460000
    21    10  1984       65.470000
    22    10  1984       30.520000
    23    10  1984       39.540000
    24    10  1984       13.650000
    25    10  1984       58.370000
    26    10  1984       70.700000
    27    10  1984       27.620000
    28    10  1984       16.400000
    29    10  1984       19.810000
    30    10  1984       27.620000
    31    10  1984       21.850000
     1    11  1984      310.250000
     2    11  1984      147.250000
     3    11  1984       38.420000
     4    11  1984       33.050000
     5    11  1984       41.250000
     6    11  1984       73.770000
     7    11  1984       58.370000
     8    11  1984       22.690000
     9    11  1984       11.750000
    10    11  1984       36.220000
    11    11  1984       73.000000
    12    11  1984       76.920000
    13    11  1984       43.000000
    14    11  1984      108.240000
    15    11  1984       98.090000
    16    11  1984       70.700000
    17    11  1984       49.750000
    18    11  1984       26.230000
    19    11  1984      352.470000
    20    11  1984      176.250000
    21    11  1984       65.470000
    22    11  1984       37.860000
    23    11  1984       98.990000
    24    11  1984      129.040000
    25    11  1984      221.360000
    26    11  1984       56.310000
    27    11  1984       44.790000
    28    11  1984       41.250000
    29    11  1984       45.400000
    30    11  1984       85.910000
     1    12  1984       66.940000
     2    12  1984       56.310000
     3    12  1984       32.030000
     4    12  1984       74.550000
     5    12  1984      151.710000
     6    12  1984       89.310000
     7    12  1984       51.670000
     8    12  1984      104.490000
     9    12  1984      428.730000
    10    12  1984     1020.640000
    11    12  1984      468.290000
    12    12  1984      112.060000
    13    12  1984       70.700000
    14    12  1984       57.680000
    15    12  1984       48.480000
    16    12  1984       46.010000
    17    12  1984       43.600000
    18    12  1984       46.010000
    19    12  1984       45.400000
    20    12  1984       38.420000
    21    12  1984       35.150000
    22    12  1984       35.680000
    23    12  1984       56.990000
    24    12  1984       61.160000
    25    12  1984       42.420000
    26    12  1984       31.020000
    27    12  1984       85.070000
    28    12  1984       85.910000
    29    12  1984       81.760000
    30    12  1984       70.700000
    31    12  1984       56.990000
     1     1  1985       57.680000
     2     1  1985       64.740000
     3     1  1985       44.190000
     4     1  1985       33.050000
     5     1  1985       50.390000
     6     1  1985       73.770000
     7     1  1985      448.330000
     8     1  1985      240.190000
     9     1  1985      102.640000
    10     1  1985      167.860000
    11     1  1985      135.330000
    12     1  1985      115.950000
    13     1  1985       80.130000
    14     1  1985       61.160000
    15     1  1985       54.970000
    16     1  1985       46.620000
    17     1  1985      232.580000
    18     1  1985      372.100000
    19     1  1985      146.140000
    20     1  1985      104.490000
    21     1  1985      147.250000
    22     1  1985      120.900000
    23     1  1985      145.040000
    24     1  1985      191.120000
    25     1  1985      165.500000
    26     1  1985       98.090000
    27     1  1985       49.110000
    28     1  1985       46.620000
    29     1  1985      110.140000
    30     1  1985       69.940000
    31     1  1985       44.790000
     1     2  1985       43.000000
     2     2  1985       39.540000
     3     2  1985       27.620000
     4     2  1985       23.990000
     5     2  1985       21.430000
     6     2  1985       26.690000
     7     2  1985       22.690000
     8     2  1985       27.620000
     9     2  1985       27.150000
    10     2  1985       46.620000
    11     2  1985       55.640000
    12     2  1985       41.250000
    13     2  1985       29.050000
    14     2  1985       23.990000
    15     2  1985       29.540000
    16     2  1985       36.220000
    17     2  1985       47.240000
    18     2  1985       54.970000
    19     2  1985       61.160000
    20     2  1985       98.990000
    21     2  1985       85.910000
    22     2  1985       52.980000
    23     2  1985      182.370000
    24     2  1985      114.970000
    25     2  1985       66.940000
    26     2  1985       60.450000
    27     2  1985       74.550000
    28     2  1985      247.900000
     1     3  1985      146.140000
     2     3  1985      117.910000
     3     3  1985      355.460000
     4     3  1985      441.760000
     5     3  1985      205.550000
     6     3  1985      119.900000
     7     3  1985       99.900000
     8     3  1985      225.070000
     9     3  1985      152.830000
    10     3  1985      130.080000
    11     3  1985       85.070000
    12     3  1985       57.680000
    13     3  1985       99.900000
    14     3  1985      378.230000
    15     3  1985      250.490000
    16     3  1985       67.690000
    17     3  1985       55.640000
    18     3  1985       67.690000
    19     3  1985      114.970000
    20     3  1985      657.800000
    21     3  1985      314.520000
    22     3  1985      149.470000
    23     3  1985       54.970000
    24     3  1985       42.420000
    25     3  1985       38.420000
    26     3  1985       98.990000
    27     3  1985      110.140000
    28     3  1985       73.000000
    29     3  1985       56.310000
    30     3  1985       82.580000
    31     3  1985      353.960000
     1     4  1985      366.010000
     2     4  1985      138.530000
     3     4  1985       96.300000
     4     4  1985       68.430000
     5     4  1985      119.900000
     6     4  1985      159.680000
     7     4  1985       92.770000
     8     4  1985       73.770000
     9     4  1985      379.770000
    10     4  1985      145.040000
    11     4  1985       85.910000
    12     4  1985       95.410000
    13     4  1985      115.950000
    14     4  1985       83.410000
    15     4  1985       72.230000
    16     4  1985       56.990000
    17     4  1985       34.090000
    18     4  1985       35.680000
    19     4  1985      274.300000
    20     4  1985      156.240000
    21     4  1985      126.980000
    22     4  1985      117.910000
    23     4  1985      109.190000
    24     4  1985      227.570000
    25     4  1985      278.360000
    26     4  1985      151.710000
    27     4  1985      128.010000
    28     4  1985      104.490000
    29     4  1985       80.940000
    30     4  1985      117.910000
     1     5  1985      318.800000
     2     5  1985      163.160000
     3     5  1985       97.190000
     4     5  1985       66.940000
     5     5  1985       58.370000
     6     5  1985       51.670000
     7     5  1985       42.420000
     8     5  1985       36.760000
     9     5  1985       35.680000
    10     5  1985       30.520000
    11     5  1985       27.150000
    12     5  1985       26.690000
    13     5  1985       42.420000
    14     5  1985       43.600000
    15     5  1985       81.760000
    16     5  1985       59.750000
    17     5  1985       41.250000
    18     5  1985       29.050000
    19     5  1985       24.870000
    20     5  1985       29.050000
    21     5  1985       36.220000
    22     5  1985       41.830000
    23     5  1985       35.680000
    24     5  1985       28.570000
    25     5  1985       24.430000
    26     5  1985       21.020000
    27     5  1985       25.770000
    28     5  1985       21.430000
    29     5  1985       20.210000
    30     5  1985       23.120000
    31     5  1985       27.150000
     1     6  1985       25.320000
     2     6  1985       25.320000
     3     6  1985       25.770000
     4     6  1985       69.940000
     5     6  1985       80.940000
