MANICORÉ	-61.302	-5.817
    12     3  1984    43341.700000
    13     3  1984    43487.200000
    14     3  1984    43778.500000
    15     3  1984    44070.100000
    16     3  1984    44216.000000
    17     3  1984    44398.600000
    18     3  1984    44544.700000
    19     3  1984    44727.400000
    20     3  1984    44910.300000
    21     3  1984    45056.700000
    22     3  1984    45166.500000
    23     3  1984    45313.000000
    24     3  1984    45459.600000
    25     3  1984    45606.300000
    26     3  1984    45753.100000
    27     3  1984    45899.900000
    28     3  1984    46083.600000
    29     3  1984    46267.400000
    30     3  1984    46488.100000
    31     3  1984    46635.300000
     1     4  1984    46819.500000
     2     4  1984    47003.700000
     3     4  1984    47225.000000
     4     4  1984    47520.300000
     5     4  1984    47668.100000
     6     4  1984    47815.900000
     7     4  1984    48111.800000
     8     4  1984    48408.100000
     9     4  1984    48630.400000
    10     4  1984    48778.800000
    11     4  1984    49001.400000
    12     4  1984    49150.000000
    13     4  1984    49335.700000
    14     4  1984    49558.800000
    15     4  1984    49744.800000
    16     4  1984    49930.900000
    17     4  1984    50117.200000
    18     4  1984    50340.900000
    19     4  1984    50527.400000
    20     4  1984    50788.700000
    21     4  1984    51050.200000
    22     4  1984    51311.900000
    23     4  1984    51611.300000
    24     4  1984    51911.000000
    25     4  1984    52136.000000
    26     4  1984    52436.200000
    27     4  1984    52511.300000
    28     4  1984    52511.300000
    29     4  1984    52661.600000
    30     4  1984    52736.700000
     1     5  1984    52736.700000
     2     5  1984    52849.500000
     3     5  1984    52887.100000
     4     5  1984    52924.700000
     5     5  1984    52347.800000
     6     5  1984    52199.100000
     7     5  1984    52298.200000
     8     5  1984    52298.200000
     9     5  1984    52298.200000
    10     5  1984    52199.100000
    11     5  1984    52199.100000
    12     5  1984    52100.100000
    13     5  1984    52050.600000
    14     5  1984    52001.200000
    15     5  1984    52001.200000
    16     5  1984    51754.400000
    17     5  1984    51557.500000
    18     5  1984    51361.000000
    19     5  1984    51116.000000
    20     5  1984    50822.800000
    21     5  1984    50627.900000
    22     5  1984    50530.700000
    23     5  1984    50239.400000
    24     5  1984    49997.500000
    25     5  1984    49659.900000
    26     5  1984    49275.700000
    27     5  1984    49179.900000
    28     5  1984    48893.200000
    29     5  1984    48559.900000
    30     5  1984    48133.200000
    31     5  1984    47755.800000
     1     6  1984    47006.100000
     2     6  1984    46263.100000
     3     6  1984    45343.900000
     4     6  1984    44164.700000
     5     6  1984    43626.500000
     6     6  1984    43403.300000
     7     6  1984    43225.200000
     8     6  1984    43047.600000
     9     6  1984    42826.100000
    10     6  1984    42385.200000
    11     6  1984    41903.100000
    12     6  1984    41121.100000
    13     6  1984    40475.800000
    14     6  1984    40134.000000
    15     6  1984    39921.300000
    16     6  1984    39455.500000
    17     6  1984    38867.200000
    18     6  1984    38283.900000
    19     6  1984    37664.600000
    20     6  1984    36888.400000
    21     6  1984    35881.100000
    22     6  1984    34850.400000
    23     6  1984    34069.200000
    24     6  1984    33298.200000
    25     6  1984    32386.200000
    26     6  1984    31674.400000
    27     6  1984    31045.300000
    28     6  1984    30423.300000
    29     6  1984    29844.500000
    30     6  1984    29378.900000
     1     7  1984    28882.200000
     2     7  1984    28425.200000
     3     7  1984    28250.600000
     4     7  1984    28076.600000
     5     7  1984    27730.400000
     6     7  1984    27318.200000
     7     7  1984    26875.600000
     8     7  1984    26437.200000
     9     7  1984    25836.900000
    10     7  1984    25244.500000
    11     7  1984    24178.800000
    12     7  1984    23451.500000
    13     7  1984    22984.000000
    14     7  1984    22644.600000
    15     7  1984    22399.600000
    16     7  1984    22186.500000
    17     7  1984    21613.800000
    18     7  1984    20610.300000
    19     7  1984    19719.000000
    20     7  1984    19239.800000
    21     7  1984    18850.200000
    22     7  1984    18684.700000
    23     7  1984    18739.800000
    24     7  1984    18739.800000
    25     7  1984    18356.000000
    26     7  1984    17815.700000
    27     7  1984    17231.900000
    28     7  1984    16840.300000
    29     7  1984    16479.400000
    30     7  1984    16173.600000
    31     7  1984    15821.000000
     1     8  1984    15472.800000
     2     8  1984    15226.800000
     3     8  1984    15007.300000
     4     8  1984    14693.500000
     5     8  1984    14288.900000
     6     8  1984    13798.000000
     7     8  1984    13362.200000
     8     8  1984    13091.100000
     9     8  1984    12624.300000
    10     8  1984    12167.100000
    11     8  1984    11825.300000
    12     8  1984    11364.300000
    13     8  1984    10974.600000
    14     8  1984    10434.200000
    15     8  1984     9986.090000
    16     8  1984     9605.550000
    17     8  1984     9399.840000
    18     8  1984     9270.260000
    19     8  1984     9178.330000
    20     8  1984     9068.710000
    21     8  1984     8941.770000
    22     8  1984     8851.720000
    23     8  1984     8744.360000
    24     8  1984     8584.710000
    25     8  1984     8461.690000
    26     8  1984     8339.700000
    27     8  1984     8339.700000
    28     8  1984     8374.450000
    29     8  1984     8391.860000
    30     8  1984     8357.060000
    31     8  1984     8305.030000
     1     9  1984     8253.180000
     2     9  1984     8201.510000
     3     9  1984     8150.030000
     4     9  1984     8081.680000
     5     9  1984     8013.660000
     6     9  1984     7912.240000
     7     9  1984     7845.040000
     8     9  1984     7761.500000
     9     9  1984     7678.470000
    10     9  1984     7612.410000
    11     9  1984     7563.080000
    12     9  1984     7513.930000
    13     9  1984     7432.430000
    14     9  1984     7383.770000
    15     9  1984     7335.300000
    16     9  1984     7254.910000
    17     9  1984     7190.970000
    18     9  1984     7127.340000
    19     9  1984     7079.840000
    20     9  1984     6985.380000
    21     9  1984     6907.210000
    22     9  1984     6814.070000
    23     9  1984     6599.560000
    24     9  1984     6508.830000
    25     9  1984     6418.810000
    26     9  1984     6359.200000
    27     9  1984     6329.510000
    28     9  1984     6270.370000
    29     9  1984     6182.260000
    30     9  1984     6094.870000
     1    10  1984     5993.800000
     2    10  1984     5794.560000
     3    10  1984     5571.560000
     4    10  1984     5448.310000
     5    10  1984     5380.520000
     6    10  1984     5367.030000
     7    10  1984     5448.310000
     8    10  1984     5668.500000
     9    10  1984     5893.700000
    10    10  1984     6123.920000
    11    10  1984     6285.130000
    12    10  1984     6538.990000
    13    10  1984     6829.550000
    14    10  1984     7190.970000
    15    10  1984     7546.680000
    16    10  1984     7979.770000
    17    10  1984     8461.690000
    18    10  1984     8851.720000
    19    10  1984     9215.040000
    20    10  1984     9756.750000
    21    10  1984    10121.300000
    22    10  1984    10572.800000
    23    10  1984    10974.600000
    24    10  1984    11281.700000
    25    10  1984    11740.700000
    26    10  1984    12124.100000
    27    10  1984    12646.300000
    28    10  1984    13136.000000
    29    10  1984    13498.900000
    30    10  1984    13798.000000
    31    10  1984    14030.500000
     1    11  1984    14288.900000
     2    11  1984    14478.500000
     3    11  1984    14669.600000
     4    11  1984    14958.800000
     5    11  1984    15202.300000
     6    11  1984    15547.000000
     7    11  1984    15796.000000
     8    11  1984    15996.700000
     9    11  1984    16249.700000
    10    11  1984    16453.800000
    11    11  1984    16607.800000
    12    11  1984    16866.200000
    13    11  1984    17231.900000
    14    11  1984    17495.900000
