FÉEESPERANÇA	-61.441	2.871
    15     9  1985      380.783000
    16     9  1985      356.219000
    17     9  1985      327.112000
    18     9  1985      307.942000
    19     9  1985      281.907000
    20     9  1985      267.871000
    21     9  1985      272.537000
    22     9  1985      277.215000
    23     9  1985      281.907000
    24     9  1985      277.215000
    25     9  1985      267.871000
    26     9  1985      263.220000
    27     9  1985      258.581000
    28     9  1985      247.047000
    29     9  1985      237.883000
    30     9  1985      258.581000
     1    10  1985      267.871000
     2    10  1985      288.970000
     3    10  1985      263.220000
     4    10  1985      260.899000
     5    10  1985      256.267000
     6    10  1985      253.957000
     7    10  1985      253.957000
     8    10  1985      242.458000
     9    10  1985      233.323000
    10    10  1985      212.989000
    11    10  1985      206.281000
    12    10  1985      197.393000
    13    10  1985      190.771000
    14    10  1985      186.377000
    15    10  1985      197.393000
    16    10  1985      195.181000
    17    10  1985      184.186000
    18    10  1985      182.000000
    19    10  1985      188.572000
    20    10  1985      233.323000
    21    10  1985      217.481000
    22    10  1985      219.733000
    23    10  1985      204.053000
    24    10  1985      188.572000
    25    10  1985      184.186000
    26    10  1985      179.818000
    27    10  1985      168.976000
    28    10  1985      160.385000
    29    10  1985      162.525000
    30    10  1985      153.991000
    31    10  1985      156.117000
     1    11  1985      156.117000
     2    11  1985      175.468000
     3    11  1985      210.749000
     4    11  1985      210.749000
     5    11  1985      192.974000
     6    11  1985      177.641000
     7    11  1985      168.976000
     8    11  1985      164.671000
     9    11  1985      156.117000
    10    11  1985      149.753000
    11    11  1985      153.991000
    12    11  1985      158.248000
    13    11  1985      147.641000
    14    11  1985      139.245000
    15    11  1985      135.078000
    16    11  1985      130.933000
    17    11  1985      126.809000
    18    11  1985      122.707000
    19    11  1985      124.755000
    20    11  1985      126.809000
    21    11  1985      179.818000
    22    11  1985      186.377000
    23    11  1985      149.753000
    24    11  1985      153.991000
    25    11  1985      151.869000
    26    11  1985      149.753000
    27    11  1985      149.753000
    28    11  1985      160.385000
    29    11  1985      190.771000
    30    11  1985      164.671000
     1    12  1985      166.821000
     2    12  1985      195.181000
     3    12  1985      201.829000
     4    12  1985      190.771000
     5    12  1985      312.717000
