EIRUNEPÉ-MONTANTE	-69.881	-6.684
     3     8  1984      480.400000
     4     8  1984      464.400000
     5     8  1984      448.400000
     6     8  1984      430.800000
     7     8  1984      418.000000
     8     8  1984      405.200000
     9     8  1984      395.600000
    10     8  1984      387.600000
    11     8  1984      382.800000
    12     8  1984      376.400000
    13     8  1984      371.600000
    14     8  1984      365.800000
    15     8  1984      361.600000
    16     8  1984      358.800000
    17     8  1984      360.200000
    18     8  1984      370.000000
    19     8  1984      371.600000
    20     8  1984      367.200000
    21     8  1984      367.200000
    22     8  1984      367.200000
    23     8  1984      367.200000
    24     8  1984      367.200000
    25     8  1984      368.600000
    26     8  1984      389.200000
    27     8  1984      411.600000
    28     8  1984      414.800000
    29     8  1984      418.000000
    30     8  1984      427.600000
    31     8  1984      430.800000
     1     9  1984      426.000000
     2     9  1984      418.000000
     3     9  1984      406.800000
     4     9  1984      397.200000
     5     9  1984      395.600000
     6     9  1984      389.200000
     7     9  1984      389.200000
     8     9  1984      392.400000
     9     9  1984      392.400000
    10     9  1984      408.400000
    11     9  1984      411.600000
    12     9  1984      408.400000
    13     9  1984      403.600000
    14     9  1984      395.600000
    15     9  1984      395.600000
    16     9  1984      397.200000
    17     9  1984      398.800000
    18     9  1984      405.200000
    19     9  1984      418.000000
    20     9  1984      402.000000
    21     9  1984      382.800000
    22     9  1984      370.000000
    23     9  1984      378.000000
    24     9  1984      376.400000
    25     9  1984      376.400000
    26     9  1984      376.400000
    27     9  1984      386.000000
    28     9  1984      402.000000
    29     9  1984      405.200000
    30     9  1984      403.600000
     1    10  1984      394.000000
     2    10  1984      389.200000
     3    10  1984      382.800000
     4    10  1984      378.000000
     5    10  1984      373.200000
     6    10  1984      367.200000
     7    10  1984      361.600000
     8    10  1984      358.800000
     9    10  1984      360.200000
    10    10  1984      365.800000
    11    10  1984      364.400000
    12    10  1984      364.400000
    13    10  1984      364.400000
    14    10  1984      370.000000
    15    10  1984      373.200000
    16    10  1984      395.600000
    17    10  1984      421.200000
    18    10  1984      442.000000
    19    10  1984      472.400000
    20    10  1984      520.400000
    21    10  1984      587.800000
    22    10  1984      696.000000
    23    10  1984      807.600000
    24    10  1984      883.600000
    25    10  1984      953.000000
    26    10  1984     1025.000000
    27    10  1984     1095.000000
    28    10  1984     1153.000000
    29    10  1984     1219.000000
    30    10  1984     1267.000000
    31    10  1984     1301.000000
     1    11  1984     1291.000000
     2    11  1984     1243.000000
     3    11  1984     1195.000000
     4    11  1984     1161.000000
     5    11  1984     1127.000000
     6    11  1984     1143.000000
     7    11  1984     1191.000000
     8    11  1984     1263.000000
     9    11  1984     1355.000000
    10    11  1984     1434.100000
    11    11  1984     1491.600000
    12    11  1984     1524.400000
    13    11  1984     1579.600000
    14    11  1984     1644.400000
    15    11  1984     1730.800000
    16    11  1984     1770.800000
    17    11  1984     1903.400000
    18    11  1984     2007.400000
    19    11  1984     2094.000000
    20    11  1984     2183.600000
    21    11  1984     2239.600000
    22    11  1984     2256.400000
    23    11  1984     2253.600000
    24    11  1984     2236.800000
    25    11  1984     2222.800000
    26    11  1984     2220.000000
    27    11  1984     2273.200000
    28    11  1984     2357.200000
    29    11  1984     2430.000000
    30    11  1984     2477.600000
     1    12  1984     2508.400000
     2    12  1984     2522.400000
     3    12  1984     2536.400000
     4    12  1984     2550.400000
     5    12  1984     2572.800000
     6    12  1984     2626.000000
     7    12  1984     2673.600000
     8    12  1984     2713.000000
     9    12  1984     2758.000000
    10    12  1984     2806.000000
    11    12  1984     2842.000000
    12    12  1984     2866.400000
    13    12  1984     2879.200000
    14    12  1984     2898.400000
    15    12  1984     2917.600000
    16    12  1984     2924.000000
    17    12  1984     2924.000000
    18    12  1984     2930.400000
    19    12  1984     2936.800000
    20    12  1984     2927.200000
    21    12  1984     2911.200000
    22    12  1984     2892.000000
    23    12  1984     2866.400000
    24    12  1984     2857.000000
    25    12  1984     2833.000000
    26    12  1984     2806.000000
    27    12  1984     2788.000000
    28    12  1984     2758.000000
    29    12  1984     2770.000000
    30    12  1984     2821.000000
    31    12  1984     2848.000000
     1     1  1985     2872.800000
     2     1  1985     2895.200000
     3     1  1985     2911.200000
     4     1  1985     2924.000000
     5     1  1985     2930.400000
     6     1  1985     2933.600000
     7     1  1985     2930.400000
     8     1  1985     2911.200000
     9     1  1985     2885.600000
    10     1  1985     2879.200000
    11     1  1985     2892.000000
    12     1  1985     2901.600000
    13     1  1985     2914.400000
    14     1  1985     2936.800000
    15     1  1985     2965.600000
    16     1  1985     2988.000000
    17     1  1985     3000.800000
    18     1  1985     3007.200000
    19     1  1985     3007.200000
    20     1  1985     3007.200000
    21     1  1985     3000.800000
    22     1  1985     2988.000000
    23     1  1985     2962.400000
    24     1  1985     2930.400000
    25     1  1985     2892.000000
    26     1  1985     2851.000000
    27     1  1985     2800.000000
    28     1  1985     2746.000000
    29     1  1985     2687.600000
    30     1  1985     2645.600000
    31     1  1985     2609.200000
     1     2  1985     2575.600000
     2     2  1985     2536.400000
     3     2  1985     2514.000000
     4     2  1985     2488.800000
     5     2  1985     2458.000000
     6     2  1985     2564.400000
     7     2  1985     2525.200000
     8     2  1985     2477.600000
     9     2  1985     2427.200000
    10     2  1985     2393.600000
    11     2  1985     2368.400000
    12     2  1985     2385.200000
    13     2  1985     2418.800000
    14     2  1985     2472.000000
    15     2  1985     2519.600000
    16     2  1985     2469.200000
    17     2  1985     2424.400000
    18     2  1985     2424.400000
    19     2  1985     2413.200000
    20     2  1985     2396.400000
    21     2  1985     2368.400000
    22     2  1985     2351.600000
    23     2  1985     2351.600000
    24     2  1985     2360.000000
    25     2  1985     2371.200000
    26     2  1985     2404.800000
    27     2  1985     2449.600000
    28     2  1985     2469.200000
     1     3  1985     2460.800000
     2     3  1985     2458.000000
     3     3  1985     2474.800000
     4     3  1985     2497.200000
     5     3  1985     2505.600000
     6     3  1985     2514.000000
     7     3  1985     2530.800000
     8     3  1985     2553.200000
     9     3  1985     2586.800000
    10     3  1985     2626.000000
    11     3  1985     2676.400000
    12     3  1985     2710.000000
    13     3  1985     2746.000000
    14     3  1985     2767.000000
    15     3  1985     2782.000000
    16     3  1985     2782.000000
    17     3  1985     2791.000000
    18     3  1985     2815.000000
    19     3  1985     2842.000000
    20     3  1985     2872.800000
    21     3  1985     2898.400000
    22     3  1985     2914.400000
    23     3  1985     2927.200000
    24     3  1985     2936.800000
    25     3  1985     2943.200000
    26     3  1985     2952.800000
    27     3  1985     2956.000000
    28     3  1985     2943.200000
    29     3  1985     2924.000000
    30     3  1985     2898.400000
    31     3  1985     2872.800000
     1     4  1985     2885.600000
     2     4  1985     2911.200000
     3     4  1985     2933.600000
     4     4  1985     2959.200000
     5     4  1985     2994.400000
     6     4  1985     3020.000000
     7     4  1985     3039.200000
     8     4  1985     3055.200000
     9     4  1985     3071.200000
    10     4  1985     3096.800000
    11     4  1985     3122.400000
    12     4  1985     3154.400000
    13     4  1985     3173.600000
    14     4  1985     3192.800000
    15     4  1985     3205.600000
    16     4  1985     3208.800000
    17     4  1985     3212.000000
    18     4  1985     3208.800000
    19     4  1985     3208.800000
    20     4  1985     3205.600000
    21     4  1985     3192.800000
    22     4  1985     3180.000000
    23     4  1985     3173.600000
    24     4  1985     3180.000000
    25     4  1985     3199.200000
    26     4  1985     3218.400000
    27     4  1985     3231.200000
