COLOCAÇÃOCAXIASNOVO	-69.000	-5.400
    14     6  1984      272.480000
    15     6  1984      286.550000
    16     6  1984      292.650000
    17     6  1984      288.580000
    18     6  1984      291.630000
    19     6  1984      289.600000
    20     6  1984      280.490000
    21     6  1984      266.520000
    22     6  1984      250.880000
    23     6  1984      232.740000
    24     6  1984      214.170000
    25     6  1984      197.050000
    26     6  1984      180.440000
    27     6  1984      165.190000
    28     6  1984      151.230000
    29     6  1984      140.060000
    30     6  1984      133.050000
     1     7  1984      128.440000
     2     7  1984      123.140000
     3     7  1984      117.180000
     4     7  1984      114.970000
     5     7  1984      112.780000
     6     7  1984      111.330000
     7     7  1984      111.330000
     8     7  1984      112.780000
     9     7  1984      117.920000
    10     7  1984      121.640000
    11     7  1984      130.740000
    12     7  1984      145.610000
    13     7  1984      153.660000
    14     7  1984      153.660000
    15     7  1984      148.810000
    16     7  1984      144.810000
    17     7  1984      140.060000
    18     7  1984      135.370000
    19     7  1984      135.370000
    20     7  1984      133.050000
    21     7  1984      127.680000
    22     7  1984      124.650000
    23     7  1984      123.890000
    24     7  1984      121.640000
    25     7  1984      117.920000
    26     7  1984      112.050000
    27     7  1984      107.010000
    28     7  1984      102.050000
    29     7  1984       97.860000
    30     7  1984       95.790000
    31     7  1984       93.730000
     1     8  1984       91.700000
     2     8  1984       89.000000
     3     8  1984       87.670000
     4     8  1984       86.340000
     5     8  1984       85.020000
     6     8  1984       83.700000
     7     8  1984       82.400000
     8     8  1984       81.100000
     9     8  1984       80.450000
    10     8  1984       79.800000
    11     8  1984       79.160000
    12     8  1984       81.100000
    13     8  1984       84.360000
    14     8  1984       90.350000
    15     8  1984       96.480000
    16     8  1984      102.750000
    17     8  1984      106.290000
    18     8  1984      101.340000
    19     8  1984       97.170000
    20     8  1984       94.420000
    21     8  1984       91.700000
    22     8  1984       89.000000
    23     8  1984       88.330000
    24     8  1984      101.340000
    25     8  1984      118.660000
    26     8  1984      124.650000
    27     8  1984      138.490000
    28     8  1984      140.850000
    29     8  1984      134.590000
    30     8  1984      121.640000
    31     8  1984      109.160000
     1     9  1984       99.940000
     2     9  1984       89.670000
     3     9  1984       83.700000
     4     9  1984       79.800000
     5     9  1984       77.240000
     6     9  1984       77.240000
     7     9  1984       82.400000
     8     9  1984       86.340000
     9     9  1984       95.790000
    10     9  1984       99.940000
    11     9  1984       99.940000
    12     9  1984      108.440000
    13     9  1984      123.890000
    14     9  1984      138.490000
    15     9  1984      150.420000
    16     9  1984      158.560000
    17     9  1984      157.740000
    18     9  1984      149.610000
    19     9  1984      136.930000
    20     9  1984      111.330000
    21     9  1984       97.170000
    22     9  1984      108.440000
    23     9  1984      161.860000
    24     9  1984      211.440000
    25     9  1984      232.740000
    26     9  1984      243.180000
    27     9  1984      223.390000
    28     9  1984      179.580000
    29     9  1984      171.910000
    30     9  1984      178.720000
     1    10  1984      184.760000
     2    10  1984      202.400000
     3    10  1984      216.920000
     4    10  1984      222.460000
     5    10  1984      226.180000
     6    10  1984      228.050000
     7    10  1984      218.760000
     8    10  1984      206.000000
     9    10  1984      266.520000
    10    10  1984      300.870000
    11    10  1984      300.870000
    12    10  1984      284.520000
    13    10  1984      256.710000
    14    10  1984      215.090000
    15    10  1984      200.610000
    16    10  1984      197.940000
    17    10  1984      192.630000
    18    10  1984      226.180000
    19    10  1984      356.190000
    20    10  1984      420.540000
    21    10  1984      440.450000
    22    10  1984      425.190000
    23    10  1984      407.820000
    24    10  1984      410.130000
    25    10  1984      457.100000
    26    10  1984      571.810000
    27    10  1984      608.490000
    28    10  1984      643.280000
    29    10  1984      663.660000
    30    10  1984      671.870000
    31    10  1984      665.020000
     1    11  1984      643.280000
     2    11  1984      551.210000
     3    11  1984      421.700000
     4    11  1984      302.930000
     5    11  1984      267.510000
     6    11  1984      254.760000
     7    11  1984      237.470000
     8    11  1984      253.790000
     9    11  1984      330.240000
    10    11  1984      342.050000
    11    11  1984      383.940000
    12    11  1984      427.530000
    13    11  1984      470.330000
    14    11  1984      495.960000
    15    11  1984      487.360000
    16    11  1984      459.490000
    17    11  1984      434.560000
    18    11  1984      402.090000
    19    11  1984      410.130000
    20    11  1984      433.390000
    21    11  1984      448.750000
    22    11  1984      447.560000
    23    11  1984      424.030000
    24    11  1984      369.420000
    25    11  1984      367.200000
    26    11  1984      402.090000
    27    11  1984      410.130000
    28    11  1984      435.740000
    29    11  1984      464.300000
    30    11  1984      505.850000
     1    12  1984      558.900000
     2    12  1984      571.810000
     3    12  1984      562.760000
     4    12  1984      586.120000
     5    12  1984      619.120000
     6    12  1984      645.980000
     7    12  1984      659.560000
     8    12  1984      673.240000
     9    12  1984      682.880000
    10    12  1984      674.620000
    11    12  1984      659.560000
    12    12  1984      654.120000
    13    12  1984      666.390000
    14    12  1984      689.790000
    15    12  1984      723.310000
    16    12  1984      760.260000
    17    12  1984      777.530000
    18    12  1984      800.780000
    19    12  1984      849.470000
    20    12  1984      867.440000
    21    12  1984      877.970000
    22    12  1984      884.020000
    23    12  1984      887.040000
    24    12  1984      888.560000
    25    12  1984      890.070000
    26    12  1984      890.070000
    27    12  1984      894.630000
    28    12  1984      902.230000
    29    12  1984      909.860000
    30    12  1984      920.580000
    31    12  1984      922.110000
     1     1  1985      923.650000
     2     1  1985      923.650000
     3     1  1985      926.720000
     4     1  1985      925.180000
     5     1  1985      929.800000
     6     1  1985      929.800000
     7     1  1985      926.720000
     8     1  1985      920.580000
     9     1  1985      902.230000
    10     1  1985      871.950000
    11     1  1985      824.260000
    12     1  1985      758.830000
    13     1  1985      682.880000
    14     1  1985      665.020000
    15     1  1985      693.950000
    16     1  1985      728.960000
    17     1  1985      751.680000
    18     1  1985      771.760000
    19     1  1985      789.120000
    20     1  1985      802.240000
    21     1  1985      811.020000
    22     1  1985      815.420000
    23     1  1985      812.490000
    24     1  1985      794.940000
    25     1  1985      737.450000
    26     1  1985      613.800000
    27     1  1985      481.260000
    28     1  1985      424.030000
    29     1  1985      381.700000
    30     1  1985      358.380000
    31     1  1985      334.520000
     1     2  1985      299.840000
     2     2  1985      290.610000
     3     2  1985      354.000000
     4     2  1985      370.530000
     5     2  1985      387.320000
     6     2  1985      418.220000
     7     2  1985      461.890000
     8     2  1985      503.370000
     9     2  1985      541.010000
    10     2  1985      561.470000
    11     2  1985      577.000000
    12     2  1985      587.430000
    13     2  1985      595.300000
    14     2  1985      605.850000
    15     2  1985      613.800000
    16     2  1985      613.800000
    17     2  1985      604.520000
    18     2  1985      596.610000
    19     2  1985      582.200000
    20     2  1985      574.400000
    21     2  1985      569.220000
    22     2  1985      564.050000
    23     2  1985      561.470000
    24     2  1985      558.900000
    25     2  1985      551.210000
    26     2  1985      544.830000
    27     2  1985      524.580000
    28     2  1985      491.040000
     1     3  1985      441.630000
     2     3  1985      398.670000
     3     3  1985      387.320000
     4     3  1985      487.360000
     5     3  1985      579.600000
     6     3  1985      629.820000
     7     3  1985      700.900000
     8     3  1985      757.400000
     9     3  1985      786.220000
    10     3  1985      799.320000
    11     3  1985      818.370000
    12     3  1985      843.520000
    13     3  1985      856.940000
    14     3  1985      856.940000
    15     3  1985      853.950000
    16     3  1985      849.470000
    17     3  1985      831.650000
    18     3  1985      803.700000
    19     3  1985      776.090000
    20     3  1985      751.680000
    21     3  1985      713.480000
    22     3  1985      685.640000
    23     3  1985      659.560000
    24     3  1985      659.560000
    25     3  1985      673.240000
    26     3  1985      691.180000
    27     3  1985      709.280000
    28     3  1985      728.960000
    29     3  1985      734.610000
    30     3  1985      750.250000
    31     3  1985      777.530000
     1     4  1985      809.550000
     2     4  1985      842.030000
     3     4  1985      862.930000
     4     4  1985      876.470000
     5     4  1985      897.660000
     6     4  1985      920.580000
     7     4  1985      931.340000
     8     4  1985      935.960000
     9     4  1985      939.050000
    10     4  1985      937.510000
    11     4  1985      932.880000
    12     4  1985      931.340000
    13     4  1985      932.880000
    14     4  1985      942.150000
    15     4  1985      949.890000
