BASEALALAÚ	-60.520	-0.859
     8     8  1984      323.821000
     9     8  1984      294.838000
    10     8  1984      262.639000
    11     8  1984      237.101000
    12     8  1984      226.293000
    13     8  1984      231.086000
    14     8  1984      255.298000
    15     8  1984      283.622000
    16     8  1984      297.340000
    17     8  1984      306.125000
    18     8  1984      313.689000
    19     8  1984      318.748000
    20     8  1984      301.100000
    21     8  1984      287.353000
    22     8  1984      278.661000
    23     8  1984      266.322000
    24     8  1984      238.307000
    25     8  1984      203.758000
    26     8  1984      179.329000
    27     8  1984      164.475000
    28     8  1984      164.475000
    29     8  1984      185.098000
    30     8  1984      229.886000
    31     8  1984      255.298000
     1     9  1984      252.859000
     2     9  1984      232.287000
     3     9  1984      213.199000
     4     9  1984      215.570000
     5     9  1984      261.413000
     6     9  1984      298.592000
     7     9  1984      345.528000
     8     9  1984      371.358000
     9     9  1984      388.311000
    10     9  1984      398.806000
    11     9  1984      397.491000
    12     9  1984      385.695000
    13     9  1984      366.167000
    14     9  1984      339.119000
    15     9  1984      313.689000
    16     9  1984      286.108000
    17     9  1984      284.865000
    18     9  1984      288.598000
    19     9  1984      288.598000
    20     9  1984      283.622000
    21     9  1984      276.186000
    22     9  1984      267.552000
    23     9  1984      261.413000
    24     9  1984      265.094000
    25     9  1984      271.247000
    26     9  1984      268.783000
    27     9  1984      261.413000
    28     9  1984      252.859000
    29     9  1984      234.692000
    30     9  1984      212.015000
     1    10  1984      202.583000
     2    10  1984      209.650000
     3    10  1984      215.570000
     4    10  1984      214.383000
     5    10  1984      210.832000
     6    10  1984      207.290000
     7    10  1984      207.290000
     8    10  1984      220.325000
     9    10  1984      226.293000
    10    10  1984      215.570000
    11    10  1984      204.935000
    12    10  1984      207.290000
    13    10  1984      222.709000
    14    10  1984      241.932000
    15    10  1984      250.424000
    16    10  1984      244.353000
    17    10  1984      237.101000
    18    10  1984      227.490000
    19    10  1984      216.757000
    20    10  1984      206.112000
    21    10  1984      189.735000
    22    10  1984      165.609000
    23    10  1984      145.385000
    24    10  1984      131.061000
    25    10  1984      121.294000
    26    10  1984      113.787000
    27    10  1984      106.361000
    28    10  1984      106.361000
    29    10  1984      120.217000
    30    10  1984      139.847000
    31    10  1984      145.385000
     1    11  1984      137.641000
     2    11  1984      134.345000
     3    11  1984      148.725000
     4    11  1984      145.385000
     5    11  1984      136.541000
     6    11  1984      132.154000
     7    11  1984      136.541000
     8    11  1984      143.165000
     9    11  1984      154.319000
    10    11  1984      177.029000
    11    11  1984      202.583000
    12    11  1984      197.895000
    13    11  1984      193.225000
    14    11  1984      187.414000
    15    11  1984      187.414000
    16    11  1984      220.325000
    17    11  1984      233.489000
    18    11  1984      228.687000
    19    11  1984      215.570000
    20    11  1984      188.574000
    21    11  1984      163.341000
    22    11  1984      139.847000
    23    11  1984      120.217000
    24    11  1984      110.594000
    25    11  1984       99.020600
    26    11  1984       92.800000
    27    11  1984      100.064000
    28    11  1984      114.854000
    29    11  1984      118.067000
    30    11  1984      116.994000
     1    12  1984      109.533000
     2    12  1984      100.064000
     3    12  1984       90.741700
     4    12  1984       83.599200
     5    12  1984       80.568500
     6    12  1984       78.558500
     7    12  1984       75.559500
     8    12  1984       73.571200
     9    12  1984       69.865000
    10    12  1984       68.618200
    11    12  1984       76.557000
    12    12  1984       85.629900
    13    12  1984       89.715400
    14    12  1984       86.648300
    15    12  1984       80.568500
    16    12  1984       72.401200
    17    12  1984       67.385500
    18    12  1984       64.962400
    19    12  1984       68.618200
    20    12  1984       68.618200
    21    12  1984       69.865000
    22    12  1984       72.401200
    23    12  1984       82.586900
    24    12  1984       94.866100
    25    12  1984      102.156000
    26    12  1984       97.979200
    27    12  1984       93.832100
    28    12  1984       91.769900
    29    12  1984      101.109000
