FEIJÓ	-70.368	-8.152
    16     4  1985      572.020000
    17     4  1985      486.430000
    18     4  1985      426.700000
    19     4  1985      413.320000
    20     4  1985      530.520000
    21     4  1985      723.050000
    22     4  1985      638.310000
    23     4  1985      647.730000
    24     4  1985      880.340000
    25     4  1985      916.410000
    26     4  1985      831.560000
    27     4  1985      652.470000
    28     4  1985      565.370000
    29     4  1985      536.970000
    30     4  1985      462.080000
     1     5  1985      446.190000
     2     5  1985      413.320000
     3     5  1985      462.080000
     4     5  1985      460.080000
     5     5  1985      440.300000
     6     5  1985      392.710000
     7     5  1985      346.050000
     8     5  1985      312.120000
     9     5  1985      281.480000
    10     5  1985      265.980000
    11     5  1985      332.270000
    12     5  1985      299.030000
    13     5  1985      351.280000
    14     5  1985      360.100000
    15     5  1985      385.340000
    16     5  1985      379.860000
    17     5  1985      367.220000
    18     5  1985      367.220000
    19     5  1985      400.140000
    20     5  1985      396.420000
    21     5  1985      360.100000
    22     5  1985      302.280000
    23     5  1985      275.230000
    24     5  1985      253.890000
    25     5  1985      234.820000
    26     5  1985      215.110000
    27     5  1985      147.030000
    28     5  1985      125.030000
    29     5  1985      119.800000
    30     5  1985      126.090000
    31     5  1985      125.030000
     1     6  1985      174.480000
     2     6  1985      220.660000
     3     6  1985      168.310000
     4     6  1985      156.310000
     5     6  1985      169.540000
     6     6  1985      144.750000
     7     6  1985      140.240000
     8     6  1985      136.910000
     9     6  1985      130.360000
    10     6  1985      127.150000
    11     6  1985      117.740000
    12     6  1985      113.670000
    13     6  1985      106.720000
    14     6  1985       99.040000
    15     6  1985       87.160000
    16     6  1985       81.930000
    17     6  1985       80.220000
    18     6  1985       79.380000
    19     6  1985       75.200000
    20     6  1985       75.200000
    21     6  1985       74.380000
    22     6  1985       70.340000
    23     6  1985       67.970000
    24     6  1985       66.410000
    25     6  1985       70.340000
    26     6  1985       71.140000
    27     6  1985       73.570000
    28     6  1985       76.030000
    29     6  1985       76.030000
    30     6  1985       76.860000
     1     7  1985       77.690000
     2     7  1985       74.380000
     3     7  1985       70.340000
     4     7  1985       69.550000
     5     7  1985       67.970000
     6     7  1985       66.410000
     7     7  1985       70.340000
     8     7  1985       66.410000
     9     7  1985       60.360000
    10     7  1985       61.100000
    11     7  1985       64.870000
    12     7  1985       73.570000
    13     7  1985       74.380000
    14     7  1985       67.970000
    15     7  1985       62.590000
    16     7  1985       59.620000
    17     7  1985       52.490000
    18     7  1985       49.770000
    19     7  1985       49.770000
    20     7  1985       49.100000
    21     7  1985       47.770000
    22     7  1985       46.460000
    23     7  1985       45.170000
    24     7  1985       43.890000
    25     7  1985       43.260000
    26     7  1985       40.780000
    27     7  1985       38.970000
    28     7  1985       38.380000
    29     7  1985       37.200000
    30     7  1985       40.780000
    31     7  1985       38.380000
     1     8  1985       36.620000
     2     8  1985       37.200000
     3     8  1985       39.570000
     4     8  1985       38.970000
     5     8  1985       38.970000
     6     8  1985       38.970000
     7     8  1985       39.570000
     8     8  1985       36.050000
     9     8  1985       38.970000
    10     8  1985       40.180000
    11     8  1985       37.200000
    12     8  1985       36.620000
    13     8  1985       34.340000
    14     8  1985       32.680000
    15     8  1985       31.680000
    16     8  1985       30.920000
    17     8  1985       29.810000
    18     8  1985       29.080000
    19     8  1985       27.300000
    20     8  1985       23.320000
    21     8  1985       21.460000
    22     8  1985       21.460000
    23     8  1985       20.570000
    24     8  1985       20.570000
    25     8  1985       22.380000
    26     8  1985       35.470000
    27     8  1985       39.570000
    28     8  1985       46.460000
