SANTARÉMSUCUNDURI	-59.042	-6.796
     1     9  2002       32.977300
     2     9  2002       32.268700
     3     9  2002       30.166200
     4     9  2002       28.099900
     5     9  2002       26.743200
     6     9  2002       25.403500
     7     9  2002       22.777300
     8     9  2002       22.777300
     9     9  2002       24.081400
    10     9  2002       20.225300
    11     9  2002       20.225300
    12     9  2002       20.225300
    13     9  2002       20.225300
    14     9  2002       24.081400
    15     9  2002       28.784600
    16     9  2002       25.403500
    17     9  2002       20.225300
    18     9  2002       20.225300
    19     9  2002       20.225300
    20     9  2002       20.856100
    21     9  2002       21.491800
    22     9  2002       22.132200
    23     9  2002       20.225300
    24     9  2002       21.491800
    25     9  2002       21.491800
    26     9  2002       22.777300
    27     9  2002       24.081400
    28     9  2002       36.577700
    29     9  2002       39.524100
    30     9  2002       43.286000
     1    10  2002       45.583800
     2    10  2002       44.048600
     3    10  2002       41.018500
     4    10  2002       39.524100
     5    10  2002       44.048600
     6    10  2002       41.018500
     7    10  2002       38.043700
     8    10  2002       28.099900
     9    10  2002       26.071200
    10    10  2002       26.743200
    11    10  2002       25.403500
    12    10  2002       22.777300
    13    10  2002       20.225300
    14    10  2002       28.099900
    15    10  2002       29.473300
    16    10  2002       36.577700
    17    10  2002       35.126300
    18    10  2002       29.473300
    19    10  2002       22.777300
    20    10  2002       25.403500
    21    10  2002       26.743200
    22    10  2002       29.473300
    23    10  2002       33.689900
    24    10  2002       36.577700
    25    10  2002       33.689900
    26    10  2002       32.268700
    27    10  2002       33.689900
    28    10  2002       35.126300
    29    10  2002       37.308900
    30    10  2002       32.977300
    31    10  2002       25.403500
     1    11  2002       26.071200
     2    11  2002       42.526800
     3    11  2002       44.814500
     4    11  2002       42.526800
     5    11  2002       39.524100
     6    11  2002       41.018500
     7    11  2002       46.356300
     8    11  2002       50.267100
     9    11  2002       51.853500
    10    11  2002       55.063000
    11    11  2002       57.501500
    12    11  2002       59.966300
    13    11  2002       61.623900
    14    11  2002       61.623900
    15    11  2002       58.320200
    16    11  2002       59.966300
