SERRINHA	-64.827	-0.482
    10     6  1985    23904.600000
    11     6  1985    24696.100000
    12     6  1985    25562.600000
    13     6  1985    26269.600000
    14     6  1985    26928.600000
    15     6  1985    27414.500000
    16     6  1985    27782.600000
    17     6  1985    28091.800000
    18     6  1985    28278.300000
    19     6  1985    28340.700000
    20     6  1985    28278.300000
    21     6  1985    28153.900000
    22     6  1985    28029.800000
    23     6  1985    27906.000000
    24     6  1985    27782.600000
    25     6  1985    27598.200000
    26     6  1985    27414.500000
    27     6  1985    27353.500000
    28     6  1985    27231.700000
    29     6  1985    26989.100000
    30     6  1985    26808.000000
     1     7  1985    26567.900000
     2     7  1985    26329.100000
     3     7  1985    26032.500000
     4     7  1985    25738.200000
     5     7  1985    25504.200000
     6     7  1985    25271.600000
     7     7  1985    24982.800000
     8     7  1985    24696.100000
     9     7  1985    24468.300000
    10     7  1985    24185.400000
    11     7  1985    24016.700000
    12     7  1985    23904.600000
    13     7  1985    23792.900000
    14     7  1985    23570.400000
    15     7  1985    23404.500000
    16     7  1985    23570.400000
    17     7  1985    23681.500000
    18     7  1985    24298.300000
    19     7  1985    24016.700000
    20     7  1985    24298.300000
    21     7  1985    24411.500000
    22     7  1985    24639.000000
    23     7  1985    24925.300000
    24     7  1985    25213.700000
    25     7  1985    25504.200000
    26     7  1985    25796.900000
    27     7  1985    26032.500000
    28     7  1985    26269.600000
    29     7  1985    26448.300000
    30     7  1985    26627.800000
    31     7  1985    26808.000000
     1     8  1985    26928.600000
     2     8  1985    26989.100000
     3     8  1985    27049.600000
     4     8  1985    27110.200000
     5     8  1985    26989.100000
     6     8  1985    26808.000000
     7     8  1985    26627.800000
     8     8  1985    26508.000000
     9     8  1985    26448.300000
    10     8  1985    26329.100000
    11     8  1985    26269.600000
    12     8  1985    26150.900000
    13     8  1985    26210.200000
    14     8  1985    26269.600000
    15     8  1985    26388.600000
    16     8  1985    26448.300000
    17     8  1985    26567.900000
    18     8  1985    26508.000000
    19     8  1985    26508.000000
    20     8  1985    26448.300000
    21     8  1985    26388.600000
    22     8  1985    26269.600000
    23     8  1985    26091.700000
    24     8  1985    25973.500000
    25     8  1985    25973.500000
    26     8  1985    25914.500000
    27     8  1985    25796.900000
    28     8  1985    25679.500000
    29     8  1985    25504.200000
    30     8  1985    25329.600000
    31     8  1985    25040.400000
     1     9  1985    24810.500000
     2     9  1985    24582.000000
     3     9  1985    24354.900000
     4     9  1985    24185.400000
     5     9  1985    23848.700000
     6     9  1985    23570.400000
     7     9  1985    23570.400000
     8     9  1985    23570.400000
     9     9  1985    23792.900000
    10     9  1985    23848.700000
    11     9  1985    23904.600000
    12     9  1985    23904.600000
    13     9  1985    23570.400000
    14     9  1985    23349.400000
    15     9  1985    23129.600000
    16     9  1985    22586.000000
    17     9  1985    22103.900000
    18     9  1985    21628.400000
    19     9  1985    21056.200000
    20     9  1985    20443.200000
    21     9  1985    19742.600000
