BOCADOPOMPEU-JUSANTE	-65.043	-10.918
    14     3  1985      242.107000
    15     3  1985      251.182000
    16     3  1985      251.182000
    17     3  1985      255.771000
    18     3  1985      255.771000
    19     3  1985      260.395000
    20     3  1985      265.053000
    21     3  1985      269.746000
    22     3  1985      269.746000
    23     3  1985      274.472000
    24     3  1985      265.053000
    25     3  1985      269.746000
    26     3  1985      265.053000
    27     3  1985      258.079000
    28     3  1985      248.900000
    29     3  1985      233.171000
    30     3  1985      226.562000
    31     3  1985      220.031000
     1     4  1985      217.872000
     2     4  1985      211.447000
     3     4  1985      207.209000
     4     4  1985      203.006000
     5     4  1985      198.839000
     6     4  1985      194.708000
     7     4  1985      188.580000
     8     4  1985      192.656000
     9     4  1985      211.447000
    10     4  1985      220.031000
    11     4  1985      224.376000
    12     4  1985      220.031000
    13     4  1985      217.872000
    14     4  1985      211.447000
    15     4  1985      200.918000
    16     4  1985      190.613000
    17     4  1985      186.555000
    18     4  1985      184.539000
    19     4  1985      184.539000
    20     4  1985      194.708000
    21     4  1985      215.721000
    22     4  1985      228.756000
    23     4  1985      235.392000
    24     4  1985      230.960000
    25     4  1985      217.872000
    26     4  1985      209.324000
    27     4  1985      207.209000
    28     4  1985      198.839000
    29     4  1985      190.613000
    30     4  1985      178.547000
     1     5  1985      174.598000
     2     5  1985      176.568000
     3     5  1985      176.568000
     4     5  1985      178.547000
     5     5  1985      174.598000
     6     5  1985      170.685000
     7     5  1985      162.972000
     8     5  1985      153.539000
     9     5  1985      144.341000
    10     5  1985      133.617000
    11     5  1985      126.660000
    12     5  1985      121.544000
    13     5  1985      119.858000
    14     5  1985      116.515000
    15     5  1985      111.576000
    16     5  1985      106.476000
    17     5  1985      104.462000
    18     5  1985      103.463000
    19     5  1985      102.469000
    20     5  1985      101.974000
    21     5  1985      100.989000
    22     5  1985       99.520900
    23     5  1985       98.065100
    24     5  1985       96.621500
    25     5  1985       95.665900
    26     5  1985       93.770700
    27     5  1985       90.968400
    28     5  1985       90.045000
    29     5  1985       89.585300
    30     5  1985       90.506000
    31     5  1985       90.506000
     1     6  1985       86.855100
     2     6  1985       84.616600
     3     6  1985       82.411300
     4     6  1985       80.239000
     5     6  1985       77.675600
     6     6  1985       75.159500
     7     6  1985       72.690300
     8     6  1985       69.868600
     9     6  1985       67.110300
    10     6  1985       64.414900
    11     6  1985       61.782200
    12     6  1985       59.575000
    13     6  1985       57.770600
    14     6  1985       55.646700
    15     6  1985       53.568000
    16     6  1985       51.534000
    17     6  1985       49.544700
    18     6  1985       47.920900
    19     6  1985       46.327700
    20     6  1985       44.148600
    21     6  1985       42.930100
    22     6  1985       41.434100
    23     6  1985       40.259000
    24     6  1985       39.103100
    25     6  1985       37.966300
    26     6  1985       36.572000
    27     6  1985       35.477800
    28     6  1985       34.402500
    29     6  1985       33.608400
    30     6  1985       32.308200
     1     7  1985       31.288900
     2     7  1985       30.288200
     3     7  1985       29.549800
     4     7  1985       28.821700
     5     7  1985       28.342000
     6     7  1985       27.866900
     7     7  1985       26.930400
     8     7  1985       26.012000
     9     7  1985       25.335100
    10     7  1985       25.335100
    11     7  1985       24.668200
    12     7  1985       23.794900
    13     7  1985       22.728200
    14     7  1985       22.101500
    15     7  1985       21.281400
    16     7  1985       20.677800
    17     7  1985       20.084100
    18     7  1985       19.307800
    19     7  1985       18.548800
    20     7  1985       18.361700
    21     7  1985       18.175700
    22     7  1985       17.807000
    23     7  1985       17.261900
    24     7  1985       16.550100
    25     7  1985       16.027400
    26     7  1985       15.514200
    27     7  1985       15.010500
    28     7  1985       14.679900
    29     7  1985       14.031300
    30     7  1985       13.713200
    31     7  1985       13.399200
     1     8  1985       13.243800
     2     8  1985       12.936000
     3     8  1985       14.516200
     4     8  1985       15.177300
     5     8  1985       15.345300
     6     8  1985       15.345300
     7     8  1985       15.010500
     8     8  1985       14.516200
     9     8  1985       12.936000
    10     8  1985       13.089400
    11     8  1985       12.332800
    12     8  1985       11.745900
    13     8  1985       11.316300
    14     8  1985       10.895900
    15     8  1985       10.484400
    16     8  1985       10.349200
    17     8  1985        9.949700
    18     8  1985        9.688400
    19     8  1985       10.349200
    20     8  1985       11.175200
    21     8  1985       11.458500
    22     8  1985       11.458500
    23     8  1985       11.458500
    24     8  1985       11.316300
    25     8  1985       11.316300
    26     8  1985       11.035000
    27     8  1985       10.757700
    28     8  1985       10.484400
    29     8  1985       10.349200
    30     8  1985       10.215100
    31     8  1985        9.688400
     1     9  1985        9.688400
     2     9  1985        9.949700
     3     9  1985        9.949700
     4     9  1985       10.081900
     5     9  1985       10.215100
     6     9  1985       10.484400
     7     9  1985       10.349200
     8     9  1985        9.949700
     9     9  1985        9.818600
    10     9  1985        9.430900
    11     9  1985        9.177400
    12     9  1985        8.927900
    13     9  1985        8.682200
    14     9  1985        8.560800
    15     9  1985        8.560800
    16     9  1985        8.320900
    17     9  1985        8.202500
    18     9  1985        8.085000
    19     9  1985        8.085000
    20     9  1985        8.320900
    21     9  1985        8.804500
    22     9  1985        8.927900
    23     9  1985        8.804500
    24     9  1985        8.804500
    25     9  1985        8.804500
    26     9  1985        8.804500
    27     9  1985        8.927900
    28     9  1985        8.804500
    29     9  1985        8.682200
    30     9  1985        8.440400
     1    10  1985        8.202500
     2    10  1985        7.968400
     3    10  1985        7.852800
     4    10  1985        7.738200
     5    10  1985        7.511800
     6    10  1985        7.289200
     7    10  1985        7.289200
     8    10  1985        7.400000
     9    10  1985        7.511800
    10    10  1985        7.624500
    11    10  1985        7.624500
    12    10  1985        7.400000
    13    10  1985        7.624500
    14    10  1985        7.852800
    15    10  1985        8.085000
    16    10  1985        8.202500
    17    10  1985        8.202500
    18    10  1985        8.440400
    19    10  1985        8.085000
    20    10  1985        8.804500
    21    10  1985        9.177400
    22    10  1985        9.949700
    23    10  1985       10.757700
    24    10  1985       11.458500
    25    10  1985       12.783700
    26    10  1985       14.679900
    27    10  1985       15.177300
    28    10  1985       15.514200
    29    10  1985       15.684200
    30    10  1985       16.200600
    31    10  1985       16.726500
     1    11  1985       17.261900
     2    11  1985       17.990800
     3    11  1985       18.548800
     4    11  1985       18.548800
     5    11  1985       18.736900
     6    11  1985       18.736900
     7    11  1985       19.116400
     8    11  1985       20.478800
     9    11  1985       21.484800
    10    11  1985       21.281400
    11    11  1985       21.079100
    12    11  1985       21.079100
    13    11  1985       22.518200
    14    11  1985       24.229300
    15    11  1985       25.335100
    16    11  1985       26.239900
    17    11  1985       27.396400
    18    11  1985       30.040900
    19    11  1985       32.308200
    20    11  1985       35.207200
    21    11  1985       37.966300
    22    11  1985       39.968300
