TARAQUÁ	-68.539	0.130
    17     5  1985     2218.270000
    18     5  1985     2291.910000
    19     5  1985     2366.450000
    20     5  1985     2416.640000
    21     5  1985     2458.770000
    22     5  1985     2509.680000
    23     5  1985     2560.980000
    24     5  1985     2621.330000
    25     5  1985     2717.220000
    26     5  1985     2841.130000
    27     5  1985     3003.470000
    28     5  1985     3187.790000
    29     5  1985     3328.720000
    30     5  1985     3385.740000
    31     5  1985     3423.950000
     1     6  1985     3462.320000
     2     6  1985     3549.240000
     3     6  1985     3975.590000
     4     6  1985     4388.300000
     5     6  1985     4740.190000
     6     6  1985     5102.180000
     7     6  1985     5439.880000
     8     6  1985     5808.980000
     9     6  1985     6020.570000
    10     6  1985     6163.210000
    11     6  1985     6259.000000
    12     6  1985     6331.210000
    13     6  1985     6343.270000
    14     6  1985     6307.100000
    15     6  1985     6223.020000
    16     6  1985     6139.350000
    17     6  1985     6008.740000
    18     6  1985     5949.730000
    19     6  1985     5926.180000
    20     6  1985     5879.190000
    21     6  1985     5832.350000
    22     6  1985     5762.340000
    23     6  1985     5657.930000
    24     6  1985     5542.760000
    25     6  1985     5451.270000
    26     6  1985     5394.380000
    27     6  1985     5292.540000
    28     6  1985     5225.060000
    29     6  1985     5068.860000
    30     6  1985     5202.630000
     1     7  1985     5292.540000
     2     7  1985     5519.840000
     3     7  1985     5704.250000
     4     7  1985     5727.460000
     5     7  1985     5762.340000
     6     7  1985     5750.710000
     7     7  1985     5692.660000
     8     7  1985     5600.240000
     9     7  1985     5462.680000
    10     7  1985     5371.690000
    11     7  1985     5236.280000
    12     7  1985     5180.250000
    13     7  1985     5068.860000
    14     7  1985     5035.620000
    15     7  1985     4991.430000
    16     7  1985     4969.390000
    17     7  1985     5079.960000
    18     7  1985     5281.270000
    19     7  1985     5531.300000
    20     7  1985     5855.750000
    21     7  1985     6044.260000
    22     7  1985     6163.210000
    23     7  1985     6235.000000
    24     7  1985     6247.000000
    25     7  1985     6211.040000
    26     7  1985     6127.440000
    27     7  1985     5973.310000
    28     7  1985     5820.660000
    29     7  1985     5657.930000
    30     7  1985     5519.840000
    31     7  1985     5417.110000
     1     8  1985     5281.270000
     2     8  1985     5146.730000
     3     8  1985     5013.510000
     4     8  1985     4903.490000
     5     8  1985     4837.920000
     6     8  1985     4892.540000
     7     8  1985     4903.490000
     8     8  1985     4827.020000
     9     8  1985     4707.780000
    10     8  1985     4568.300000
    11     8  1985     4430.410000
    12     8  1985     4388.300000
    13     8  1985     4335.870000
    14     8  1985     4335.870000
    15     8  1985     4377.790000
    16     8  1985     4483.250000
    17     8  1985     4600.350000
    18     8  1985     4696.990000
    19     8  1985     4729.370000
    20     8  1985     4696.990000
    21     8  1985     4653.950000
    22     8  1985     4578.970000
    23     8  1985     4504.460000
    24     8  1985     4419.860000
    25     8  1985     4314.970000
    26     8  1985     4211.030000
    27     8  1985     4108.040000
    28     8  1985     4036.520000
    29     8  1985     4056.900000
    30     8  1985     4067.110000
    31     8  1985     4077.330000
     1     9  1985     4077.330000
     2     9  1985     4056.900000
     3     9  1985     4006.010000
     4     9  1985     3995.860000
     5     9  1985     4128.560000
     6     9  1985     4273.280000
     7     9  1985     4294.110000
     8     9  1985     4242.110000
     9     9  1985     4169.720000
    10     9  1985     4087.560000
    11     9  1985     4036.520000
    12     9  1985     3904.950000
    13     9  1985     3784.960000
    14     9  1985     3715.620000
    15     9  1985     3617.400000
    16     9  1985     3568.670000
    17     9  1985     3510.510000
    18     9  1985     3423.950000
    19     9  1985     3319.260000
    20     9  1985     3206.450000
    21     9  1985     3095.110000
    22     9  1985     3021.710000
    23     9  1985     2948.980000
    24     9  1985     2867.950000
    25     9  1985     2796.640000
    26     9  1985     2743.600000
    27     9  1985     2699.690000
    28     9  1985     2656.050000
    29     9  1985     2586.780000
    30     9  1985     2543.840000
     1    10  1985     2552.410000
     2    10  1985     2595.400000
     3    10  1985     2638.670000
