PEDRASNEGRAS	-62.899	-12.851
    26     6  1984     1122.670000
    27     6  1984     1114.600000
    28     6  1984     1106.570000
    29     6  1984     1086.600000
    30     6  1984     1066.830000
     1     7  1984     1047.250000
     2     7  1984     1035.590000
     3     7  1984     1016.320000
     4     7  1984     1001.030000
     5     7  1984      989.649000
     6     7  1984      982.098000
     7     7  1984      970.829000
     8     7  1984      952.200000
     9     7  1984      930.095000
    10     7  1984      908.263000
    11     7  1984      890.278000
    12     7  1984      872.482000
    13     7  1984      837.457000
    14     7  1984      809.980000
    15     7  1984      782.985000
    16     7  1984      756.471000
    17     7  1984      724.003000
    18     7  1984      698.567000
    19     7  1984      679.805000
    20     7  1984      661.310000
    21     7  1984      640.073000
    22     7  1984      619.199000
    23     7  1984      601.597000
    24     7  1984      578.543000
    25     7  1984      561.563000
    26     7  1984      544.849000
    27     7  1984      522.977000
    28     7  1984      501.575000
    29     7  1984      480.644000
    30     7  1984      465.253000
    31     7  1984      445.141000
     1     8  1984      425.496000
     2     8  1984      411.068000
     3     8  1984      403.952000
     4     8  1984      394.566000
     5     8  1984      382.996000
     6     8  1984      369.352000
     7     8  1984      353.762000
     8     8  1984      345.012000
     9     8  1984      334.237000
    10     8  1984      325.746000
    11     8  1984      317.370000
    12     8  1984      307.061000
    13     8  1984      298.943000
    14     8  1984      290.939000
    15     8  1984      285.011000
    16     8  1984      283.049000
    17     8  1984      281.095000
    18     8  1984      277.207000
    19     8  1984      273.348000
    20     8  1984      269.517000
    21     8  1984      265.714000
    22     8  1984      263.824000
    23     8  1984      261.940000
    24     8  1984      265.714000
    25     8  1984      269.517000
    26     8  1984      263.824000
    27     8  1984      258.195000
    28     8  1984      258.195000
    29     8  1984      260.064000
    30     8  1984      260.064000
    31     8  1984      261.940000
     1     9  1984      261.940000
     2     9  1984      263.824000
     3     9  1984      261.940000
     4     9  1984      260.064000
     5     9  1984      258.195000
     6     9  1984      256.332000
     7     9  1984      254.477000
     8     9  1984      250.788000
     9     9  1984      247.128000
    10     9  1984      243.496000
    11     9  1984      239.892000
    12     9  1984      236.316000
    13     9  1984      231.005000
    14     9  1984      225.758000
    15     9  1984      225.758000
    16     9  1984      222.295000
    17     9  1984      222.295000
    18     9  1984      218.860000
    19     9  1984      217.154000
    20     9  1984      215.454000
    21     9  1984      213.761000
    22     9  1984      212.075000
    23     9  1984      212.075000
    24     9  1984      212.075000
    25     9  1984      210.396000
    26     9  1984      208.725000
    27     9  1984      208.725000
    28     9  1984      207.060000
    29     9  1984      205.402000
    30     9  1984      202.108000
     1    10  1984      200.471000
     2    10  1984      198.842000
     3    10  1984      198.842000
     4    10  1984      197.219000
     5    10  1984      195.603000
     6    10  1984      192.393000
     7    10  1984      192.393000
     8    10  1984      190.798000
     9    10  1984      189.210000
    10    10  1984      189.210000
    11    10  1984      189.210000
    12    10  1984      187.630000
    13    10  1984      186.056000
    14    10  1984      184.489000
    15    10  1984      182.929000
    16    10  1984      179.830000
    17    10  1984      173.716000
    18    10  1984      175.234000
    19    10  1984      186.056000
    20    10  1984      182.929000
    21    10  1984      184.489000
    22    10  1984      186.056000
    23    10  1984      186.056000
    24    10  1984      187.630000
    25    10  1984      189.210000
    26    10  1984      189.210000
    27    10  1984      192.393000
    28    10  1984      195.603000
    29    10  1984      198.842000
    30    10  1984      205.402000
    31    10  1984      217.154000
     1    11  1984      218.860000
     2    11  1984      222.295000
     3    11  1984      225.758000
     4    11  1984      229.249000
     5    11  1984      236.316000
     6    11  1984      239.892000
     7    11  1984      248.955000
     8    11  1984      258.195000
     9    11  1984      260.064000
    10    11  1984      263.824000
    11    11  1984      269.517000
    12    11  1984      275.274000
    13    11  1984      281.095000
    14    11  1984      286.980000
    15    11  1984      298.943000
    16    11  1984      305.021000
    17    11  1984      317.370000
    18    11  1984      338.525000
    19    11  1984      360.400000
    20    11  1984      387.602000
    21    11  1984      396.901000
    22    11  1984      415.848000
    23    11  1984      427.926000
    24    11  1984      440.186000
    25    11  1984      450.125000
    26    11  1984      455.138000
    27    11  1984      462.713000
    28    11  1984      472.915000
    29    11  1984      485.832000
    30    11  1984      498.933000
     1    12  1984      517.582000
     2    12  1984      531.124000
     3    12  1984      542.089000
     4    12  1984      550.391000
     5    12  1984      561.563000
     6    12  1984      572.854000
     7    12  1984      581.399000
     8    12  1984      595.789000
     9    12  1984      607.435000
    10    12  1984      628.101000
    11    12  1984      640.073000
    12    12  1984      652.164000
    13    12  1984      664.374000
    14    12  1984      676.704000
    15    12  1984      689.152000
    16    12  1984      701.721000
    17    12  1984      724.003000
    18    12  1984      753.190000
    19    12  1984      776.311000
    20    12  1984      789.689000
    21    12  1984      830.543000
    22    12  1984      858.382000
    23    12  1984      879.578000
    24    12  1984      897.449000
    25    12  1984      915.510000
    26    12  1984      933.760000
    27    12  1984      955.910000
    28    12  1984      989.649000
    29    12  1984     1004.840000
    30    12  1984     1020.160000
    31    12  1984     1031.720000
     1     1  1985     1051.150000
     2     1  1985     1062.900000
     3     1  1985     1074.720000
     4     1  1985     1090.580000
     5     1  1985     1114.600000
     6     1  1985     1142.980000
     7     1  1985     1159.370000
     8     1  1985     1175.870000
     9     1  1985     1188.330000
    10     1  1985     1196.680000
    11     1  1985     1205.050000
    12     1  1985     1213.460000
    13     1  1985     1221.900000
    14     1  1985     1238.870000
    15     1  1985     1260.250000
    16     1  1985     1277.500000
    17     1  1985     1303.480000
    18     1  1985     1339.170000
    19     1  1985     1367.970000
    20     1  1985     1389.720000
    21     1  1985     1411.590000
    22     1  1985     1440.960000
    23     1  1985     1470.540000
    24     1  1985     1485.410000
