SERINGALDACARIDADE	-68.577	-9.044
    22     4  1984     1551.460000
    23     4  1984     2080.780000
    24     4  1984     2726.520000
    25     4  1984     3499.850000
    26     4  1984     4208.680000
    27     4  1984     4347.960000
    28     4  1984     4261.460000
    29     4  1984     4261.460000
    30     4  1984     4169.320000
     1     5  1984     3571.880000
     2     5  1984     2742.260000
     3     5  1984     2140.330000
     4     5  1984     1787.790000
     5     5  1984     1537.330000
     6     5  1984     1378.870000
     7     5  1984     1257.200000
     8     5  1984     1161.400000
     9     5  1984     1050.420000
    10     5  1984      960.360000
    11     5  1984      894.850000
    12     5  1984      994.020000
    13     5  1984      960.360000
    14     5  1984      891.930000
    15     5  1984      823.350000
    16     5  1984      790.130000
    17     5  1984      771.090000
    18     5  1984      752.290000
    19     5  1984      725.850000
    20     5  1984      705.050000
    21     5  1984      694.770000
    22     5  1984      694.770000
    23     5  1984      664.410000
    24     5  1984      634.760000
    25     5  1984      610.590000
    26     5  1984      559.150000
    27     5  1984      541.030000
    28     5  1984      654.450000
    29     5  1984      679.510000
    30     5  1984      591.610000
    31     5  1984      503.570000
     1     6  1984      465.430000
     2     6  1984      434.840000
     3     6  1984      403.420000
     4     6  1984      376.940000
     5     6  1984      360.410000
     6     6  1984      354.980000
     7     6  1984      347.820000
     8     6  1984      326.780000
     9     6  1984      323.350000
    10     6  1984      342.500000
    11     6  1984      337.220000
    12     6  1984      331.980000
    13     6  1984      313.140000
    14     6  1984      298.160000
    15     6  1984      326.780000
    16     6  1984      354.980000
    17     6  1984      362.220000
    18     6  1984      347.820000
    19     6  1984      326.780000
    20     6  1984      303.110000
    21     6  1984      283.560000
    22     6  1984      264.690000
    23     6  1984      249.490000
    24     6  1984      240.590000
    25     6  1984      233.310000
    26     6  1984      226.140000
    27     6  1984      226.140000
    28     6  1984      237.660000
    29     6  1984      242.060000
    30     6  1984      236.210000
     1     7  1984      224.720000
     2     7  1984      208.470000
     3     7  1984      201.390000
     4     7  1984      197.890000
     5     7  1984      194.430000
     6     7  1984      191.000000
     7     7  1984      191.000000
     8     7  1984      187.610000
     9     7  1984      185.920000
    10     7  1984      185.920000
    11     7  1984      184.240000
    12     7  1984      177.600000
    13     7  1984      167.890000
    14     7  1984      161.570000
    15     7  1984      161.570000
    16     7  1984      158.460000
    17     7  1984      153.850000
