CAREIRO	-59.833	-3.196
     8     5  2001    19843.200000
     9     5  2001    19898.200000
    10     5  2001    19953.300000
    11     5  2001    20008.500000
    12     5  2001    20063.800000
    13     5  2001    20119.200000
    14     5  2001    20174.700000
    15     5  2001    20230.300000
    16     5  2001    20286.000000
    17     5  2001    20341.800000
    18     5  2001    20369.700000
    19     5  2001    20397.700000
    20     5  2001    20453.700000
    21     5  2001    20566.000000
    22     5  2001    20622.300000
    23     5  2001    20678.800000
    24     5  2001    20763.600000
    25     5  2001    20877.100000
    26     5  2001    20990.900000
    27     5  2001    21076.600000
    28     5  2001    21133.900000
    29     5  2001    21191.200000
    30     5  2001    21219.900000
    31     5  2001    21191.200000
     1     6  2001    21248.700000
     2     6  2001    21363.900000
     3     6  2001    21421.700000
     4     6  2001    21479.500000
     5     6  2001    21537.500000
     6     6  2001    21595.600000
     7     6  2001    21653.800000
     8     6  2001    21712.100000
     9     6  2001    21712.100000
    10     6  2001    21741.200000
    11     6  2001    21799.700000
    12     6  2001    21964.000000
    13     6  2001    22132.900000
    14     6  2001    22302.200000
    15     6  2001    22302.200000
    16     6  2001    22472.100000
    17     6  2001    22472.100000
    18     6  2001    22642.600000
    19     6  2001    22642.600000
    20     6  2001    22642.600000
    21     6  2001    22557.300000
    22     6  2001    22557.300000
    23     6  2001    22472.100000
    24     6  2001    22472.100000
    25     6  2001    22387.100000
    26     6  2001    22302.200000
    27     6  2001    22302.200000
    28     6  2001    22302.200000
    29     6  2001    22217.500000
    30     6  2001    22132.900000
     1     7  2001    22132.900000
     2     7  2001    21964.000000
     3     7  2001    21916.900000
     4     7  2001    21887.500000
     5     7  2001    21741.200000
     6     7  2001    21712.100000
     7     7  2001    21682.900000
     8     7  2001    21653.800000
     9     7  2001    21595.600000
    10     7  2001    21479.500000
    11     7  2001    21421.700000
    12     7  2001    21306.200000
    13     7  2001    21219.900000
    14     7  2001    21133.900000
    15     7  2001    21048.000000
    16     7  2001    20933.900000
    17     7  2001    20820.300000
    18     7  2001    20707.000000
    19     7  2001    20594.200000
    20     7  2001    20481.800000
    21     7  2001    20341.800000
    22     7  2001    20230.300000
    23     7  2001    20091.400000
    24     7  2001    19953.300000
    25     7  2001    19815.700000
    26     7  2001    19706.100000
    27     7  2001    19569.700000
    28     7  2001    19461.100000
    29     7  2001    19352.800000
    30     7  2001    19271.900000
    31     7  2001    19137.500000
     1     8  2001    19030.400000
     2     8  2001    18870.600000
     3     8  2001    18711.600000
     4     8  2001    18553.600000
     5     8  2001    18396.400000
     6     8  2001    18240.100000
     7     8  2001    18084.800000
     8     8  2001    17955.900000
     9     8  2001    17853.300000
    10     8  2001    17725.600000
    11     8  2001    17573.200000
    12     8  2001    17346.200000
    13     8  2001    17121.100000
    14     8  2001    16947.400000
    15     8  2001    16774.900000
    16     8  2001    16579.200000
    17     8  2001    16385.000000
    18     8  2001    16192.300000
    19     8  2001    16001.200000
    20     8  2001    15764.400000
    21     8  2001    15576.600000
    22     8  2001    15413.500000
    23     8  2001    15228.600000
    24     8  2001    15068.000000
    25     8  2001    14840.500000
    26     8  2001    14660.100000
    27     8  2001    14436.800000
