SANTOANTÔNIODOIÇÁ	-67.933	-3.083
     5     2  1984    54660.400000
     6     2  1984    55272.800000
     7     2  1984    56056.300000
     8     2  1984    56731.400000
     9     2  1984    57466.500000
    10     2  1984    58091.600000
    11     2  1984    58948.500000
    12     2  1984    59695.300000
    13     2  1984    60156.800000
    14     2  1984    60851.800000
    15     2  1984    61316.900000
    16     2  1984    61841.900000
    17     2  1984    62368.800000
    18     2  1984    62838.700000
    19     2  1984    63487.100000
    20     2  1984    64019.700000
    21     2  1984    64375.800000
    22     2  1984    65030.700000
    23     2  1984    65628.400000
    24     2  1984    66168.300000
    25     2  1984    66649.700000
    26     2  1984    67132.600000
    27     2  1984    67616.900000
    28     2  1984    67981.000000
    29     2  1984    68589.800000
     1     3  1984    69115.800000
     2     3  1984    69631.500000
     3     3  1984    70235.300000
     4     3  1984    70841.100000
     5     3  1984    71188.300000
     6     3  1984    71449.100000
     7     3  1984    71884.700000
     8     3  1984    72321.400000
     9     3  1984    72496.300000
    10     3  1984    72671.500000
    11     3  1984    73022.300000
    12     3  1984    73549.800000
    13     3  1984    73726.000000
    14     3  1984    73990.600000
    15     3  1984    74255.600000
    16     3  1984    74432.500000
    17     3  1984    74786.800000
    18     3  1984    74964.200000
    19     3  1984    75141.800000
    20     3  1984    75141.800000
    21     3  1984    75230.600000
    22     3  1984    75230.600000
    23     3  1984    75319.500000
    24     3  1984    75319.500000
    25     3  1984    75141.800000
    26     3  1984    74964.200000
    27     3  1984    74609.600000
    28     3  1984    74432.500000
    29     3  1984    74255.600000
    30     3  1984    74078.900000
    31     3  1984    73902.400000
     1     4  1984    73549.800000
     2     4  1984    73373.800000
     3     4  1984    73198.000000
     4     4  1984    73022.300000
     5     4  1984    72934.500000
     6     4  1984    73022.300000
     7     4  1984    73022.300000
     8     4  1984    73110.100000
     9     4  1984    73110.100000
    10     4  1984    73198.000000
    11     4  1984    73373.800000
    12     4  1984    73549.800000
    13     4  1984    73726.000000
    14     4  1984    73990.600000
    15     4  1984    74255.600000
    16     4  1984    74609.600000
    17     4  1984    74786.800000
    18     4  1984    74964.200000
    19     4  1984    75141.800000
    20     4  1984    75319.500000
    21     4  1984    75497.500000
    22     4  1984    75497.500000
    23     4  1984    75497.500000
    24     4  1984    75586.500000
    25     4  1984    75586.500000
    26     4  1984    75764.700000
    27     4  1984    76121.600000
    28     4  1984    76927.100000
    29     4  1984    77376.100000
    30     4  1984    77556.000000
     1     5  1984    78006.500000
     2     5  1984    78096.800000
     3     5  1984    78096.800000
     4     5  1984    78096.800000
     5     5  1984    78187.000000
     6     5  1984    78367.700000
     7     5  1984    78548.600000
     8     5  1984    78910.800000
     9     5  1984    78910.800000
    10     5  1984    78729.600000
    11     5  1984    78458.100000
    12     5  1984    78910.800000
    13     5  1984    79092.200000
    14     5  1984    79273.700000
    15     5  1984    79092.200000
    16     5  1984    79273.700000
    17     5  1984    79455.400000
    18     5  1984    79455.400000
    19     5  1984    79273.700000
    20     5  1984    79273.700000
    21     5  1984    79273.700000
    22     5  1984    79364.500000
    23     5  1984    79364.500000
    24     5  1984    79092.200000
    25     5  1984    78910.800000
    26     5  1984    78910.800000
    27     5  1984    78910.800000
    28     5  1984    78729.600000
    29     5  1984    78548.600000
    30     5  1984    78458.100000
    31     5  1984    78367.700000
