HUMAITÁ	-63.020	-7.505
    27     4  1984    53467.900000
    28     4  1984    53327.800000
    29     4  1984    53327.800000
    30     4  1984    53608.100000
     1     5  1984    53608.100000
     2     5  1984    53748.400000
     3     5  1984    53748.400000
     4     5  1984    53748.400000
     5     5  1984    53608.100000
     6     5  1984    53187.800000
     7     5  1984    52628.600000
     8     5  1984    52070.800000
     9     5  1984    50959.300000
    10     5  1984    50267.400000
    11     5  1984    49440.100000
    12     5  1984    49027.600000
    13     5  1984    48068.300000
    14     5  1984    46705.400000
    15     5  1984    45486.600000
    16     5  1984    45082.000000
    17     5  1984    44141.200000
    18     5  1984    43071.600000
    19     5  1984    42273.500000
    20     5  1984    40424.600000
    21     5  1984    39246.100000
    22     5  1984    37558.400000
    23     5  1984    36656.700000
    24     5  1984    36143.700000
    25     5  1984    35632.500000
    26     5  1984    35250.100000
    27     5  1984    34906.400000
    28     5  1984    34579.500000
    29     5  1984    34283.300000
    30     5  1984    33988.100000
    31     5  1984    33752.600000
     1     6  1984    33400.500000
     2     6  1984    33108.200000
     3     6  1984    32758.600000
     4     6  1984    32381.500000
     5     6  1984    32352.600000
     6     6  1984    32294.700000
     7     6  1984    32236.900000
     8     6  1984    32179.100000
     9     6  1984    31775.800000
    10     6  1984    31431.700000
    11     6  1984    31031.900000
    12     6  1984    30690.800000
    13     6  1984    30464.100000
    14     6  1984    30181.700000
    15     6  1984    29731.900000
    16     6  1984    29117.600000
    17     6  1984    28729.200000
    18     6  1984    28177.700000
    19     6  1984    27521.300000
    20     6  1984    27141.000000
    21     6  1984    26655.000000
    22     6  1984    26199.100000
    23     6  1984    25693.000000
    24     6  1984    25481.000000
    25     6  1984    25481.000000
    26     6  1984    25243.300000
    27     6  1984    24849.000000
    28     6  1984    24535.300000
    29     6  1984    24119.300000
    30     6  1984    23834.800000
     1     7  1984    23680.200000
     2     7  1984    23551.600000
     3     7  1984    23448.900000
     4     7  1984    23372.100000
     5     7  1984    23218.600000
     6     7  1984    23142.000000
     7     7  1984    23040.000000
     8     7  1984    22887.300000
     9     7  1984    22684.300000
    10     7  1984    22482.100000
    11     7  1984    22079.500000
    12     7  1984    21679.700000
    13     7  1984    21431.300000
    14     7  1984    21208.600000
    15     7  1984    21063.700000
    16     7  1984    20832.700000
    17     7  1984    20660.100000
    18     7  1984    20545.300000
    19     7  1984    20373.600000
    20     7  1984    20259.400000
    21     7  1984    20088.500000
    22     7  1984    19748.300000
    23     7  1984    19354.200000
    24     7  1984    18907.300000
    25     7  1984    18299.000000
    26     7  1984    17834.000000
    27     7  1984    17104.400000
    28     7  1984    16465.300000
    29     7  1984    15704.900000
    30     7  1984    14906.700000
    31     7  1984    14098.700000
     1     8  1984    13209.600000
     2     8  1984    12724.800000
     3     8  1984    12223.000000
     4     8  1984    11822.100000
     5     8  1984    11635.200000
     6     8  1984    11449.300000
     7     8  1984    11012.300000
     8     8  1984    10671.700000
     9     8  1984    10469.200000
    10     8  1984    10268.200000
    11     8  1984     9826.460000
    12     8  1984     9521.500000
    13     8  1984     9220.070000
    14     8  1984     8879.920000
    15     8  1984     8732.580000
    16     8  1984     8711.600000
    17     8  1984     8837.730000
    18     8  1984     8607.000000
    19     8  1984     8565.290000
    20     8  1984     8523.650000
    21     8  1984     8440.590000
    22     8  1984     8378.500000
    23     8  1984     8275.380000
    24     8  1984     8193.220000
    25     8  1984     8254.810000
    26     8  1984     8316.570000
    27     8  1984     8213.730000
    28     8  1984     8152.250000
    29     8  1984     8050.160000
    30     8  1984     7948.540000
    31     8  1984     7847.390000
     1     9  1984     7766.810000
     2     9  1984     7666.520000
     3     9  1984     7526.900000
     4     9  1984     7427.750000
     5     9  1984     7329.080000
     6     9  1984     7172.210000
     7     9  1984     7035.970000
     8     9  1984     6900.680000
     9     9  1984     6766.350000
    10     9  1984     6595.070000
    11     9  1984     6444.160000
    12     9  1984     6350.490000
    13     9  1984     6294.530000
    14     9  1984     6257.330000
    15     9  1984     6164.660000
    16     9  1984     6072.500000
    17     9  1984     6017.450000
    18     9  1984     5907.900000
    19     9  1984     5835.270000
    20     9  1984     5762.970000
    21     9  1984     5708.960000
    22     9  1984     5655.140000
    23     9  1984     5565.850000
    24     9  1984     5494.790000
    25     9  1984     5424.070000
    26     9  1984     5353.680000
    27     9  1984     5283.620000
    28     9  1984     5213.910000
    29     9  1984     5179.170000
    30     9  1984     5109.970000
     1    10  1984     5075.490000
     2    10  1984     5041.100000
     3    10  1984     5041.100000
     4    10  1984     5127.240000
     5    10  1984     5424.070000
     6    10  1984     6109.310000
     7    10  1984     6709.080000
     8    10  1984     6900.680000
     9    10  1984     6823.800000
    10    10  1984     6671.000000
    11    10  1984     6444.160000
    12    10  1984     6257.330000
    13    10  1984     6054.130000
    14    10  1984     5762.970000
    15    10  1984     5601.510000
    16    10  1984     5459.390000
    17    10  1984     5406.440000
    18    10  1984     5336.130000
    19    10  1984     5266.160000
    20    10  1984     5196.530000
    21    10  1984     5127.240000
    22    10  1984     5058.280000
    23    10  1984     5058.280000
    24    10  1984     5144.530000
    25    10  1984     5283.620000
    26    10  1984     5817.170000
    27    10  1984     6557.220000
    28    10  1984     7289.750000
    29    10  1984     8090.940000
    30    10  1984     8879.920000
    31    10  1984     9738.970000
     1    11  1984    10134.900000
     2    11  1984    10268.200000
     3    11  1984    10581.500000
     4    11  1984    10898.400000
     5    11  1984    11218.600000
     6    11  1984    11542.100000
     7    11  1984    11869.000000
     8    11  1984    12199.300000
     9    11  1984    12556.700000
    10    11  1984    12918.000000
    11    11  1984    13258.500000
    12    11  1984    13602.200000
    13    11  1984    14048.800000
    14    11  1984    14500.700000
    15    11  1984    14855.700000
    16    11  1984    15316.800000
    17    11  1984    15678.900000
    18    11  1984    16096.500000
    19    11  1984    16571.200000
    20    11  1984    17158.000000
    21    11  1984    17915.700000
    22    11  1984    18602.200000
    23    11  1984    18935.100000
    24    11  1984    19438.400000
    25    11  1984    19918.200000
    26    11  1984    20430.800000
