RIOBRANCO	-67.800	-9.976
     9     8  1985       83.040000
    10     8  1985       78.500000
    11     8  1985       76.270000
    12     8  1985       70.280000
    13     8  1985       64.510000
    14     8  1985       59.940000
    15     8  1985       54.570000
    16     8  1985       53.620000
    17     8  1985       51.730000
    18     8  1985       52.200000
    19     8  1985       53.620000
    20     8  1985       53.620000
    21     8  1985       58.460000
    22     8  1985       59.450000
    23     8  1985       56.500000
    24     8  1985       56.010000
    25     8  1985       62.460000
    26     8  1985       67.100000
    27     8  1985       68.680000
    28     8  1985       72.970000
    29     8  1985       68.680000
    30     8  1985       62.460000
    31     8  1985       60.440000
     1     9  1985       65.540000
     2     9  1985       65.540000
     3     9  1985       66.580000
     4     9  1985       64.510000
     5     9  1985       62.970000
     6     9  1985       61.450000
     7     9  1985       58.950000
     8     9  1985       58.950000
     9     9  1985       59.450000
    10     9  1985       58.460000
    11     9  1985       58.460000
    12     9  1985       58.460000
    13     9  1985       62.460000
    14     9  1985       65.540000
    15     9  1985       68.680000
    16     9  1985       68.680000
    17     9  1985       72.970000
    18     9  1985       72.970000
    19     9  1985       71.890000
    20     9  1985       71.890000
    21     9  1985       71.350000
    22     9  1985       70.810000
    23     9  1985       68.680000
    24     9  1985       68.150000
    25     9  1985       64.510000
    26     9  1985       62.460000
    27     9  1985       59.940000
    28     9  1985       56.990000
    29     9  1985       54.090000
    30     9  1985       52.200000
     1    10  1985       52.670000
     2    10  1985       55.050000
     3    10  1985       57.960000
     4    10  1985       60.950000
     5    10  1985       63.990000
     6    10  1985       67.100000
     7    10  1985       71.350000
     8    10  1985       75.710000
     9    10  1985       80.190000
    10    10  1985       85.940000
    11    10  1985       90.660000
    12    10  1985       91.860000
    13    10  1985       91.260000
    14    10  1985       88.290000
    15    10  1985       84.770000
    16    10  1985       81.320000
    17    10  1985       78.500000
    18    10  1985       77.940000
    19    10  1985       80.750000
    20    10  1985       85.940000
    21    10  1985       91.860000
    22    10  1985       98.580000
    23    10  1985      104.230000
    24    10  1985      108.070000
    25    10  1985      109.370000
    26    10  1985      106.140000
    27    10  1985      101.700000
    28    10  1985       96.730000
    29    10  1985       98.580000
    30    10  1985      103.600000
    31    10  1985      104.870000
     1    11  1985      102.330000
     2    11  1985      103.600000
     3    11  1985      110.020000
     4    11  1985      124.740000
     5    11  1985      138.090000
     6    11  1985      149.800000
     7    11  1985      165.800000
     8    11  1985      199.910000
     9    11  1985      242.270000
    10    11  1985      319.620000
    11    11  1985      348.190000
    12    11  1985      374.480000
    13    11  1985      400.460000
    14    11  1985      427.200000
    15    11  1985      448.650000
    16    11  1985      436.670000
    17    11  1985      434.300000
    18    11  1985      463.200000
    19    11  1985      533.810000
    20    11  1985      532.510000
    21    11  1985      523.450000
    22    11  1985      477.960000
    23    11  1985      470.560000
    24    11  1985      376.710000
    25    11  1985      361.230000
    26    11  1985      351.430000
