SÃOPAULODEOLIVENÇA	-68.750	-3.450
     4     4  1984    63510.200000
     5     4  1984    63315.800000
     6     4  1984    63315.800000
     7     4  1984    63315.800000
     8     4  1984    63251.100000
     9     4  1984    63251.100000
    10     4  1984    63640.000000
    11     4  1984    63770.000000
    12     4  1984    63900.200000
    13     4  1984    64030.500000
    14     4  1984    64161.100000
    15     4  1984    64291.800000
    16     4  1984    64422.700000
    17     4  1984    64553.900000
    18     4  1984    64750.900000
    19     4  1984    64816.600000
    20     4  1984    65080.100000
    21     4  1984    65344.400000
    22     4  1984    65609.500000
    23     4  1984    65742.200000
    24     4  1984    66008.400000
    25     4  1984    66208.500000
    26     4  1984    66409.000000
    27     4  1984    66409.000000
    28     4  1984    66542.900000
    29     4  1984    66677.000000
    30     4  1984    66811.300000
     1     5  1984    67080.500000
     2     5  1984    67147.900000
     3     5  1984    67147.900000
     4     5  1984    67215.400000
     5     5  1984    67215.400000
     6     5  1984    67215.400000
     7     5  1984    67418.000000
     8     5  1984    67485.700000
     9     5  1984    67485.700000
    10     5  1984    67553.400000
    11     5  1984    67621.100000
    12     5  1984    67485.700000
    13     5  1984    67485.700000
    14     5  1984    67485.700000
    15     5  1984    67553.400000
    16     5  1984    67485.700000
    17     5  1984    67418.000000
    18     5  1984    67350.400000
    19     5  1984    67350.400000
    20     5  1984    67485.700000
    21     5  1984    67418.000000
    22     5  1984    67350.400000
    23     5  1984    67282.900000
    24     5  1984    67080.500000
    25     5  1984    66945.800000
    26     5  1984    66878.600000
    27     5  1984    66811.300000
    28     5  1984    66677.000000
    29     5  1984    66542.900000
    30     5  1984    66275.300000
    31     5  1984    66141.700000
     1     6  1984    66008.400000
     2     6  1984    65875.200000
     3     6  1984    65808.700000
     4     6  1984    65742.200000
     5     6  1984    65543.100000
     6     6  1984    65212.200000
     7     6  1984    64685.100000
     8     6  1984    64161.100000
     9     6  1984    63705.000000
    10     6  1984    63251.100000
    11     6  1984    62992.800000
    12     6  1984    62735.200000
    13     6  1984    62222.200000
    14     6  1984    61712.200000
    15     6  1984    61331.600000
    16     6  1984    60952.700000
    17     6  1984    60700.900000
    18     6  1984    60449.900000
    19     6  1984    60074.800000
    20     6  1984    59453.200000
    21     6  1984    58897.600000
    22     6  1984    58651.800000
    23     6  1984    58468.000000
    24     6  1984    58345.600000
    25     6  1984    58040.600000
    26     6  1984    57615.300000
    27     6  1984    57071.800000
    28     6  1984    56591.700000
    29     6  1984    56352.700000
    30     6  1984    56114.400000
     1     7  1984    55758.300000
     2     7  1984    55344.900000
     3     7  1984    55050.800000
     4     7  1984    54757.900000
     5     7  1984    54524.400000
     6     7  1984    54117.300000
     7     7  1984    53712.400000
     8     7  1984    53482.000000
     9     7  1984    53080.400000
    10     7  1984    52851.900000
    11     7  1984    52624.000000
    12     7  1984    52340.200000
    13     7  1984    52113.900000
    14     7  1984    52001.000000
    15     7  1984    51775.800000
    16     7  1984    51439.100000
    17     7  1984    50992.700000
    18     7  1984    50107.900000
    19     7  1984    49724.200000
    20     7  1984    48909.000000
    21     7  1984    47943.000000
    22     7  1984    46990.500000
    23     7  1984    46258.900000
    24     7  1984    45638.100000
    25     7  1984    44616.500000
    26     7  1984    43810.700000
    27     7  1984    43114.100000
    28     7  1984    42621.300000
    29     7  1984    42181.100000
    30     7  1984    41841.000000
    31     7  1984    41454.600000
     1     8  1984    41070.700000
     2     8  1984    40499.600000
     3     8  1984    39746.700000
     4     8  1984    38819.400000
     5     8  1984    37726.800000
     6     8  1984    36303.600000
     7     8  1984    35175.200000
     8     8  1984    34113.600000
     9     8  1984    33115.600000
    10     8  1984    32098.000000
    11     8  1984    30945.200000
    12     8  1984    29859.900000
    13     8  1984    28876.100000
    14     8  1984    28025.000000
    15     8  1984    27443.300000
    16     8  1984    27227.400000
    17     8  1984    27227.400000
    18     8  1984    27660.500000
    19     8  1984    28615.200000
    20     8  1984    29630.800000
    21     8  1984    30515.600000
    22     8  1984    31063.100000
    23     8  1984    31299.800000
    24     8  1984    31379.000000
    25     8  1984    31379.000000
    26     8  1984    31339.400000
    27     8  1984    31220.800000
    28     8  1984    31220.800000
    29     8  1984    31418.600000
    30     8  1984    31657.300000
    31     8  1984    31937.300000
     1     9  1984    32259.300000
     2     9  1984    32665.200000
     3     9  1984    33074.500000
     4     9  1984    33487.400000
     5     9  1984    33862.100000
     6     9  1984    33987.700000
     7     9  1984    33903.900000
     8     9  1984    33570.400000
     9     9  1984    32910.300000
    10     9  1984    32259.300000
    11     9  1984    31577.600000
    12     9  1984    31063.100000
    13     9  1984    30515.600000
    14     9  1984    29974.800000
    15     9  1984    29668.900000
    16     9  1984    29630.800000
    17     9  1984    29821.600000
    18     9  1984    30283.000000
    19     9  1984    30515.600000
    20     9  1984    30554.400000
    21     9  1984    30321.700000
    22     9  1984    30051.700000
    23     9  1984    29821.600000
    24     9  1984    29554.700000
    25     9  1984    29214.100000
    26     9  1984    28764.100000
    27     9  1984    28466.800000
    28     9  1984    27951.800000
    29     9  1984    27012.700000
    30     9  1984    26375.600000
     1    10  1984    26235.400000
     2    10  1984    26200.500000
     3    10  1984    26235.400000
     4    10  1984    26516.200000
     5    10  1984    26870.200000
     6    10  1984    26799.100000
     7    10  1984    26941.400000
     8    10  1984    27624.200000
     9    10  1984    28615.200000
    10    10  1984    29440.900000
    11    10  1984    29821.600000
    12    10  1984    30090.200000
    13    10  1984    30321.700000
    14    10  1984    30515.600000
    15    10  1984    30671.300000
    16    10  1984    30788.500000
    17    10  1984    30945.200000
    18    10  1984    31102.400000
    19    10  1984    31379.000000
    20    10  1984    31697.200000
    21    10  1984    32098.000000
    22    10  1984    32421.200000
    23    10  1984    32910.300000
    24    10  1984    33404.600000
    25    10  1984    34239.800000
    26    10  1984    35218.100000
    27    10  1984    36128.400000
    28    10  1984    37144.000000
    29    10  1984    37907.400000
    30    10  1984    38727.500000
    31    10  1984    39281.200000
     1    11  1984    39560.000000
     2    11  1984    39934.000000
     3    11  1984    40074.900000
     4    11  1984    39840.300000
     5    11  1984    39513.400000
     6    11  1984    38865.400000
     7    11  1984    37817.000000
     8    11  1984    36877.100000
     9    11  1984    36259.700000
    10    11  1984    35433.400000
    11    11  1984    34493.100000
    12    11  1984    33321.800000
    13    11  1984    32340.200000
    14    11  1984    31220.800000
    15    11  1984    30205.800000
    16    11  1984    29403.000000
    17    11  1984    28913.600000
    18    11  1984    28764.100000
    19    11  1984    28689.600000
    20    11  1984    28615.200000
    21    11  1984    28689.600000
    22    11  1984    28913.600000
    23    11  1984    29554.700000
    24    11  1984    30321.700000
    25    11  1984    31102.400000
    26    11  1984    31857.100000
    27    11  1984    32665.200000
    28    11  1984    33528.900000
    29    11  1984    34366.300000
    30    11  1984    35218.100000
     1    12  1984    36655.800000
     2    12  1984    37997.900000
     3    12  1984    39653.300000
     4    12  1984    41310.400000
     5    12  1984    42916.500000
     6    12  1984    44363.600000
     7    12  1984    45586.600000
     8    12  1984    46676.000000
     9    12  1984    47571.000000
    10    12  1984    48263.500000
    11    12  1984    48854.900000
    12    12  1984    49233.900000
    13    12  1984    49560.400000
    14    12  1984    49888.400000
    15    12  1984    50328.100000
    16    12  1984    50328.100000
    17    12  1984    50383.300000
    18    12  1984    50383.300000
    19    12  1984    50438.400000
    20    12  1984    50328.100000
    21    12  1984    50107.900000
    22    12  1984    49998.100000
    23    12  1984    49888.400000
    24    12  1984    49778.900000
    25    12  1984    49560.400000
    26    12  1984    49288.300000
    27    12  1984    49179.700000
    28    12  1984    49397.000000
    29    12  1984    49778.900000
    30    12  1984    50107.900000
    31    12  1984    50438.400000
     1     1  1985    50770.500000
     2     1  1985    51215.600000
     3     1  1985    51663.400000
     4     1  1985    51944.600000
     5     1  1985    52227.000000
     6     1  1985    52680.900000
     7     1  1985    52794.900000
     8     1  1985    52908.900000
     9     1  1985    53023.200000
    10     1  1985    52966.100000
    11     1  1985    52908.900000
    12     1  1985    52794.900000
    13     1  1985    52567.200000
    14     1  1985    52001.000000
    15     1  1985    51439.100000
    16     1  1985    50659.600000
    17     1  1985    49397.000000
    18     1  1985    48263.500000
    19     1  1985    47148.300000
    20     1  1985    46155.000000
    21     1  1985    44819.500000
    22     1  1985    43064.700000
    23     1  1985    41599.200000
    24     1  1985    40689.400000
    25     1  1985    39096.000000
    26     1  1985    37546.800000
    27     1  1985    36832.800000
    28     1  1985    36172.100000
    29     1  1985    35563.000000
    30     1  1985    34535.500000
    31     1  1985    33653.600000
     1     2  1985    32746.700000
     2     2  1985    32098.000000
     3     2  1985    31299.800000
     4     2  1985    30554.400000
     5     2  1985    29898.200000
     6     2  1985    29365.100000
     7     2  1985    29063.500000
     8     2  1985    28876.100000
     9     2  1985    29138.700000
    10     2  1985    29478.800000
    11     2  1985    29821.600000
    12     2  1985    30205.800000
    13     2  1985    30671.300000
    14     2  1985    31141.800000
    15     2  1985    31458.300000
    16     2  1985    31737.100000
    17     2  1985    31897.100000
    18     2  1985    32098.000000
    19     2  1985    32502.400000
    20     2  1985    33074.500000
    21     2  1985    33903.900000
    22     2  1985    34833.000000
    23     2  1985    35736.300000
    24     2  1985    36479.400000
    25     2  1985    36832.800000
    26     2  1985    37188.600000
    27     2  1985    37233.200000
    28     2  1985    37188.600000
     1     3  1985    36832.800000
     2     3  1985    36479.400000
     3     3  1985    36084.600000
     4     3  1985    35692.900000
     5     3  1985    35433.400000
     6     3  1985    35304.100000
     7     3  1985    35519.800000
     8     3  1985    35997.300000
     9     3  1985    36611.600000
