JATUARANA	-59.678	-3.052
    15     2  1984     1297.000000
    16     2  1984     1302.000000
    17     2  1984     1307.000000
    18     2  1984     1314.000000
    19     2  1984     1319.000000
    20     2  1984     1324.000000
    21     2  1984     1329.000000
    22     2  1984     1336.000000
    23     2  1984     1336.000000
    24     2  1984     1352.000000
    25     2  1984     1360.000000
    26     2  1984     1367.000000
    27     2  1984     1372.000000
    28     2  1984     1377.000000
    29     2  1984     1383.000000
     1     3  1984     1387.000000
     2     3  1984     1391.000000
     3     3  1984     1395.000000
     4     3  1984     1400.000000
     5     3  1984     1410.000000
     6     3  1984     1416.000000
     7     3  1984     1421.000000
     8     3  1984     1425.000000
     9     3  1984     1432.000000
    10     3  1984     1439.000000
    11     3  1984     1443.000000
    12     3  1984     1449.000000
    13     3  1984     1453.000000
    14     3  1984     1458.000000
    15     3  1984     1463.000000
    16     3  1984     1467.000000
    17     3  1984     1473.000000
    18     3  1984     1480.000000
    19     3  1984     1485.000000
    20     3  1984     1489.000000
    21     3  1984     1493.000000
    22     3  1984     1497.000000
    23     3  1984     1501.000000
    24     3  1984     1505.000000
    25     3  1984     1509.000000
    26     3  1984     1513.000000
    27     3  1984     1514.000000
    28     3  1984     1514.000000
    29     3  1984     1516.000000
    30     3  1984     1518.000000
    31     3  1984     1520.000000
     1     4  1984     1522.000000
     2     4  1984     1526.000000
     3     4  1984     1528.000000
     4     4  1984     1530.000000
     5     4  1984     1532.000000
     6     4  1984     1532.000000
     7     4  1984     1532.000000
     8     4  1984     1534.000000
     9     4  1984     1536.000000
    10     4  1984     1538.000000
    11     4  1984     1540.000000
    12     4  1984     1540.000000
    13     4  1984     1544.000000
    14     4  1984     1546.000000
    15     4  1984     1549.000000
    16     4  1984     1552.000000
    17     4  1984     1554.000000
    18     4  1984     1556.000000
    19     4  1984     1558.000000
    20     4  1984     1560.000000
    21     4  1984     1562.000000
    22     4  1984     1565.000000
    23     4  1984     1568.000000
    24     4  1984     1570.000000
    25     4  1984     1574.000000
    26     4  1984     1578.000000
    27     4  1984     1586.000000
    28     4  1984     1595.000000
    29     4  1984     1600.000000
    30     4  1984     1602.000000
     1     5  1984     1606.000000
     2     5  1984     1616.000000
     3     5  1984     1618.000000
     4     5  1984     1620.000000
     5     5  1984     1622.000000
     6     5  1984     1628.000000
     7     5  1984     1633.000000
     8     5  1984     1637.000000
     9     5  1984     1641.000000
    10     5  1984     1644.000000
    11     5  1984     1647.000000
    12     5  1984     1651.000000
    13     5  1984     1654.000000
    14     5  1984     1656.000000
    15     5  1984     1660.000000
    16     5  1984     1664.000000
    17     5  1984     1668.000000
    18     5  1984     1671.000000
    19     5  1984     1674.000000
    20     5  1984     1676.000000
    21     5  1984     1678.000000
    22     5  1984     1681.000000
    23     5  1984     1685.000000
    24     5  1984     1690.000000
    25     5  1984     1697.000000
    26     5  1984     1700.000000
    27     5  1984     1700.000000
    28     5  1984     1700.000000
    29     5  1984     1701.000000
    30     5  1984     1701.000000
    31     5  1984     1701.000000
     1     6  1984     1702.000000
     2     6  1984     1704.000000
     3     6  1984     1707.000000
     4     6  1984     1710.000000
     5     6  1984     1710.000000
     6     6  1984     1712.000000
     7     6  1984     1714.000000
     8     6  1984     1716.000000
     9     6  1984     1718.000000
    10     6  1984     1720.000000
    11     6  1984     1721.000000
    12     6  1984     1721.000000
    13     6  1984     1722.000000
    14     6  1984     1725.000000
    15     6  1984     1728.000000
    16     6  1984     1728.000000
    17     6  1984     1728.000000
    18     6  1984     1728.000000
    19     6  1984     1728.000000
    20     6  1984     1728.000000
    21     6  1984     1728.000000
    22     6  1984     1728.000000
    23     6  1984     1728.000000
    24     6  1984     1728.000000
    25     6  1984     1728.000000
    26     6  1984     1728.000000
    27     6  1984     1728.000000
    28     6  1984     1726.000000
    29     6  1984     1724.000000
    30     6  1984     1722.000000
     1     7  1984     1722.000000
     2     7  1984     1722.000000
     3     7  1984     1720.000000
     4     7  1984     1718.000000
     5     7  1984     1716.000000
     6     7  1984     1714.000000
     7     7  1984     1712.000000
     8     7  1984     1710.000000
     9     7  1984     1708.000000
    10     7  1984     1706.000000
    11     7  1984     1704.000000
    12     7  1984     1702.000000
    13     7  1984     1700.000000
    14     7  1984     1698.000000
    15     7  1984     1696.000000
    16     7  1984     1694.000000
    17     7  1984     1691.000000
    18     7  1984     1688.000000
    19     7  1984     1686.000000
    20     7  1984     1683.000000
    21     7  1984     1677.000000
    22     7  1984     1673.000000
    23     7  1984     1670.000000
    24     7  1984     1667.000000
    25     7  1984     1664.000000
    26     7  1984     1661.000000
    27     7  1984     1658.000000
    28     7  1984     1655.000000
    29     7  1984     1651.000000
    30     7  1984     1647.000000
    31     7  1984     1643.000000
     1     8  1984     1639.000000
     2     8  1984     1635.000000
     3     8  1984     1631.000000
     4     8  1984     1623.000000
     5     8  1984     1616.000000
     6     8  1984     1614.000000
     7     8  1984     1609.000000
     8     8  1984     1605.000000
     9     8  1984     1599.000000
    10     8  1984     1595.000000
    11     8  1984     1589.000000
    12     8  1984     1585.000000
    13     8  1984     1581.000000
    14     8  1984     1574.000000
    15     8  1984     1566.000000
    16     8  1984     1558.000000
    17     8  1984     1550.000000
    18     8  1984     1544.000000
    19     8  1984     1536.000000
    20     8  1984     1528.000000
    21     8  1984     1522.000000
    22     8  1984     1516.000000
    23     8  1984     1509.000000
    24     8  1984     1503.000000
    25     8  1984     1496.000000
    26     8  1984     1488.000000
    27     8  1984     1480.000000
    28     8  1984     1471.000000
    29     8  1984     1462.000000
    30     8  1984     1452.000000
    31     8  1984     1442.000000
     1     9  1984     1430.000000
     2     9  1984     1418.000000
     3     9  1984     1410.000000
     4     9  1984     1403.000000
     5     9  1984     1396.000000
     6     9  1984     1388.000000
     7     9  1984     1380.000000
     8     9  1984     1371.000000
     9     9  1984     1364.000000
    10     9  1984     1356.000000
    11     9  1984     1344.000000
    12     9  1984     1334.000000
    13     9  1984     1323.000000
    14     9  1984     1314.000000
    15     9  1984     1304.000000
    16     9  1984     1294.000000
    17     9  1984     1284.000000
    18     9  1984     1272.000000
    19     9  1984     1262.000000
    20     9  1984     1251.000000
    21     9  1984     1239.000000
    22     9  1984     1228.000000
    23     9  1984     1219.000000
    24     9  1984     1205.000000
    25     9  1984     1193.000000
    26     9  1984     1179.000000
    27     9  1984     1167.000000
    28     9  1984     1156.000000
    29     9  1984     1148.000000
    30     9  1984     1140.000000
     1    10  1984     1132.000000
     2    10  1984     1121.000000
     3    10  1984     1112.000000
     4    10  1984     1099.000000
     5    10  1984     1088.000000
     6    10  1984     1075.000000
     7    10  1984     1062.000000
     8    10  1984     1050.000000
     9    10  1984     1038.000000
    10    10  1984     1026.000000
    11    10  1984     1013.000000
    12    10  1984     1004.000000
    13    10  1984      992.000000
    14    10  1984      983.000000
    15    10  1984      972.000000
    16    10  1984      962.000000
    17    10  1984      955.000000
    18    10  1984      949.000000
    19    10  1984      942.000000
    20    10  1984      934.000000
    21    10  1984      922.000000
    22    10  1984      922.000000
    23    10  1984      916.000000
    24    10  1984      912.000000
    25    10  1984      906.000000
    26    10  1984      902.000000
    27    10  1984      901.000000
    28    10  1984      900.000000
    29    10  1984      899.000000
    30    10  1984      899.000000
    31    10  1984      898.000000
     1    11  1984      898.000000
     2    11  1984      901.000000
     3    11  1984      901.000000
     4    11  1984      902.000000
     5    11  1984      906.000000
     6    11  1984      910.000000
     7    11  1984      914.000000
     8    11  1984      919.000000
     9    11  1984      923.000000
    10    11  1984      927.000000
    11    11  1984      930.000000
    12    11  1984      934.000000
    13    11  1984      940.000000
    14    11  1984      944.000000
    15    11  1984      948.000000
    16    11  1984      949.000000
    17    11  1984      950.000000
    18    11  1984      951.000000
    19    11  1984      951.000000
    20    11  1984      950.000000
    21    11  1984      950.000000
    22    11  1984      946.000000
    23    11  1984      944.000000
    24    11  1984      941.000000
    25    11  1984      937.000000
    26    11  1984      934.000000
    27    11  1984      932.000000
    28    11  1984      928.000000
    29    11  1984      928.000000
    30    11  1984      924.000000
     1    12  1984      922.000000
     2    12  1984      920.000000
     3    12  1984      920.000000
     4    12  1984      919.000000
     5    12  1984      918.000000
     6    12  1984      918.000000
     7    12  1984      920.000000
     8    12  1984      924.000000
     9    12  1984      929.000000
    10    12  1984      934.000000
    11    12  1984      940.000000
    12    12  1984      947.000000
    13    12  1984      955.000000
    14    12  1984      963.000000
    15    12  1984      970.000000
    16    12  1984      980.000000
    17    12  1984      989.000000
    18    12  1984      998.000000
    19    12  1984     1006.000000
    20    12  1984     1014.000000
    21    12  1984     1024.000000
    22    12  1984     1032.000000
    23    12  1984     1040.000000
