BRASILÉIA	-68.745	-11.018
     1     3  1985      640.000000
     2     3  1985      537.000000
     3     3  1985      534.000000
     4     3  1985      724.000000
     5     3  1985      856.000000
     6     3  1985      688.000000
     7     3  1985      554.000000
     8     3  1985      558.000000
     9     3  1985      688.000000
    10     3  1985      820.000000
    11     3  1985      718.000000
    12     3  1985      540.000000
    13     3  1985      574.000000
    14     3  1985      676.000000
    15     3  1985      956.000000
    16     3  1985      834.000000
    17     3  1985      768.000000
    18     3  1985      636.000000
    19     3  1985      512.000000
    20     3  1985      588.000000
    21     3  1985      836.000000
    22     3  1985      747.000000
    23     3  1985      594.000000
    24     3  1985      506.000000
    25     3  1985      490.000000
    26     3  1985      458.000000
    27     3  1985      546.000000
    28     3  1985      638.000000
    29     3  1985      622.000000
    30     3  1985      554.000000
    31     3  1985      518.000000
     1     4  1985      754.000000
     2     4  1985      790.000000
     3     4  1985      609.000000
     4     4  1985      532.000000
     5     4  1985      605.000000
     6     4  1985      748.000000
     7     4  1985      575.000000
     8     4  1985      618.000000
     9     4  1985      559.000000
    10     4  1985      665.000000
    11     4  1985      741.000000
    12     4  1985      548.000000
    13     4  1985      648.000000
    14     4  1985      578.000000
    15     4  1985      539.000000
    16     4  1985      507.000000
    17     4  1985      468.000000
    18     4  1985      426.000000
    19     4  1985      630.000000
    20     4  1985      832.000000
    21     4  1985      888.000000
    22     4  1985      630.000000
    23     4  1985      570.000000
    24     4  1985      542.000000
    25     4  1985      724.000000
    26     4  1985      740.000000
    27     4  1985      576.000000
    28     4  1985      521.000000
    29     4  1985      504.000000
    30     4  1985      626.000000
     1     5  1985      760.000000
     2     5  1985      654.000000
     3     5  1985      553.000000
     4     5  1985      494.000000
     5     5  1985      464.000000
     6     5  1985      454.000000
     7     5  1985      441.000000
     8     5  1985      432.000000
     9     5  1985      424.000000
    10     5  1985      416.000000
    11     5  1985      410.000000
    12     5  1985      404.000000
    13     5  1985      400.000000
    14     5  1985      392.000000
    15     5  1985      385.000000
    16     5  1985      386.000000
    17     5  1985      387.000000
    18     5  1985      388.000000
    19     5  1985      376.000000
    20     5  1985      408.000000
    21     5  1985      418.000000
    22     5  1985      426.000000
    23     5  1985      434.000000
    24     5  1985      420.000000
    25     5  1985      401.000000
    26     5  1985      386.000000
    27     5  1985      370.000000
    28     5  1985      359.000000
    29     5  1985      361.000000
    30     5  1985      366.000000
    31     5  1985      374.000000
     1     6  1985      381.000000
     2     6  1985      388.000000
     3     6  1985      395.000000
     4     6  1985      401.000000
     5     6  1985      428.000000
     6     6  1985      447.000000
     7     6  1985      460.000000
     8     6  1985      456.000000
     9     6  1985      448.000000
    10     6  1985      438.000000
    11     6  1985      432.000000
    12     6  1985      425.000000
    13     6  1985      418.000000
    14     6  1985      413.000000
    15     6  1985      406.000000
    16     6  1985      390.000000
    17     6  1985      372.000000
    18     6  1985      358.000000
    19     6  1985      346.000000
    20     6  1985      330.000000
    21     6  1985      317.000000
    22     6  1985      298.000000
    23     6  1985      280.000000
    24     6  1985      260.000000
    25     6  1985      259.000000
    26     6  1985      258.000000
    27     6  1985      257.000000
    28     6  1985      256.000000
    29     6  1985      257.000000
    30     6  1985      255.000000
     1     7  1985      255.000000
     2     7  1985      251.000000
     3     7  1985      255.000000
     4     7  1985      251.000000
     5     7  1985      246.000000
     6     7  1985      246.000000
     7     7  1985      246.000000
     8     7  1985      250.000000
     9     7  1985      391.000000
    10     7  1985      311.000000
    11     7  1985      278.000000
    12     7  1985      291.000000
    13     7  1985      281.000000
    14     7  1985      272.000000
    15     7  1985      262.000000
    16     7  1985      241.000000
    17     7  1985      240.000000
    18     7  1985      250.000000
    19     7  1985      250.000000
