CACHOEIRAMORENA	-59.335	-2.114
    21     8  1984      375.000000
    22     8  1984      369.000000
    23     8  1984      366.000000
    24     8  1984      362.000000
    25     8  1984      357.000000
    26     8  1984      355.000000
    27     8  1984      351.000000
    28     8  1984      349.000000
    29     8  1984      346.000000
    30     8  1984      342.000000
    31     8  1984      340.000000
     1     9  1984      345.000000
     2     9  1984      358.000000
     3     9  1984      365.000000
     4     9  1984      365.000000
     5     9  1984      372.000000
     6     9  1984      379.000000
     7     9  1984      384.000000
     8     9  1984      384.000000
     9     9  1984      381.000000
    10     9  1984      378.000000
    11     9  1984      376.000000
    12     9  1984      373.000000
    13     9  1984      369.000000
    14     9  1984      366.000000
    15     9  1984      366.000000
    16     9  1984      367.000000
    17     9  1984      368.000000
    18     9  1984      370.000000
    19     9  1984      369.000000
    20     9  1984      373.000000
    21     9  1984      375.000000
    22     9  1984      375.000000
    23     9  1984      372.000000
    24     9  1984      370.000000
    25     9  1984      365.000000
    26     9  1984      356.000000
    27     9  1984      348.000000
    28     9  1984      340.000000
    29     9  1984      333.000000
    30     9  1984      331.000000
     1    10  1984      333.000000
     2    10  1984      335.000000
     3    10  1984      337.000000
     4    10  1984      335.000000
     5    10  1984      336.000000
     6    10  1984      334.000000
     7    10  1984      334.000000
     8    10  1984      336.000000
     9    10  1984      340.000000
    10    10  1984      343.000000
    11    10  1984      350.000000
    12    10  1984      358.000000
    13    10  1984      361.000000
    14    10  1984      374.000000
    15    10  1984      387.000000
    16    10  1984      393.000000
    17    10  1984      397.000000
    18    10  1984      398.000000
    19    10  1984      394.000000
    20    10  1984      385.000000
    21    10  1984      378.000000
    22    10  1984      371.000000
    23    10  1984      362.000000
    24    10  1984      350.000000
    25    10  1984      341.000000
    26    10  1984      347.000000
    27    10  1984      344.000000
    28    10  1984      346.000000
    29    10  1984      350.000000
    30    10  1984      355.000000
    31    10  1984      359.000000
     1    11  1984      360.000000
     2    11  1984      357.000000
     3    11  1984      346.000000
     4    11  1984      332.000000
     5    11  1984      324.000000
     6    11  1984      319.000000
     7    11  1984      331.000000
     8    11  1984      342.000000
     9    11  1984      347.000000
    10    11  1984      353.000000
    11    11  1984      358.000000
    12    11  1984      361.000000
    13    11  1984      359.000000
    14    11  1984      352.000000
    15    11  1984      349.000000
    16    11  1984      356.000000
    17    11  1984      361.000000
    18    11  1984      364.000000
    19    11  1984      364.000000
    20    11  1984      357.000000
    21    11  1984      345.000000
    22    11  1984      335.000000
    23    11  1984      326.000000
    24    11  1984      319.000000
    25    11  1984      314.000000
    26    11  1984      311.000000
    27    11  1984      308.000000
    28    11  1984      311.000000
    29    11  1984      318.000000
    30    11  1984      326.000000
     1    12  1984      331.000000
     2    12  1984      329.000000
     3    12  1984      323.000000
     4    12  1984      317.000000
     5    12  1984      314.000000
     6    12  1984      312.000000
     7    12  1984      310.000000
     8    12  1984      313.000000
     9    12  1984      317.000000
    10    12  1984      321.000000
    11    12  1984      324.000000
    12    12  1984      327.000000
    13    12  1984      327.000000
    14    12  1984      332.000000
    15    12  1984      332.000000
    16    12  1984      328.000000
    17    12  1984      320.000000
    18    12  1984      315.000000
    19    12  1984      311.000000
    20    12  1984      307.000000
    21    12  1984      306.000000
    22    12  1984      314.000000
    23    12  1984      327.000000
    24    12  1984      341.000000
    25    12  1984      347.000000
    26    12  1984      351.000000
    27    12  1984      357.000000
    28    12  1984      368.000000
    29    12  1984      385.000000
    30    12  1984      397.000000
    31    12  1984      403.000000
     1     1  1985      398.000000
     2     1  1985      384.000000
     3     1  1985      374.000000
     4     1  1985      363.000000
     5     1  1985      351.000000
     6     1  1985      339.000000
     7     1  1985      329.000000
     8     1  1985      327.000000
     9     1  1985      334.000000
    10     1  1985      341.000000
    11     1  1985      355.000000
    12     1  1985      365.000000
