JAPURÁ-ACANAUI	-66.600	-1.817
     9     3  1985      606.000000
    10     3  1985      624.000000
    11     3  1985      641.000000
    12     3  1985      652.000000
    13     3  1985      657.000000
    14     3  1985      659.000000
    15     3  1985      660.000000
    16     3  1985      658.000000
    17     3  1985      656.000000
    18     3  1985      654.000000
    19     3  1985      656.000000
    20     3  1985      658.000000
    21     3  1985      658.000000
    22     3  1985      655.000000
    23     3  1985      651.000000
    24     3  1985      645.000000
    25     3  1985      637.000000
    26     3  1985      628.000000
    27     3  1985      619.000000
    28     3  1985      613.000000
    29     3  1985      608.000000
    30     3  1985      600.000000
    31     3  1985      594.000000
     1     4  1985      587.000000
     2     4  1985      584.000000
     3     4  1985      588.000000
     4     4  1985      590.000000
     5     4  1985      610.000000
     6     4  1985      624.000000
     7     4  1985      637.000000
     8     4  1985      654.000000
     9     4  1985      671.000000
    10     4  1985      690.000000
    11     4  1985      712.000000
    12     4  1985      732.000000
    13     4  1985      746.000000
    14     4  1985      756.000000
    15     4  1985      762.000000
    16     4  1985      764.000000
    17     4  1985      761.000000
    18     4  1985      754.000000
    19     4  1985      743.000000
    20     4  1985      733.000000
    21     4  1985      720.000000
    22     4  1985      703.000000
    23     4  1985      692.000000
    24     4  1985      687.000000
    25     4  1985      684.000000
    26     4  1985      692.000000
    27     4  1985      708.000000
    28     4  1985      728.000000
    29     4  1985      752.000000
    30     4  1985      774.000000
     1     5  1985      795.000000
     2     5  1985      814.000000
     3     5  1985      833.000000
     4     5  1985      849.000000
     5     5  1985      864.000000
     6     5  1985      880.000000
     7     5  1985      893.000000
     8     5  1985      906.000000
     9     5  1985      919.000000
    10     5  1985      934.000000
    11     5  1985      949.000000
    12     5  1985      964.000000
    13     5  1985      978.000000
    14     5  1985      992.000000
    15     5  1985     1006.000000
    16     5  1985     1019.000000
    17     5  1985     1033.000000
    18     5  1985     1048.000000
    19     5  1985     1060.000000
    20     5  1985     1069.000000
    21     5  1985     1078.000000
    22     5  1985     1086.000000
    23     5  1985     1092.000000
    24     5  1985     1098.000000
    25     5  1985     1104.000000
    26     5  1985     1111.000000
    27     5  1985     1118.000000
    28     5  1985     1125.000000
    29     5  1985     1133.000000
    30     5  1985     1142.000000
    31     5  1985     1148.000000
     1     6  1985     1156.000000
     2     6  1985     1168.000000
     3     6  1985     1178.000000
     4     6  1985     1186.000000
     5     6  1985     1194.000000
     6     6  1985     1204.000000
     7     6  1985     1212.000000
     8     6  1985     1220.000000
     9     6  1985     1229.000000
    10     6  1985     1240.000000
    11     6  1985     1248.000000
    12     6  1985     1256.000000
    13     6  1985     1262.000000
    14     6  1985     1268.000000
    15     6  1985     1272.000000
    16     6  1985     1276.000000
    17     6  1985     1280.000000
    18     6  1985     1284.000000
    19     6  1985     1289.000000
    20     6  1985     1293.000000
    21     6  1985     1296.000000
    22     6  1985     1298.000000
    23     6  1985     1300.000000
    24     6  1985     1302.000000
    25     6  1985     1302.000000
    26     6  1985     1302.000000
    27     6  1985     1302.000000
    28     6  1985     1302.000000
    29     6  1985     1302.000000
    30     6  1985     1301.000000
     1     7  1985     1300.000000
     2     7  1985     1299.000000
     3     7  1985     1299.000000
     4     7  1985     1301.000000
     5     7  1985     1302.000000
     6     7  1985     1304.000000
     7     7  1985     1306.000000
     8     7  1985     1308.000000
     9     7  1985     1310.000000
    10     7  1985     1312.000000
    11     7  1985     1313.000000
    12     7  1985     1315.000000
    13     7  1985     1316.000000
    14     7  1985     1318.000000
    15     7  1985     1320.000000
    16     7  1985     1322.000000
    17     7  1985     1323.000000
    18     7  1985     1324.000000
    19     7  1985     1324.000000
    20     7  1985     1327.000000
    21     7  1985     1330.000000
    22     7  1985     1332.000000
    23     7  1985     1336.000000
    24     7  1985     1338.000000
    25     7  1985     1342.000000
    26     7  1985     1345.000000
    27     7  1985     1350.000000
    28     7  1985     1354.000000
    29     7  1985     1358.000000
    30     7  1985     1362.000000
    31     7  1985     1366.000000
     1     8  1985     1370.000000
     2     8  1985     1372.000000
     3     8  1985     1374.000000
     4     8  1985     1375.000000
     5     8  1985     1375.000000
     6     8  1985     1375.000000
     7     8  1985     1374.000000
     8     8  1985     1374.000000
     9     8  1985     1375.000000
    10     8  1985     1374.000000
    11     8  1985     1372.000000
    12     8  1985     1366.000000
    13     8  1985     1359.000000
    14     8  1985     1358.000000
    15     8  1985     1355.000000
    16     8  1985     1355.000000
    17     8  1985     1352.000000
