PALMEIRASDOJAVARI	-72.800	-5.133
    18    11  1984      890.000000
    19    11  1984      894.000000
    20    11  1984      938.000000
    21    11  1984      960.000000
    22    11  1984      982.000000
    23    11  1984      982.000000
    24    11  1984      980.000000
    25    11  1984     1006.000000
    26    11  1984     1050.000000
    27    11  1984     1120.000000
    28    11  1984     1174.000000
    29    11  1984     1201.000000
    30    11  1984     1230.000000
     1    12  1984     1278.000000
     2    12  1984     1313.000000
     3    12  1984     1322.000000
     4    12  1984     1351.000000
     5    12  1984     1375.000000
     6    12  1984     1386.000000
     7    12  1984     1399.000000
     8    12  1984     1412.000000
     9    12  1984     1424.000000
    10    12  1984     1436.000000
    11    12  1984     1447.000000
    12    12  1984     1472.000000
    13    12  1984     1486.000000
    14    12  1984     1498.000000
    15    12  1984     1504.000000
    16    12  1984     1510.000000
    17    12  1984     1512.000000
    18    12  1984     1516.000000
    19    12  1984     1523.000000
    20    12  1984     1524.000000
    21    12  1984     1520.000000
    22    12  1984     1513.000000
    23    12  1984     1501.000000
    24    12  1984     1484.000000
    25    12  1984     1465.000000
    26    12  1984     1450.000000
    27    12  1984     1430.000000
    28    12  1984     1420.000000
    29    12  1984     1416.000000
    30    12  1984     1414.000000
    31    12  1984     1410.000000
     1     1  1985     1412.000000
     2     1  1985     1413.000000
     3     1  1985     1413.000000
     4     1  1985     1410.000000
     5     1  1985     1400.000000
     6     1  1985     1376.000000
     7     1  1985     1338.000000
     8     1  1985     1286.000000
     9     1  1985     1212.000000
    10     1  1985     1130.000000
    11     1  1985     1030.000000
    12     1  1985      952.000000
    13     1  1985      863.000000
    14     1  1985      852.000000
    15     1  1985      922.000000
    16     1  1985      984.000000
    17     1  1985     1026.000000
    18     1  1985     1034.000000
    19     1  1985     1020.000000
    20     1  1985      995.000000
    21     1  1985      926.000000
    22     1  1985      844.000000
    23     1  1985      786.000000
    24     1  1985      742.000000
    25     1  1985      706.000000
    26     1  1985      672.000000
    27     1  1985      635.000000
    28     1  1985      616.000000
    29     1  1985      600.000000
    30     1  1985      592.000000
    31     1  1985      586.000000
     1     2  1985      580.000000
     2     2  1985      575.000000
     3     2  1985      569.000000
     4     2  1985      566.000000
     5     2  1985      564.000000
     6     2  1985      556.000000
     7     2  1985      556.000000
     8     2  1985      562.000000
     9     2  1985      580.000000
    10     2  1985      656.000000
    11     2  1985      833.000000
    12     2  1985      894.000000
    13     2  1985      908.000000
    14     2  1985      899.000000
    15     2  1985      904.000000
    16     2  1985      930.000000
    17     2  1985      924.000000
    18     2  1985      934.000000
    19     2  1985      993.000000
    20     2  1985     1050.000000
    21     2  1985     1119.000000
    22     2  1985     1228.000000
    23     2  1985     1272.000000
    24     2  1985     1274.000000
    25     2  1985     1243.000000
    26     2  1985     1189.000000
    27     2  1985     1107.000000
    28     2  1985     1018.000000
     1     3  1985      932.000000
     2     3  1985      868.000000
     3     3  1985      830.000000
     4     3  1985      903.000000
     5     3  1985     1040.000000
     6     3  1985     1128.000000
     7     3  1985     1186.000000
     8     3  1985     1228.000000
     9     3  1985     1258.000000
    10     3  1985     1283.000000
    11     3  1985     1296.000000
    12     3  1985     1303.000000
    13     3  1985     1307.000000
    14     3  1985     1314.000000
    15     3  1985     1308.000000
    16     3  1985     1293.000000
    17     3  1985     1274.000000
    18     3  1985     1261.000000
    19     3  1985     1250.000000
    20     3  1985     1266.000000
    21     3  1985     1280.000000
    22     3  1985     1279.000000
    23     3  1985     1283.000000
    24     3  1985     1282.000000
