FONTEBOA	-66.062	-2.491
    23     7  1984     1924.000000
    24     7  1984     1914.000000
    25     7  1984     1904.000000
    26     7  1984     1892.000000
    27     7  1984     1882.000000
    28     7  1984     1871.000000
    29     7  1984     1860.000000
    30     7  1984     1848.000000
    31     7  1984     1838.000000
     1     8  1984     1828.000000
     2     8  1984     1820.000000
     3     8  1984     1808.000000
     4     8  1984     1798.000000
     5     8  1984     1786.000000
     6     8  1984     1772.000000
     7     8  1984     1756.000000
     8     8  1984     1740.000000
     9     8  1984     1721.000000
    10     8  1984     1702.000000
    11     8  1984     1681.000000
    12     8  1984     1662.000000
    13     8  1984     1640.000000
    14     8  1984     1618.000000
    15     8  1984     1594.000000
    16     8  1984     1573.000000
    17     8  1984     1553.000000
    18     8  1984     1538.000000
    19     8  1984     1530.000000
    20     8  1984     1523.000000
    21     8  1984     1523.000000
    22     8  1984     1527.000000
    23     8  1984     1528.000000
    24     8  1984     1530.000000
    25     8  1984     1531.000000
    26     8  1984     1529.000000
    27     8  1984     1524.000000
    28     8  1984     1520.000000
    29     8  1984     1516.000000
    30     8  1984     1512.000000
    31     8  1984     1509.000000
     1     9  1984     1506.000000
     2     9  1984     1504.000000
     3     9  1984     1503.000000
     4     9  1984     1504.000000
     5     9  1984     1506.000000
     6     9  1984     1508.000000
     7     9  1984     1508.000000
     8     9  1984     1506.000000
     9     9  1984     1500.000000
    10     9  1984     1492.000000
    11     9  1984     1482.000000
    12     9  1984     1471.000000
    13     9  1984     1460.000000
    14     9  1984     1448.000000
    15     9  1984     1438.000000
    16     9  1984     1428.000000
    17     9  1984     1426.000000
    18     9  1984     1424.000000
    19     9  1984     1427.000000
    20     9  1984     1431.000000
    21     9  1984     1434.000000
    22     9  1984     1435.000000
    23     9  1984     1434.000000
    24     9  1984     1431.000000
    25     9  1984     1427.000000
    26     9  1984     1421.000000
    27     9  1984     1414.000000
    28     9  1984     1406.000000
    29     9  1984     1396.000000
    30     9  1984     1383.000000
     1    10  1984     1368.000000
     2    10  1984     1353.000000
     3    10  1984     1342.000000
     4    10  1984     1335.000000
     5    10  1984     1329.000000
     6    10  1984     1326.000000
     7    10  1984     1326.000000
     8    10  1984     1327.000000
     9    10  1984     1332.000000
    10    10  1984     1341.000000
    11    10  1984     1352.000000
    12    10  1984     1362.000000
    13    10  1984     1373.000000
    14    10  1984     1380.000000
    15    10  1984     1386.000000
    16    10  1984     1392.000000
    17    10  1984     1402.000000
    18    10  1984     1410.000000
    19    10  1984     1418.000000
    20    10  1984     1432.000000
    21    10  1984     1436.000000
    22    10  1984     1446.000000
    23    10  1984     1456.000000
    24    10  1984     1466.000000
    25    10  1984     1475.000000
    26    10  1984     1484.000000
    27    10  1984     1496.000000
    28    10  1984     1507.000000
    29    10  1984     1524.000000
    30    10  1984     1536.000000
    31    10  1984     1550.000000
     1    11  1984     1563.000000
     2    11  1984     1574.000000
     3    11  1984     1580.000000
     4    11  1984     1587.000000
     5    11  1984     1592.000000
     6    11  1984     1594.000000
     7    11  1984     1592.000000
     8    11  1984     1589.000000
     9    11  1984     1582.000000
    10    11  1984     1574.000000
    11    11  1984     1562.000000
    12    11  1984     1550.000000
    13    11  1984     1536.000000
    14    11  1984     1520.000000
    15    11  1984     1502.000000
    16    11  1984     1482.000000
    17    11  1984     1462.000000
    18    11  1984     1448.000000
    19    11  1984     1436.000000
    20    11  1984     1426.000000
    21    11  1984     1418.000000
    22    11  1984     1411.000000
    23    11  1984     1406.000000
    24    11  1984     1403.000000
    25    11  1984     1402.000000
    26    11  1984     1404.000000
    27    11  1984     1409.000000
    28    11  1984     1418.000000
    29    11  1984     1428.000000
    30    11  1984     1444.000000
     1    12  1984     1462.000000
     2    12  1984     1484.000000
     3    12  1984     1510.000000
     4    12  1984     1539.000000
     5    12  1984     1566.000000
     6    12  1984     1592.000000
     7    12  1984     1615.000000
     8    12  1984     1635.000000
     9    12  1984     1657.000000
    10    12  1984     1675.000000
    11    12  1984     1692.000000
    12    12  1984     1706.000000
    13    12  1984     1718.000000
    14    12  1984     1730.000000
    15    12  1984     1738.000000
    16    12  1984     1748.000000
    17    12  1984     1753.000000
    18    12  1984     1757.000000
    19    12  1984     1767.000000
    20    12  1984     1771.000000
    21    12  1984     1777.000000
    22    12  1984     1781.000000
    23    12  1984     1786.000000
    24    12  1984     1789.000000
    25    12  1984     1792.000000
    26    12  1984     1792.000000
    27    12  1984     1794.000000
    28    12  1984     1794.000000
    29    12  1984     1797.000000
    30    12  1984     1802.000000
    31    12  1984     1808.000000
     1     1  1985     1815.000000
     2     1  1985     1822.000000
     3     1  1985     1828.000000
     4     1  1985     1833.000000
     5     1  1985     1838.000000
     6     1  1985     1846.000000
     7     1  1985     1852.000000
     8     1  1985     1859.000000
     9     1  1985     1866.000000
    10     1  1985     1870.000000
    11     1  1985     1872.000000
    12     1  1985     1875.000000
    13     1  1985     1876.000000
    14     1  1985     1876.000000
    15     1  1985     1876.000000
    16     1  1985     1873.000000
    17     1  1985     1868.000000
    18     1  1985     1861.000000
    19     1  1985     1854.000000
    20     1  1985     1846.000000
    21     1  1985     1834.000000
    22     1  1985     1822.000000
    23     1  1985     1808.000000
    24     1  1985     1793.000000
    25     1  1985     1778.000000
    26     1  1985     1760.000000
    27     1  1985     1744.000000
    28     1  1985     1726.000000
    29     1  1985     1708.000000
    30     1  1985     1690.000000
    31     1  1985     1670.000000
     1     2  1985     1650.000000
     2     2  1985     1630.000000
     3     2  1985     1612.000000
     4     2  1985     1592.000000
     5     2  1985     1572.000000
     6     2  1985     1552.000000
     7     2  1985     1536.000000
     8     2  1985     1521.000000
     9     2  1985     1507.000000
    10     2  1985     1500.000000
    11     2  1985     1495.000000
    12     2  1985     1494.000000
    13     2  1985     1494.000000
    14     2  1985     1497.000000
    15     2  1985     1504.000000
    16     2  1985     1510.000000
    17     2  1985     1517.000000
    18     2  1985     1521.000000
    19     2  1985     1524.000000
    20     2  1985     1527.000000
    21     2  1985     1531.000000
    22     2  1985     1538.000000
    23     2  1985     1546.000000
    24     2  1985     1556.000000
    25     2  1985     1565.000000
    26     2  1985     1572.000000
    27     2  1985     1579.000000
    28     2  1985     1584.000000
     1     3  1985     1586.000000
     2     3  1985     1586.000000
     3     3  1985     1583.000000
     4     3  1985     1580.000000
     5     3  1985     1576.000000
     6     3  1985     1573.000000
     7     3  1985     1570.000000
     8     3  1985     1568.000000
     9     3  1985     1568.000000
    10     3  1985     1571.000000
    11     3  1985     1578.000000
    12     3  1985     1588.000000
    13     3  1985     1604.000000
    14     3  1985     1617.000000
    15     3  1985     1634.000000
    16     3  1985     1651.000000
    17     3  1985     1664.000000
    18     3  1985     1676.000000
    19     3  1985     1685.000000
    20     3  1985     1693.000000
    21     3  1985     1700.000000
    22     3  1985     1704.000000
    23     3  1985     1708.000000
    24     3  1985     1708.000000
    25     3  1985     1708.000000
    26     3  1985     1708.000000
    27     3  1985     1705.000000
    28     3  1985     1700.000000
    29     3  1985     1695.000000
    30     3  1985     1694.000000
    31     3  1985     1691.000000
     1     4  1985     1688.000000
     2     4  1985     1684.000000
     3     4  1985     1681.000000
     4     4  1985     1678.000000
     5     4  1985     1676.000000
     6     4  1985     1675.000000
     7     4  1985     1676.000000
     8     4  1985     1678.000000
     9     4  1985     1681.000000
    10     4  1985     1688.000000
    11     4  1985     1694.000000
    12     4  1985     1700.000000
    13     4  1985     1706.000000
    14     4  1985     1712.000000
    15     4  1985     1720.000000
    16     4  1985     1728.000000
    17     4  1985     1736.000000
    18     4  1985     1744.000000
    19     4  1985     1752.000000
    20     4  1985     1760.000000
    21     4  1985     1765.000000
    22     4  1985     1770.000000
    23     4  1985     1773.000000
    24     4  1985     1775.000000
    25     4  1985     1778.000000
    26     4  1985     1784.000000
    27     4  1985     1790.000000
    28     4  1985     1795.000000
    29     4  1985     1798.000000
    30     4  1985     1803.000000
     1     5  1985     1807.000000
     2     5  1985     1814.000000
     3     5  1985     1818.000000
     4     5  1985     1822.000000
     5     5  1985     1826.000000
     6     5  1985     1829.000000
     7     5  1985     1830.000000
     8     5  1985     1832.000000
     9     5  1985     1835.000000
    10     5  1985     1837.000000
    11     5  1985     1838.000000
    12     5  1985     1841.000000
    13     5  1985     1842.000000
    14     5  1985     1842.000000
    15     5  1985     1843.000000
    16     5  1985     1843.000000
    17     5  1985     1843.000000
    18     5  1985     1843.000000
    19     5  1985     1843.000000
    20     5  1985     1842.000000
    21     5  1985     1842.000000
    22     5  1985     1840.000000
    23     5  1985     1838.000000
    24     5  1985     1838.000000
    25     5  1985     1836.000000
    26     5  1985     1834.000000
    27     5  1985     1834.000000
    28     5  1985     1834.000000
    29     5  1985     1836.000000
    30     5  1985     1838.000000
    31     5  1985     1840.000000
     1     6  1985     1841.000000
     2     6  1985     1846.000000
     3     6  1985     1853.000000
     4     6  1985     1856.000000
     5     6  1985     1860.000000
     6     6  1985     1868.000000
     7     6  1985     1875.000000
     8     6  1985     1882.000000
     9     6  1985     1884.000000
    10     6  1985     1887.000000
    11     6  1985     1890.000000
    12     6  1985     1890.000000
    13     6  1985     1890.000000
    14     6  1985     1888.000000
    15     6  1985     1888.000000
    16     6  1985     1886.000000
    17     6  1985     1884.000000
    18     6  1985     1879.000000
    19     6  1985     1876.000000
    20     6  1985     1872.000000
    21     6  1985     1867.000000
    22     6  1985     1861.000000
    23     6  1985     1854.000000
    24     6  1985     1850.000000
    25     6  1985     1843.000000
    26     6  1985     1834.000000
    27     6  1985     1826.000000
    28     6  1985     1818.000000
    29     6  1985     1813.000000
    30     6  1985     1809.000000
     1     7  1985     1807.000000
     2     7  1985     1804.000000
     3     7  1985     1802.000000
     4     7  1985     1801.000000
     5     7  1985     1798.000000
     6     7  1985     1796.000000
     7     7  1985     1792.000000
     8     7  1985     1791.000000
     9     7  1985     1788.000000
    10     7  1985     1786.000000
    11     7  1985     1786.000000
    12     7  1985     1781.000000
    13     7  1985     1777.000000
    14     7  1985     1772.000000
    15     7  1985     1768.000000
    16     7  1985     1764.000000
    17     7  1985     1759.000000
    18     7  1985     1756.000000
    19     7  1985     1752.000000
    20     7  1985     1751.000000
    21     7  1985     1749.000000
    22     7  1985     1748.000000
    23     7  1985     1748.000000
    24     7  1985     1746.000000
    25     7  1985     1744.000000
    26     7  1985     1739.000000
