TEFÉ	-64.655	-3.376
    18     3  1984     1215.000000
    19     3  1984     1222.000000
    20     3  1984     1226.000000
    21     3  1984     1229.000000
    22     3  1984     1231.000000
    23     3  1984     1235.000000
    24     3  1984     1238.000000
    25     3  1984     1238.000000
    26     3  1984     1240.000000
    27     3  1984     1242.000000
    28     3  1984     1242.000000
    29     3  1984     1242.000000
    30     3  1984     1243.000000
    31     3  1984     1244.000000
     1     4  1984     1243.000000
     2     4  1984     1242.000000
     3     4  1984     1242.000000
     4     4  1984     1240.000000
     5     4  1984     1238.000000
     6     4  1984     1239.000000
     7     4  1984     1238.000000
     8     4  1984     1238.000000
     9     4  1984     1236.000000
    10     4  1984     1236.000000
    11     4  1984     1236.000000
    12     4  1984     1238.000000
    13     4  1984     1239.000000
    14     4  1984     1240.000000
    15     4  1984     1242.000000
    16     4  1984     1244.000000
    17     4  1984     1246.000000
    18     4  1984     1249.000000
    19     4  1984     1252.000000
    20     4  1984     1255.000000
    21     4  1984     1259.000000
    22     4  1984     1260.000000
    23     4  1984     1263.000000
    24     4  1984     1264.000000
    25     4  1984     1268.000000
    26     4  1984     1272.000000
    27     4  1984     1278.000000
    28     4  1984     1283.000000
    29     4  1984     1287.000000
    30     4  1984     1290.000000
     1     5  1984     1292.000000
     2     5  1984     1295.000000
     3     5  1984     1298.000000
     4     5  1984     1300.000000
     5     5  1984     1304.000000
     6     5  1984     1308.000000
     7     5  1984     1310.000000
     8     5  1984     1313.000000
     9     5  1984     1314.000000
    10     5  1984     1317.000000
    11     5  1984     1320.000000
    12     5  1984     1323.000000
    13     5  1984     1324.000000
    14     5  1984     1326.000000
    15     5  1984     1329.000000
    16     5  1984     1332.000000
    17     5  1984     1336.000000
    18     5  1984     1339.000000
    19     5  1984     1341.000000
    20     5  1984     1345.000000
    21     5  1984     1348.000000
    22     5  1984     1349.000000
    23     5  1984     1353.000000
    24     5  1984     1356.000000
    25     5  1984     1357.000000
    26     5  1984     1359.000000
    27     5  1984     1361.000000
    28     5  1984     1362.000000
    29     5  1984     1364.000000
    30     5  1984     1364.000000
    31     5  1984     1365.000000
     1     6  1984     1366.000000
     2     6  1984     1366.000000
     3     6  1984     1368.000000
     4     6  1984     1371.000000
     5     6  1984     1372.000000
     6     6  1984     1373.000000
     7     6  1984     1375.000000
     8     6  1984     1376.000000
     9     6  1984     1376.000000
    10     6  1984     1379.000000
    11     6  1984     1379.000000
    12     6  1984     1378.000000
    13     6  1984     1378.000000
    14     6  1984     1378.000000
    15     6  1984     1376.000000
    16     6  1984     1376.000000
    17     6  1984     1376.000000
    18     6  1984     1374.000000
    19     6  1984     1372.000000
    20     6  1984     1372.000000
    21     6  1984     1371.000000
    22     6  1984     1370.000000
    23     6  1984     1369.000000
    24     6  1984     1365.000000
    25     6  1984     1364.000000
    26     6  1984     1363.000000
    27     6  1984     1361.000000
    28     6  1984     1359.000000
    29     6  1984     1356.000000
    30     6  1984     1355.000000
     1     7  1984     1351.000000
     2     7  1984     1348.000000
     3     7  1984     1347.000000
     4     7  1984     1344.000000
     5     7  1984     1341.000000
     6     7  1984     1338.000000
     7     7  1984     1336.000000
     8     7  1984     1333.000000
     9     7  1984     1329.000000
    10     7  1984     1325.000000
    11     7  1984     1321.000000
    12     7  1984     1319.000000
    13     7  1984     1315.000000
    14     7  1984     1311.000000
    15     7  1984     1305.000000
    16     7  1984     1300.000000
    17     7  1984     1296.000000
    18     7  1984     1293.000000
    19     7  1984     1289.000000
    20     7  1984     1285.000000
    21     7  1984     1279.000000
    22     7  1984     1275.000000
    23     7  1984     1271.000000
    24     7  1984     1264.000000
    25     7  1984     1259.000000
    26     7  1984     1252.000000
    27     7  1984     1244.000000
    28     7  1984     1238.000000
    29     7  1984     1229.000000
    30     7  1984     1221.000000
    31     7  1984     1212.000000
     1     8  1984     1204.000000
