MOURA	-61.635	-1.457
    11     3  1984      964.000000
    12     3  1984      968.000000
    13     3  1984      972.000000
    14     3  1984      976.000000
    15     3  1984      978.000000
    16     3  1984      978.000000
    17     3  1984      980.000000
    18     3  1984      985.000000
    19     3  1984      991.000000
    20     3  1984      996.000000
    21     3  1984     1001.000000
    22     3  1984     1004.000000
    23     3  1984     1005.000000
    24     3  1984     1006.000000
    25     3  1984     1008.000000
    26     3  1984     1009.000000
    27     3  1984     1009.000000
    28     3  1984     1010.000000
    29     3  1984     1012.000000
    30     3  1984     1013.000000
    31     3  1984     1014.000000
     1     4  1984     1014.000000
     2     4  1984     1015.000000
     3     4  1984     1015.000000
     4     4  1984     1014.000000
     5     4  1984     1013.000000
     6     4  1984     1014.000000
     7     4  1984     1015.000000
     8     4  1984     1014.000000
     9     4  1984     1013.000000
    10     4  1984     1014.000000
    11     4  1984     1015.000000
    12     4  1984     1017.000000
    13     4  1984     1017.000000
    14     4  1984     1018.000000
    15     4  1984     1019.000000
    16     4  1984     1025.000000
    17     4  1984     1028.000000
    18     4  1984     1030.000000
    19     4  1984     1032.000000
    20     4  1984     1034.000000
    21     4  1984     1036.000000
    22     4  1984     1039.000000
    23     4  1984     1043.000000
    24     4  1984     1047.000000
    25     4  1984     1051.000000
    26     4  1984     1057.000000
    27     4  1984     1067.000000
    28     4  1984     1071.000000
    29     4  1984     1073.000000
    30     4  1984     1076.000000
     1     5  1984     1081.000000
     2     5  1984     1085.000000
     3     5  1984     1089.000000
     4     5  1984     1095.000000
     5     5  1984     1101.000000
     6     5  1984     1107.000000
     7     5  1984     1113.000000
     8     5  1984     1119.000000
     9     5  1984     1126.000000
    10     5  1984     1132.000000
    11     5  1984     1138.000000
    12     5  1984     1144.000000
    13     5  1984     1148.000000
    14     5  1984     1153.000000
    15     5  1984     1160.000000
    16     5  1984     1167.000000
    17     5  1984     1171.000000
    18     5  1984     1175.000000
    19     5  1984     1179.000000
    20     5  1984     1183.000000
    21     5  1984     1187.000000
    22     5  1984     1192.000000
    23     5  1984     1197.000000
    24     5  1984     1202.000000
    25     5  1984     1207.000000
    26     5  1984     1209.000000
    27     5  1984     1211.000000
    28     5  1984     1213.000000
    29     5  1984     1214.000000
    30     5  1984     1217.000000
    31     5  1984     1221.000000
     1     6  1984     1224.000000
     2     6  1984     1228.000000
     3     6  1984     1232.000000
     4     6  1984     1236.000000
     5     6  1984     1240.000000
     6     6  1984     1245.000000
     7     6  1984     1251.000000
     8     6  1984     1257.000000
     9     6  1984     1263.000000
    10     6  1984     1269.000000
    11     6  1984     1273.000000
    12     6  1984     1277.000000
    13     6  1984     1281.000000
    14     6  1984     1285.000000
    15     6  1984     1290.000000
    16     6  1984     1296.000000
    17     6  1984     1301.000000
    18     6  1984     1305.000000
    19     6  1984     1308.000000
    20     6  1984     1311.000000
    21     6  1984     1314.000000
    22     6  1984     1316.000000
    23     6  1984     1318.000000
    24     6  1984     1319.000000
    25     6  1984     1321.000000
    26     6  1984     1323.000000
    27     6  1984     1325.000000
    28     6  1984     1326.000000
    29     6  1984     1327.000000
    30     6  1984     1328.000000
     1     7  1984     1329.000000
     2     7  1984     1331.000000
     3     7  1984     1332.000000
     4     7  1984     1332.000000
     5     7  1984     1333.000000
     6     7  1984     1333.000000
     7     7  1984     1333.000000
     8     7  1984     1333.000000
     9     7  1984     1332.000000
    10     7  1984     1331.000000
    11     7  1984     1330.000000
    12     7  1984     1329.000000
    13     7  1984     1328.000000
    14     7  1984     1328.000000
    15     7  1984     1327.000000
    16     7  1984     1326.000000
    17     7  1984     1324.000000
    18     7  1984     1323.000000
    19     7  1984     1321.000000
    20     7  1984     1319.000000
    21     7  1984     1317.000000
    22     7  1984     1315.000000
    23     7  1984     1313.000000
    24     7  1984     1311.000000
    25     7  1984     1309.000000
    26     7  1984     1307.000000
    27     7  1984     1305.000000
    28     7  1984     1302.000000
    29     7  1984     1299.000000
    30     7  1984     1297.000000
    31     7  1984     1294.000000
     1     8  1984     1292.000000
     2     8  1984     1291.000000
     3     8  1984     1290.000000
     4     8  1984     1288.000000
     5     8  1984     1285.000000
     6     8  1984     1281.000000
     7     8  1984     1279.000000
     8     8  1984     1276.000000
     9     8  1984     1274.000000
    10     8  1984     1271.000000
    11     8  1984     1268.000000
    12     8  1984     1264.000000
    13     8  1984     1261.000000
    14     8  1984     1257.000000
    15     8  1984     1251.000000
    16     8  1984     1244.000000
    17     8  1984     1238.000000
    18     8  1984     1232.000000
    19     8  1984     1226.000000
    20     8  1984     1220.000000
    21     8  1984     1213.000000
    22     8  1984     1206.000000
    23     8  1984     1199.000000
    24     8  1984     1193.000000
    25     8  1984     1187.000000
    26     8  1984     1179.000000
    27     8  1984     1171.000000
    28     8  1984     1164.000000
    29     8  1984     1158.000000
    30     8  1984     1152.000000
    31     8  1984     1146.000000
     1     9  1984     1137.000000
     2     9  1984     1126.000000
     3     9  1984     1116.000000
     4     9  1984     1109.000000
     5     9  1984     1101.000000
     6     9  1984     1096.000000
     7     9  1984     1087.000000
     8     9  1984     1082.000000
     9     9  1984     1076.000000
    10     9  1984     1070.000000
    11     9  1984     1062.000000
    12     9  1984     1055.000000
    13     9  1984     1048.000000
    14     9  1984     1042.000000
