TABAJARA	-62.054	-8.933
     2     4  1985      854.000000
     3     4  1985      847.000000
     4     4  1985      844.000000
     5     4  1985      846.000000
     6     4  1985      857.000000
     7     4  1985      863.000000
     8     4  1985      865.000000
     9     4  1985      864.000000
    10     4  1985      864.000000
    11     4  1985      870.000000
    12     4  1985      885.000000
    13     4  1985      880.000000
    14     4  1985      881.000000
    15     4  1985      885.000000
    16     4  1985      889.000000
    17     4  1985      896.000000
    18     4  1985      893.000000
    19     4  1985      888.000000
    20     4  1985      886.000000
    21     4  1985      889.000000
    22     4  1985      882.000000
    23     4  1985      878.000000
    24     4  1985      881.000000
    25     4  1985      884.000000
    26     4  1985      907.000000
    27     4  1985      924.000000
    28     4  1985      936.000000
    29     4  1985      941.000000
    30     4  1985      946.000000
     1     5  1985      930.000000
     2     5  1985      911.000000
     3     5  1985      931.000000
     4     5  1985      939.000000
     5     5  1985      943.000000
     6     5  1985      949.000000
     7     5  1985      955.000000
     8     5  1985      962.000000
     9     5  1985      968.000000
    10     5  1985      970.000000
    11     5  1985      968.000000
    12     5  1985      958.000000
    13     5  1985      938.000000
    14     5  1985      912.000000
    15     5  1985      876.000000
    16     5  1985      849.000000
    17     5  1985      828.000000
    18     5  1985      798.000000
    19     5  1985      779.000000
    20     5  1985      776.000000
    21     5  1985      766.000000
    22     5  1985      757.000000
    23     5  1985      745.000000
    24     5  1985      736.000000
    25     5  1985      726.000000
    26     5  1985      718.000000
    27     5  1985      710.000000
    28     5  1985      700.000000
    29     5  1985      696.000000
    30     5  1985      688.000000
    31     5  1985      682.000000
     1     6  1985      657.000000
     2     6  1985      646.000000
     3     6  1985      636.000000
     4     6  1985      626.000000
     5     6  1985      616.000000
     6     6  1985      607.000000
     7     6  1985      598.000000
     8     6  1985      589.000000
     9     6  1985      580.000000
    10     6  1985      572.000000
    11     6  1985      563.000000
    12     6  1985      554.000000
    13     6  1985      546.000000
    14     6  1985      539.000000
    15     6  1985      533.000000
    16     6  1985      528.000000
    17     6  1985      524.000000
    18     6  1985      521.000000
    19     6  1985      520.000000
    20     6  1985      520.000000
    21     6  1985      522.000000
    22     6  1985      526.000000
    23     6  1985      529.000000
    24     6  1985      532.000000
    25     6  1985      534.000000
    26     6  1985      534.000000
    27     6  1985      532.000000
    28     6  1985      529.000000
    29     6  1985      524.000000
    30     6  1985      520.000000
     1     7  1985      518.000000
     2     7  1985      510.000000
     3     7  1985      502.000000
     4     7  1985      493.000000
     5     7  1985      484.000000
     6     7  1985      475.000000
     7     7  1985      466.000000
     8     7  1985      457.000000
     9     7  1985      448.000000
    10     7  1985      439.000000
    11     7  1985      431.000000
    12     7  1985      423.000000
    13     7  1985      416.000000
    14     7  1985      410.000000
    15     7  1985      404.000000
    16     7  1985      399.000000
    17     7  1985      394.000000
    18     7  1985      390.000000
    19     7  1985      387.000000
    20     7  1985      384.000000
    21     7  1985      382.000000
    22     7  1985      380.000000
    23     7  1985      379.000000
    24     7  1985      378.000000
    25     7  1985      377.000000
    26     7  1985      377.000000
    27     7  1985      376.000000
    28     7  1985      376.000000
    29     7  1985      376.000000
    30     7  1985      376.000000
    31     7  1985      376.000000
     1     8  1985      378.000000
     2     8  1985      375.000000
     3     8  1985      371.000000
     4     8  1985      367.000000
     5     8  1985      364.000000
     6     8  1985      362.000000
     7     8  1985      360.000000
     8     8  1985      358.000000
     9     8  1985      355.000000
    10     8  1985      352.000000
    11     8  1985      349.000000
    12     8  1985      345.000000
    13     8  1985      339.000000
    14     8  1985      335.000000
    15     8  1985      332.000000
    16     8  1985      330.000000
    17     8  1985      328.000000
    18     8  1985      326.000000
    19     8  1985      324.000000
    20     8  1985      324.000000
    21     8  1985      322.000000
    22     8  1985      320.000000
    23     8  1985      320.000000
    24     8  1985      320.000000
    25     8  1985      316.000000
    26     8  1985      313.000000
    27     8  1985      310.000000
    28     8  1985      308.000000
    29     8  1985      309.000000
    30     8  1985      311.000000
    31     8  1985      315.000000
     1     9  1985      314.000000
     2     9  1985      314.000000
     3     9  1985      314.000000
     4     9  1985      314.000000
     5     9  1985      312.000000
     6     9  1985      311.000000
     7     9  1985      310.000000
     8     9  1985      310.000000
     9     9  1985      310.000000
    10     9  1985      306.000000
    11     9  1985      298.000000
    12     9  1985      291.000000
    13     9  1985      287.000000
    14     9  1985      283.000000
    15     9  1985      293.000000
    16     9  1985      302.000000
    17     9  1985      314.000000
    18     9  1985      333.000000
    19     9  1985      346.000000
    20     9  1985      354.000000
    21     9  1985      356.000000
    22     9  1985      350.000000
    23     9  1985      344.000000
    24     9  1985      330.000000
    25     9  1985      326.000000
    26     9  1985      319.000000
    27     9  1985      319.000000
    28     9  1985      320.000000
    29     9  1985      334.000000
    30     9  1985      348.000000
     1    10  1985      372.000000
     2    10  1985      380.000000
     3    10  1985      372.000000
     4    10  1985      365.000000
     5    10  1985      361.000000
     6    10  1985      348.000000
     7    10  1985      355.000000
     8    10  1985      374.000000
     9    10  1985      375.000000
    10    10  1985      354.000000
    11    10  1985      338.000000
    12    10  1985      346.000000
    13    10  1985      364.000000
    14    10  1985      379.000000
    15    10  1985      382.000000
    16    10  1985      394.000000
    17    10  1985      386.000000
    18    10  1985      360.000000
    19    10  1985      339.000000
    20    10  1985      350.000000
    21    10  1985      380.000000
    22    10  1985      410.000000
    23    10  1985      438.000000
    24    10  1985      478.000000
    25    10  1985      497.000000
    26    10  1985      482.000000
    27    10  1985      462.000000
    28    10  1985      462.000000
    29    10  1985      477.000000
    30    10  1985      499.000000
    31    10  1985      556.000000
     1    11  1985      506.000000
     2    11  1985      506.000000
     3    11  1985      511.000000
     4    11  1985      513.000000
     5    11  1985      510.000000
     6    11  1985      500.000000
     7    11  1985      498.000000
     8    11  1985      510.000000
     9    11  1985      534.000000
    10    11  1985      589.000000
    11    11  1985      588.000000
    12    11  1985      571.000000
    13    11  1985      560.000000
    14    11  1985      554.000000
    15    11  1985      545.000000
    16    11  1985      534.000000
    17    11  1985      517.000000
    18    11  1985      496.000000
    19    11  1985      470.000000
    20    11  1985      462.000000
    21    11  1985      436.000000
    22    11  1985      436.000000
    23    11  1985      446.000000
    24    11  1985      452.000000
    25    11  1985      467.000000
    26    11  1985      471.000000
    27    11  1985      480.000000
    28    11  1985      491.000000
    29    11  1985      508.000000
    30    11  1985      541.000000
     1    12  1985      534.000000
     2    12  1985      533.000000
     3    12  1985      528.000000
     4    12  1985      519.000000
     5    12  1985      517.000000
     6    12  1985      510.000000
