MANOELURBANO	-69.268	-8.884
     9     9  1984      410.000000
    10     9  1984      401.000000
    11     9  1984      395.000000
    12     9  1984      393.000000
    13     9  1984      396.000000
    14     9  1984      404.000000
    15     9  1984      408.000000
    16     9  1984      408.000000
    17     9  1984      414.000000
    18     9  1984      428.000000
    19     9  1984      435.000000
    20     9  1984      428.000000
    21     9  1984      421.000000
    22     9  1984      414.000000
    23     9  1984      411.000000
    24     9  1984      410.000000
    25     9  1984      417.000000
    26     9  1984      428.000000
    27     9  1984      438.000000
    28     9  1984      442.000000
    29     9  1984      450.000000
    30     9  1984      472.000000
     1    10  1984      462.000000
     2    10  1984      442.000000
     3    10  1984      440.000000
     4    10  1984      434.000000
     5    10  1984      428.000000
     6    10  1984      428.000000
     7    10  1984      430.000000
     8    10  1984      425.000000
     9    10  1984      414.000000
    10    10  1984      406.000000
    11    10  1984      404.000000
    12    10  1984      399.000000
    13    10  1984      397.000000
    14    10  1984      397.000000
    15    10  1984      400.000000
    16    10  1984      414.000000
    17    10  1984      429.000000
    18    10  1984      432.000000
    19    10  1984      438.000000
    20    10  1984      462.000000
    21    10  1984      474.000000
    22    10  1984      502.000000
    23    10  1984      543.000000
    24    10  1984      549.000000
    25    10  1984      542.000000
    26    10  1984      526.000000
    27    10  1984      514.000000
    28    10  1984      564.000000
    29    10  1984      616.000000
    30    10  1984      667.000000
    31    10  1984      651.000000
     1    11  1984      625.000000
     2    11  1984      616.000000
     3    11  1984      625.000000
     4    11  1984      694.000000
     5    11  1984      684.000000
     6    11  1984      643.000000
     7    11  1984      619.000000
     8    11  1984      602.000000
     9    11  1984      635.000000
    10    11  1984      750.000000
    11    11  1984      741.000000
    12    11  1984      718.000000
    13    11  1984      693.000000
    14    11  1984      738.000000
    15    11  1984      818.000000
    16    11  1984      900.000000
    17    11  1984      921.000000
    18    11  1984      826.000000
    19    11  1984      880.000000
    20    11  1984      914.000000
    21    11  1984      842.000000
    22    11  1984      841.000000
    23    11  1984      778.000000
    24    11  1984      718.000000
    25    11  1984      786.000000
    26    11  1984      976.000000
    27    11  1984     1036.000000
    28    11  1984     1048.000000
    29    11  1984      969.000000
    30    11  1984      840.000000
     1    12  1984      807.000000
     2    12  1984      759.000000
     3    12  1984      738.000000
     4    12  1984      726.000000
     5    12  1984      828.000000
     6    12  1984      953.000000
     7    12  1984      900.000000
     8    12  1984      768.000000
     9    12  1984      806.000000
    10    12  1984      880.000000
    11    12  1984      887.000000
    12    12  1984     1038.000000
    13    12  1984     1120.000000
    14    12  1984     1154.000000
    15    12  1984     1162.000000
    16    12  1984     1042.000000
    17    12  1984      867.000000
    18    12  1984      848.000000
