SÃOPAULODEOLIVENÇA	-68.750	-3.450
    23     7  1985      917.000000
    24     7  1985      907.000000
    25     7  1985      898.000000
    26     7  1985      885.000000
    27     7  1985      866.000000
    28     7  1985      842.000000
    29     7  1985      817.000000
    30     7  1985      788.000000
    31     7  1985      766.000000
     1     8  1985      743.000000
     2     8  1985      724.000000
     3     8  1985      704.000000
     4     8  1985      684.000000
     5     8  1985      669.000000
     6     8  1985      660.000000
     7     8  1985      655.000000
     8     8  1985      654.000000
     9     8  1985      664.000000
    10     8  1985      678.000000
    11     8  1985      694.000000
    12     8  1985      712.000000
    13     8  1985      729.000000
    14     8  1985      740.000000
    15     8  1985      744.000000
    16     8  1985      744.000000
    17     8  1985      738.000000
    18     8  1985      732.000000
    19     8  1985      724.000000
    20     8  1985      721.000000
    21     8  1985      717.000000
    22     8  1985      714.000000
    23     8  1985      710.000000
    24     8  1985      700.000000
    25     8  1985      687.000000
    26     8  1985      670.000000
    27     8  1985      656.000000
    28     8  1985      646.000000
    29     8  1985      641.000000
    30     8  1985      636.000000
    31     8  1985      633.000000
     1     9  1985      628.000000
     2     9  1985      622.000000
     3     9  1985      613.000000
     4     9  1985      599.000000
     5     9  1985      593.000000
     6     9  1985      590.000000
     7     9  1985      593.000000
     8     9  1985      599.000000
     9     9  1985      598.000000
    10     9  1985      598.000000
    11     9  1985      598.000000
    12     9  1985      637.000000
    13     9  1985      643.000000
    14     9  1985      643.000000
    15     9  1985      647.000000
    16     9  1985      655.000000
    17     9  1985      653.000000
    18     9  1985      646.000000
    19     9  1985      630.000000
    20     9  1985      613.000000
    21     9  1985      561.000000
    22     9  1985      560.000000
    23     9  1985      558.000000
    24     9  1985      566.000000
    25     9  1985      576.000000
    26     9  1985      586.000000
    27     9  1985      598.000000
    28     9  1985      612.000000
    29     9  1985      632.000000
    30     9  1985      648.000000
     1    10  1985      667.000000
     2    10  1985      676.000000
     3    10  1985      682.000000
     4    10  1985      684.000000
     5    10  1985      684.000000
     6    10  1985      681.000000
     7    10  1985      681.000000
     8    10  1985      688.000000
     9    10  1985      704.000000
    10    10  1985      727.000000
    11    10  1985      754.000000
    12    10  1985      778.000000
    13    10  1985      806.000000
    14    10  1985      830.000000
    15    10  1985      842.000000
    16    10  1985      854.000000
    17    10  1985      857.000000
    18    10  1985      860.000000
    19    10  1985      860.000000
    20    10  1985      862.000000
    21    10  1985      864.000000
    22    10  1985      866.000000
    23    10  1985      869.000000
    24    10  1985      874.000000
    25    10  1985      876.000000
    26    10  1985      875.000000
    27    10  1985      876.000000
