ÓBIDOS	-55.513	-1.919
    20     9  1984      404.000000
    21     9  1984      396.000000
    22     9  1984      390.000000
    23     9  1984      385.000000
    24     9  1984      381.000000
    25     9  1984      377.000000
    26     9  1984      369.000000
    27     9  1984      366.000000
    28     9  1984      365.000000
    29     9  1984      361.000000
    30     9  1984      356.000000
     1    10  1984      344.000000
     2    10  1984      335.000000
     3    10  1984      327.000000
     4    10  1984      318.000000
     5    10  1984      310.000000
     6    10  1984      304.000000
     7    10  1984      295.000000
     8    10  1984      291.000000
     9    10  1984      287.000000
    10    10  1984      282.000000
    11    10  1984      276.000000
    12    10  1984      271.000000
    13    10  1984      267.000000
    14    10  1984      263.000000
    15    10  1984      254.000000
    16    10  1984      246.000000
    17    10  1984      238.000000
    18    10  1984      232.000000
    19    10  1984      225.000000
    20    10  1984      219.000000
    21    10  1984      216.000000
    22    10  1984      212.000000
    23    10  1984      210.000000
    24    10  1984      208.000000
    25    10  1984      208.000000
    26    10  1984      210.000000
    27    10  1984      210.000000
    28    10  1984      210.000000
    29    10  1984      204.000000
    30    10  1984      199.000000
    31    10  1984      193.000000
     1    11  1984      187.000000
     2    11  1984      184.000000
     3    11  1984      183.000000
     4    11  1984      181.000000
     5    11  1984      183.000000
     6    11  1984      186.000000
     7    11  1984      189.000000
     8    11  1984      194.000000
     9    11  1984      196.000000
    10    11  1984      198.000000
    11    11  1984      201.000000
    12    11  1984      203.000000
    13    11  1984      205.000000
    14    11  1984      206.000000
    15    11  1984      206.000000
    16    11  1984      205.000000
    17    11  1984      204.000000
    18    11  1984      208.000000
    19    11  1984      210.000000
    20    11  1984      214.000000
    21    11  1984      216.000000
    22    11  1984      221.000000
    23    11  1984      224.000000
    24    11  1984      227.000000
    25    11  1984      230.000000
    26    11  1984      229.000000
    27    11  1984      226.000000
    28    11  1984      225.000000
    29    11  1984      221.000000
    30    11  1984      216.000000
     1    12  1984      214.000000
     2    12  1984      213.000000
     3    12  1984      214.000000
     4    12  1984      212.000000
     5    12  1984      212.000000
     6    12  1984      213.000000
     7    12  1984      214.000000
     8    12  1984      218.000000
     9    12  1984      222.000000
    10    12  1984      226.000000
    11    12  1984      229.000000
    12    12  1984      233.000000
    13    12  1984      233.000000
    14    12  1984      236.000000
    15    12  1984      240.000000
    16    12  1984      243.000000
    17    12  1984      245.000000
    18    12  1984      251.000000
    19    12  1984      256.000000
    20    12  1984      263.000000
    21    12  1984      270.000000
    22    12  1984      276.000000
    23    12  1984      286.000000
    24    12  1984      293.000000
    25    12  1984      297.000000
    26    12  1984      298.000000
    27    12  1984      300.000000
    28    12  1984      302.000000
    29    12  1984      306.000000
    30    12  1984      310.000000
    31    12  1984      312.000000
     1     1  1985      315.000000
     2     1  1985      319.000000
     3     1  1985      324.000000
     4     1  1985      327.000000
     5     1  1985      331.000000
     6     1  1985      334.000000
     7     1  1985      339.000000
     8     1  1985      345.000000
     9     1  1985      353.000000
    10     1  1985      361.000000
    11     1  1985      369.000000
    12     1  1985      374.000000
    13     1  1985      381.000000
    14     1  1985      385.000000
    15     1  1985      394.000000
    16     1  1985      403.000000
    17     1  1985      412.000000
    18     1  1985      420.000000
    19     1  1985      429.000000
    20     1  1985      437.000000
    21     1  1985      447.000000
    22     1  1985      458.000000
    23     1  1985      468.000000
    24     1  1985      476.000000
    25     1  1985      481.000000
    26     1  1985      488.000000
    27     1  1985      499.000000
    28     1  1985      497.000000
    29     1  1985      501.000000
    30     1  1985      503.000000
    31     1  1985      505.000000
     1     2  1985      510.000000
     2     2  1985      511.000000
     3     2  1985      514.000000
     4     2  1985      522.000000
     5     2  1985      525.000000
     6     2  1985      527.000000
     7     2  1985      531.000000
     8     2  1985      531.000000
     9     2  1985      539.000000
    10     2  1985      540.000000
    11     2  1985      541.000000
    12     2  1985      545.000000
    13     2  1985      544.000000
    14     2  1985      544.000000
    15     2  1985      543.000000
    16     2  1985      542.000000
    17     2  1985      540.000000
    18     2  1985      539.000000
    19     2  1985      539.000000
    20     2  1985      538.000000
    21     2  1985      537.000000
    22     2  1985      539.000000
    23     2  1985      539.000000
    24     2  1985      540.000000
    25     2  1985      538.000000
    26     2  1985      537.000000
    27     2  1985      535.000000
    28     2  1985      532.000000
     1     3  1985      532.000000
     2     3  1985      530.000000
     3     3  1985      528.000000
     4     3  1985      528.000000
     5     3  1985      528.000000
     6     3  1985      530.000000
     7     3  1985      532.000000
     8     3  1985      534.000000
     9     3  1985      537.000000
    10     3  1985      539.000000
    11     3  1985      540.000000
    12     3  1985      541.000000
    13     3  1985      541.000000
    14     3  1985      541.000000
    15     3  1985      539.000000
    16     3  1985      538.000000
    17     3  1985      541.000000
    18     3  1985      545.000000
    19     3  1985      545.000000
    20     3  1985      548.000000
    21     3  1985      551.000000
    22     3  1985      554.000000
    23     3  1985      553.000000
    24     3  1985      553.000000
    25     3  1985      554.000000
    26     3  1985      556.000000
    27     3  1985      556.000000
    28     3  1985      555.000000
    29     3  1985      554.000000
    30     3  1985      553.000000
    31     3  1985      553.000000
     1     4  1985      553.000000
     2     4  1985      551.000000
     3     4  1985      553.000000
     4     4  1985      556.000000
     5     4  1985      559.000000
     6     4  1985      559.000000
     7     4  1985      560.000000
     8     4  1985      561.000000
     9     4  1985      562.000000
    10     4  1985      562.000000
    11     4  1985      561.000000
    12     4  1985      560.000000
    13     4  1985      559.000000
    14     4  1985      557.000000
    15     4  1985      553.000000
    16     4  1985      552.000000
    17     4  1985      551.000000
    18     4  1985      550.000000
    19     4  1985      550.000000
    20     4  1985      550.000000
    21     4  1985      550.000000
    22     4  1985      552.000000
    23     4  1985      552.000000
