BERURI	-61.368	-3.885
     6     2  1984     1479.000000
     7     2  1984     1486.000000
     8     2  1984     1492.000000
     9     2  1984     1497.000000
    10     2  1984     1500.000000
    11     2  1984     1502.000000
    12     2  1984     1506.000000
    13     2  1984     1511.000000
    14     2  1984     1516.000000
    15     2  1984     1525.000000
    16     2  1984     1531.000000
    17     2  1984     1535.000000
    18     2  1984     1546.000000
    19     2  1984     1553.000000
    20     2  1984     1559.000000
    21     2  1984     1566.000000
    22     2  1984     1573.000000
    23     2  1984     1577.000000
    24     2  1984     1583.000000
    25     2  1984     1594.000000
    26     2  1984     1602.000000
    27     2  1984     1608.000000
    28     2  1984     1611.000000
    29     2  1984     1614.000000
     1     3  1984     1622.000000
     2     3  1984     1628.000000
     3     3  1984     1638.000000
     4     3  1984     1648.000000
     5     3  1984     1654.000000
     6     3  1984     1662.000000
     7     3  1984     1674.000000
     8     3  1984     1690.000000
     9     3  1984     1702.000000
    10     3  1984     1709.000000
    11     3  1984     1714.000000
    12     3  1984     1720.000000
    13     3  1984     1724.000000
    14     3  1984     1732.000000
    15     3  1984     1740.000000
    16     3  1984     1745.000000
    17     3  1984     1749.000000
    18     3  1984     1752.000000
    19     3  1984     1756.000000
    20     3  1984     1764.000000
    21     3  1984     1770.000000
    22     3  1984     1775.000000
    23     3  1984     1780.000000
    24     3  1984     1782.000000
    25     3  1984     1785.000000
    26     3  1984     1789.000000
    27     3  1984     1793.000000
    28     3  1984     1796.000000
    29     3  1984     1798.000000
    30     3  1984     1801.000000
    31     3  1984     1804.000000
     1     4  1984     1808.000000
     2     4  1984     1811.000000
     3     4  1984     1815.000000
     4     4  1984     1819.000000
     5     4  1984     1822.000000
     6     4  1984     1825.000000
     7     4  1984     1830.000000
     8     4  1984     1831.000000
     9     4  1984     1831.000000
    10     4  1984     1833.000000
    11     4  1984     1836.000000
    12     4  1984     1840.000000
    13     4  1984     1841.000000
    14     4  1984     1842.000000
    15     4  1984     1844.000000
    16     4  1984     1846.000000
    17     4  1984     1850.000000
    18     4  1984     1854.000000
    19     4  1984     1858.000000
    20     4  1984     1862.000000
    21     4  1984     1866.000000
    22     4  1984     1870.000000
    23     4  1984     1874.000000
    24     4  1984     1878.000000
    25     4  1984     1882.000000
    26     4  1984     1885.000000
    27     4  1984     1889.000000
    28     4  1984     1893.000000
    29     4  1984     1897.000000
    30     4  1984     1901.000000
     1     5  1984     1906.000000
     2     5  1984     1908.000000
     3     5  1984     1910.000000
     4     5  1984     1914.000000
     5     5  1984     1918.000000
     6     5  1984     1920.000000
     7     5  1984     1924.000000
     8     5  1984     1926.000000
     9     5  1984     1930.000000
    10     5  1984     1936.000000
    11     5  1984     1940.000000
    12     5  1984     1945.000000
    13     5  1984     1949.000000
    14     5  1984     1952.000000
    15     5  1984     1956.000000
    16     5  1984     1961.000000
    17     5  1984     1964.000000
    18     5  1984     1968.000000
    19     5  1984     1971.000000
    20     5  1984     1975.000000
    21     5  1984     1978.000000
    22     5  1984     1980.000000
    23     5  1984     1983.000000
    24     5  1984     1986.000000
    25     5  1984     1990.000000
    26     5  1984     1995.000000
    27     5  1984     1998.000000
    28     5  1984     1999.000000
    29     5  1984     2001.000000
    30     5  1984     2002.000000
    31     5  1984     2003.000000
     1     6  1984     2004.000000
     2     6  1984     2006.000000
     3     6  1984     2009.000000
     4     6  1984     2012.000000
     5     6  1984     2013.000000
     6     6  1984     2014.000000
     7     6  1984     2016.000000
     8     6  1984     2018.000000
     9     6  1984     2020.000000
    10     6  1984     2020.000000
    11     6  1984     2021.000000
    12     6  1984     2022.000000
    13     6  1984     2024.000000
    14     6  1984     2024.000000
    15     6  1984     2024.000000
    16     6  1984     2024.000000
    17     6  1984     2025.000000
    18     6  1984     2025.000000
    19     6  1984     2024.000000
    20     6  1984     2024.000000
    21     6  1984     2024.000000
    22     6  1984     2024.000000
    23     6  1984     2023.000000
    24     6  1984     2022.000000
    25     6  1984     2021.000000
    26     6  1984     2020.000000
    27     6  1984     2020.000000
    28     6  1984     2019.000000
    29     6  1984     2018.000000
    30     6  1984     2014.000000
     1     7  1984     2012.000000
     2     7  1984     2010.000000
     3     7  1984     2008.000000
     4     7  1984     2006.000000
     5     7  1984     2004.000000
     6     7  1984     2000.000000
     7     7  1984     1999.000000
     8     7  1984     1998.000000
     9     7  1984     1997.000000
    10     7  1984     1996.000000
    11     7  1984     1992.000000
    12     7  1984     1986.000000
