CUCUÍ	-66.853	1.215
     3     3  1984     1654.000000
     4     3  1984     1638.000000
     5     3  1984     1622.000000
     6     3  1984     1604.000000
     7     3  1984     1585.000000
     8     3  1984     1565.000000
     9     3  1984     1546.000000
    10     3  1984     1525.000000
    11     3  1984     1508.000000
    12     3  1984     1486.000000
    13     3  1984     1464.000000
    14     3  1984     1449.000000
    15     3  1984     1434.000000
    16     3  1984     1424.000000
    17     3  1984     1413.000000
    18     3  1984     1405.000000
    19     3  1984     1402.000000
    20     3  1984     1398.000000
    21     3  1984     1398.000000
    22     3  1984     1396.000000
    23     3  1984     1396.000000
    24     3  1984     1405.000000
    25     3  1984     1413.000000
    26     3  1984     1419.000000
    27     3  1984     1426.000000
    28     3  1984     1430.000000
    29     3  1984     1433.000000
    30     3  1984     1435.000000
    31     3  1984     1431.000000
     1     4  1984     1425.000000
     2     4  1984     1421.000000
     3     4  1984     1426.000000
     4     4  1984     1433.000000
     5     4  1984     1439.000000
     6     4  1984     1444.000000
     7     4  1984     1440.000000
     8     4  1984     1430.000000
     9     4  1984     1422.000000
    10     4  1984     1413.000000
    11     4  1984     1410.000000
    12     4  1984     1410.000000
    13     4  1984     1410.000000
    14     4  1984     1415.000000
    15     4  1984     1419.000000
    16     4  1984     1426.000000
    17     4  1984     1433.000000
    18     4  1984     1436.000000
    19     4  1984     1438.000000
    20     4  1984     1438.000000
    21     4  1984     1436.000000
    22     4  1984     1432.000000
    23     4  1984     1429.000000
    24     4  1984     1423.000000
    25     4  1984     1420.000000
    26     4  1984     1434.000000
    27     4  1984     1465.000000
    28     4  1984     1512.000000
    29     4  1984     1556.000000
    30     4  1984     1592.000000
     1     5  1984     1617.000000
     2     5  1984     1629.000000
     3     5  1984     1636.000000
     4     5  1984     1637.000000
     5     5  1984     1634.000000
     6     5  1984     1628.000000
     7     5  1984     1622.000000
     8     5  1984     1611.000000
     9     5  1984     1601.000000
    10     5  1984     1591.000000
    11     5  1984     1577.000000
    12     5  1984     1566.000000
    13     5  1984     1557.000000
    14     5  1984     1557.000000
    15     5  1984     1556.000000
    16     5  1984     1562.000000
    17     5  1984     1579.000000
    18     5  1984     1595.000000
    19     5  1984     1617.000000
    20     5  1984     1633.000000
    21     5  1984     1650.000000
    22     5  1984     1673.000000
    23     5  1984     1713.000000
    24     5  1984     1750.000000
    25     5  1984     1772.000000
    26     5  1984     1790.000000
    27     5  1984     1804.000000
    28     5  1984     1825.000000
    29     5  1984     1860.000000
    30     5  1984     1877.000000
    31     5  1984     1882.000000
     1     6  1984     1888.000000
     2     6  1984     1901.000000
     3     6  1984     1913.000000
     4     6  1984     1924.000000
     5     6  1984     1931.000000
     6     6  1984     1937.000000
     7     6  1984     1943.000000
     8     6  1984     1948.000000
     9     6  1984     1962.000000
    10     6  1984     1959.000000
    11     6  1984     1963.000000
    12     6  1984     1969.000000
    13     6  1984     1977.000000
    14     6  1984     1991.000000
    15     6  1984     2001.000000
    16     6  1984     2009.000000
    17     6  1984     2014.000000
    18     6  1984     2017.000000
    19     6  1984     2017.000000
    20     6  1984     2020.000000
    21     6  1984     2023.000000
    22     6  1984     2023.000000
    23     6  1984     2019.000000
    24     6  1984     2017.000000
    25     6  1984     2013.000000
    26     6  1984     2011.000000
    27     6  1984     2007.000000
    28     6  1984     2004.000000
    29     6  1984     2004.000000
    30     6  1984     2006.000000
     1     7  1984     2009.000000
     2     7  1984     2009.000000
     3     7  1984     2009.000000
     4     7  1984     2011.000000
     5     7  1984     2016.000000
     6     7  1984     2025.000000
     7     7  1984     2030.000000
     8     7  1984     2037.000000
     9     7  1984     2039.000000
    10     7  1984     2040.000000
    11     7  1984     2041.000000
    12     7  1984     2038.000000
    13     7  1984     2033.000000
    14     7  1984     2026.000000
    15     7  1984     2022.000000
    16     7  1984     2021.000000
    17     7  1984     2018.000000
    18     7  1984     2017.000000
    19     7  1984     2016.000000
    20     7  1984     2015.000000
    21     7  1984     2012.000000
    22     7  1984     2011.000000
    23     7  1984     2011.000000
    24     7  1984     2009.000000
    25     7  1984     2004.000000
    26     7  1984     1991.000000
    27     7  1984     1987.000000
    28     7  1984     1988.000000
    29     7  1984     1989.000000
    30     7  1984     1990.000000
    31     7  1984     1988.000000
     1     8  1984     1988.000000
     2     8  1984     1984.000000
     3     8  1984     1981.000000
     4     8  1984     1976.000000
     5     8  1984     1971.000000
     6     8  1984     1965.000000
     7     8  1984     1960.000000
     8     8  1984     1961.000000
     9     8  1984     1964.000000
    10     8  1984     1965.000000
    11     8  1984     1966.000000
    12     8  1984     1968.000000
    13     8  1984     1975.000000
    14     8  1984     1979.000000
    15     8  1984     1980.000000
    16     8  1984     1981.000000
    17     8  1984     1980.000000
    18     8  1984     1986.000000
    19     8  1984     1999.000000
    20     8  1984     2011.000000
    21     8  1984     2017.000000
    22     8  1984     2018.000000
    23     8  1984     2016.000000
    24     8  1984     2013.000000
    25     8  1984     2009.000000
    26     8  1984     2007.000000
    27     8  1984     2006.000000
    28     8  1984     2003.000000
    29     8  1984     1995.000000
    30     8  1984     1987.000000
    31     8  1984     1978.000000
     1     9  1984     1975.000000
     2     9  1984     1964.000000
     3     9  1984     1957.000000
     4     9  1984     1945.000000
     5     9  1984     1931.000000
     6     9  1984     1915.000000
     7     9  1984     1896.000000
     8     9  1984     1879.000000
     9     9  1984     1865.000000
    10     9  1984     1858.000000
    11     9  1984     1854.000000
    12     9  1984     1846.000000
    13     9  1984     1844.000000
    14     9  1984     1843.000000
    15     9  1984     1843.000000
    16     9  1984     1842.000000
    17     9  1984     1843.000000
    18     9  1984     1849.000000
    19     9  1984     1863.000000
    20     9  1984     1869.000000
    21     9  1984     1866.000000
    22     9  1984     1864.000000
    23     9  1984     1856.000000
    24     9  1984     1850.000000
    25     9  1984     1844.000000
    26     9  1984     1837.000000
    27     9  1984     1829.000000
    28     9  1984     1818.000000
    29     9  1984     1807.000000
    30     9  1984     1797.000000
     1    10  1984     1771.000000
     2    10  1984     1755.000000
     3    10  1984     1743.000000
     4    10  1984     1730.000000
     5    10  1984     1718.000000
     6    10  1984     1706.000000
     7    10  1984     1695.000000
     8    10  1984     1686.000000
     9    10  1984     1680.000000
    10    10  1984     1678.000000
    11    10  1984     1674.000000
    12    10  1984     1674.000000
    13    10  1984     1680.000000
    14    10  1984     1686.000000
    15    10  1984     1697.000000
    16    10  1984     1699.000000
    17    10  1984     1699.000000
    18    10  1984     1703.000000
    19    10  1984     1707.000000
    20    10  1984     1710.000000
    21    10  1984     1712.000000
    22    10  1984     1712.000000
    23    10  1984     1715.000000
    24    10  1984     1715.000000
    25    10  1984     1714.000000
    26    10  1984     1712.000000
    27    10  1984     1704.000000
    28    10  1984     1692.000000
    29    10  1984     1681.000000
    30    10  1984     1678.000000
    31    10  1984     1674.000000
     1    11  1984     1666.000000
     2    11  1984     1662.000000
     3    11  1984     1659.000000
     4    11  1984     1650.000000
     5    11  1984     1635.000000
     6    11  1984     1619.000000
     7    11  1984     1605.000000
     8    11  1984     1602.000000
     9    11  1984     1607.000000
    10    11  1984     1613.000000
    11    11  1984     1616.000000
    12    11  1984     1612.000000
    13    11  1984     1616.000000
    14    11  1984     1621.000000
    15    11  1984     1624.000000
    16    11  1984     1627.000000
    17    11  1984     1633.000000
    18    11  1984     1643.000000
    19    11  1984     1653.000000
    20    11  1984     1662.000000
    21    11  1984     1677.000000
    22    11  1984     1692.000000
    23    11  1984     1705.000000
    24    11  1984     1714.000000
    25    11  1984     1719.000000
    26    11  1984     1720.000000
    27    11  1984     1718.000000
    28    11  1984     1722.000000
    29    11  1984     1723.000000
    30    11  1984     1716.000000
     1    12  1984     1702.000000
     2    12  1984     1686.000000
     3    12  1984     1665.000000
     4    12  1984     1645.000000
     5    12  1984     1628.000000
     6    12  1984     1611.000000
     7    12  1984     1598.000000
     8    12  1984     1583.000000
     9    12  1984     1573.000000
    10    12  1984     1563.000000
    11    12  1984     1561.000000
    12    12  1984     1562.000000
    13    12  1984     1557.000000
    14    12  1984     1548.000000
    15    12  1984     1535.000000
    16    12  1984     1522.000000
    17    12  1984     1512.000000
    18    12  1984     1505.000000
    19    12  1984     1509.000000
    20    12  1984     1523.000000
    21    12  1984     1547.000000
    22    12  1984     1562.000000
    23    12  1984     1606.000000
    24    12  1984     1635.000000
    25    12  1984     1655.000000
    26    12  1984     1672.000000
    27    12  1984     1687.000000
    28    12  1984     1696.000000
    29    12  1984     1710.000000
    30    12  1984     1726.000000
    31    12  1984     1747.000000
     1     1  1985     1763.000000
     2     1  1985     1771.000000
     3     1  1985     1774.000000
     4     1  1985     1773.000000
     5     1  1985     1769.000000
     6     1  1985     1763.000000
     7     1  1985     1751.000000
     8     1  1985     1742.000000
     9     1  1985     1722.000000
    10     1  1985     1711.000000
    11     1  1985     1689.000000
    12     1  1985     1654.000000
    13     1  1985     1630.000000
    14     1  1985     1606.000000
    15     1  1985     1587.000000
    16     1  1985     1576.000000
    17     1  1985     1557.000000
    18     1  1985     1554.000000
    19     1  1985     1544.000000
    20     1  1985     1537.000000
    21     1  1985     1526.000000
    22     1  1985     1513.000000
    23     1  1985     1498.000000
    24     1  1985     1480.000000
