HUMAITÁ	-63.020	-7.505
    16     1  1984     1976.000000
    17     1  1984     1982.000000
    18     1  1984     1989.000000
    19     1  1984     1998.000000
    20     1  1984     2008.000000
    21     1  1984     2015.000000
    22     1  1984     2026.000000
    23     1  1984     2030.000000
    24     1  1984     2034.000000
    25     1  1984     2036.000000
    26     1  1984     2037.000000
    27     1  1984     2040.000000
    28     1  1984     2044.000000
    29     1  1984     2048.000000
    30     1  1984     2054.000000
    31     1  1984     2061.000000
     1     2  1984     2066.000000
     2     2  1984     2069.000000
     3     2  1984     2070.000000
     4     2  1984     2072.000000
     5     2  1984     2082.000000
     6     2  1984     2089.000000
     7     2  1984     2096.000000
     8     2  1984     2105.000000
     9     2  1984     2112.000000
    10     2  1984     2116.000000
    11     2  1984     2122.000000
    12     2  1984     2127.000000
    13     2  1984     2129.000000
    14     2  1984     2129.000000
    15     2  1984     2132.000000
    16     2  1984     2134.000000
    17     2  1984     2142.000000
    18     2  1984     2153.000000
    19     2  1984     2164.000000
    20     2  1984     2174.000000
    21     2  1984     2180.000000
    22     2  1984     2184.000000
    23     2  1984     2192.000000
    24     2  1984     2202.000000
    25     2  1984     2204.000000
    26     2  1984     2210.000000
    27     2  1984     2215.000000
    28     2  1984     2219.000000
    29     2  1984     2224.000000
     1     3  1984     2228.000000
     2     3  1984     2232.000000
     3     3  1984     2238.000000
     4     3  1984     2240.000000
     5     3  1984     2246.000000
     6     3  1984     2255.000000
     7     3  1984     2260.000000
     8     3  1984     2261.000000
     9     3  1984     2266.000000
    10     3  1984     2270.000000
    11     3  1984     2273.000000
    12     3  1984     2277.000000
    13     3  1984     2280.000000
    14     3  1984     2284.000000
    15     3  1984     2288.000000
    16     3  1984     2292.000000
    17     3  1984     2297.000000
    18     3  1984     2296.000000
    19     3  1984     2290.000000
    20     3  1984     2282.000000
    21     3  1984     2276.000000
    22     3  1984     2278.000000
    23     3  1984     2282.000000
    24     3  1984     2288.000000
    25     3  1984     2293.000000
    26     3  1984     2297.000000
    27     3  1984     2302.000000
    28     3  1984     2308.000000
    29     3  1984     2312.000000
    30     3  1984     2314.000000
    31     3  1984     2317.000000
     1     4  1984     2320.000000
     2     4  1984     2322.000000
     3     4  1984     2325.000000
     4     4  1984     2328.000000
     5     4  1984     2328.000000
     6     4  1984     2323.000000
     7     4  1984     2324.000000
     8     4  1984     2332.000000
     9     4  1984     2336.000000
    10     4  1984     2342.000000
    11     4  1984     2350.000000
    12     4  1984     2360.000000
    13     4  1984     2364.000000
    14     4  1984     2368.000000
    15     4  1984     2370.000000
    16     4  1984     2374.000000
    17     4  1984     2377.000000
    18     4  1984     2380.000000
    19     4  1984     2382.000000
    20     4  1984     2384.000000
    21     4  1984     2382.000000
    22     4  1984     2380.000000
    23     4  1984     2377.000000
    24     4  1984     2376.000000
    25     4  1984     2374.000000
    26     4  1984     2371.000000
    27     4  1984     2368.000000
    28     4  1984     2367.000000
    29     4  1984     2367.000000
    30     4  1984     2369.000000
     1     5  1984     2369.000000
     2     5  1984     2370.000000
     3     5  1984     2370.000000
     4     5  1984     2370.000000
     5     5  1984     2369.000000
     6     5  1984     2366.000000
     7     5  1984     2362.000000
     8     5  1984     2358.000000
     9     5  1984     2350.000000
    10     5  1984     2345.000000
    11     5  1984     2339.000000
    12     5  1984     2336.000000
    13     5  1984     2329.000000
    14     5  1984     2319.000000
    15     5  1984     2310.000000
    16     5  1984     2307.000000
    17     5  1984     2300.000000
    18     5  1984     2292.000000
    19     5  1984     2286.000000
    20     5  1984     2272.000000
    21     5  1984     2263.000000
    22     5  1984     2250.000000
    23     5  1984     2243.000000
    24     5  1984     2239.000000
    25     5  1984     2235.000000
