BORBA	-59.597	-4.388
     7     6  1984     2070.000000
     8     6  1984     2066.000000
     9     6  1984     2062.000000
    10     6  1984     2055.000000
    11     6  1984     2046.000000
    12     6  1984     2038.000000
    13     6  1984     2032.000000
    14     6  1984     2026.000000
    15     6  1984     2020.000000
    16     6  1984     2016.000000
    17     6  1984     2012.000000
    18     6  1984     2006.000000
    19     6  1984     2000.000000
    20     6  1984     1994.000000
    21     6  1984     1988.000000
    22     6  1984     1982.000000
    23     6  1984     1972.000000
    24     6  1984     1964.000000
    25     6  1984     1955.000000
    26     6  1984     1942.000000
    27     6  1984     1934.000000
    28     6  1984     1928.000000
    29     6  1984     1920.000000
    30     6  1984     1912.000000
     1     7  1984     1906.000000
     2     7  1984     1900.000000
     3     7  1984     1896.000000
     4     7  1984     1890.000000
     5     7  1984     1884.000000
     6     7  1984     1880.000000
     7     7  1984     1876.000000
     8     7  1984     1874.000000
     9     7  1984     1866.000000
    10     7  1984     1854.000000
    11     7  1984     1842.000000
    12     7  1984     1830.000000
    13     7  1984     1820.000000
    14     7  1984     1812.000000
    15     7  1984     1804.000000
    16     7  1984     1796.000000
    17     7  1984     1788.000000
    18     7  1984     1784.000000
    19     7  1984     1778.000000
    20     7  1984     1774.000000
    21     7  1984     1768.000000
    22     7  1984     1760.000000
    23     7  1984     1754.000000
    24     7  1984     1750.000000
    25     7  1984     1742.000000
    26     7  1984     1734.000000
    27     7  1984     1730.000000
    28     7  1984     1722.000000
    29     7  1984     1716.000000
    30     7  1984     1710.000000
    31     7  1984     1702.000000
     1     8  1984     1694.000000
     2     8  1984     1682.000000
     3     8  1984     1672.000000
     4     8  1984     1662.000000
     5     8  1984     1654.000000
     6     8  1984     1646.000000
     7     8  1984     1637.000000
     8     8  1984     1626.000000
     9     8  1984     1616.000000
    10     8  1984     1608.000000
    11     8  1984     1598.000000
    12     8  1984     1582.000000
    13     8  1984     1569.000000
    14     8  1984     1554.000000
    15     8  1984     1544.000000
    16     8  1984     1536.000000
    17     8  1984     1524.000000
    18     8  1984     1518.000000
    19     8  1984     1510.000000
    20     8  1984     1504.000000
    21     8  1984     1498.000000
    22     8  1984     1491.000000
    23     8  1984     1484.000000
    24     8  1984     1478.000000
    25     8  1984     1472.000000
    26     8  1984     1468.000000
    27     8  1984     1462.000000
    28     8  1984     1457.000000
    29     8  1984     1453.000000
    30     8  1984     1449.000000
    31     8  1984     1444.000000
     1     9  1984     1438.000000
     2     9  1984     1432.000000
     3     9  1984     1424.000000
     4     9  1984     1415.000000
     5     9  1984     1408.000000
     6     9  1984     1398.000000
     7     9  1984     1388.000000
     8     9  1984     1378.000000
     9     9  1984     1370.000000
    10     9  1984     1364.000000
    11     9  1984     1358.000000
    12     9  1984     1352.000000
    13     9  1984     1344.000000
    14     9  1984     1333.000000
    15     9  1984     1324.000000
    16     9  1984     1314.000000
    17     9  1984     1304.000000
    18     9  1984     1294.000000
    19     9  1984     1285.000000
    20     9  1984     1276.000000
    21     9  1984     1268.000000
    22     9  1984     1258.000000
    23     9  1984     1247.000000
    24     9  1984     1236.000000
    25     9  1984     1226.000000
    26     9  1984     1217.000000
    27     9  1984     1205.000000
    28     9  1984     1191.000000
    29     9  1984     1181.000000
    30     9  1984     1170.000000
     1    10  1984     1162.000000
     2    10  1984     1154.000000
     3    10  1984     1147.000000
     4    10  1984     1140.000000
     5    10  1984     1132.000000
     6    10  1984     1123.000000
     7    10  1984     1112.000000
     8    10  1984     1104.000000
     9    10  1984     1094.000000
    10    10  1984     1082.000000
    11    10  1984     1071.000000
    12    10  1984     1056.000000
    13    10  1984     1044.000000
    14    10  1984     1032.000000
    15    10  1984     1018.000000
    16    10  1984     1007.000000
    17    10  1984     1001.000000
    18    10  1984     1001.000000
    19    10  1984     1002.000000
    20    10  1984     1004.000000
    21    10  1984     1005.000000
    22    10  1984     1006.000000
    23    10  1984     1010.000000
    24    10  1984     1013.000000
    25    10  1984     1019.000000
    26    10  1984     1026.000000
    27    10  1984     1034.000000
    28    10  1984     1044.000000
    29    10  1984     1054.000000
    30    10  1984     1067.000000
    31    10  1984     1078.000000
     1    11  1984     1086.000000
     2    11  1984     1096.000000
     3    11  1984     1104.000000
     4    11  1984     1112.000000
     5    11  1984     1119.000000
     6    11  1984     1126.000000
     7    11  1984     1134.000000
     8    11  1984     1141.000000
     9    11  1984     1150.000000
    10    11  1984     1162.000000
    11    11  1984     1172.000000
    12    11  1984     1181.000000
    13    11  1984     1191.000000
    14    11  1984     1200.000000
    15    11  1984     1213.000000
    16    11  1984     1228.000000
    17    11  1984     1244.000000
    18    11  1984     1256.000000
    19    11  1984     1267.000000
    20    11  1984     1280.000000
    21    11  1984     1296.000000
    22    11  1984     1307.000000
    23    11  1984     1318.000000
