GAVIÃO	-66.849	-4.839
    27     6  1993      925.000000
    28     6  1993      873.000000
    29     6  1993      825.000000
    30     6  1993      775.000000
     1     7  1993      733.000000
     2     7  1993      695.000000
     3     7  1993      657.000000
     4     7  1993      621.000000
     5     7  1993      589.000000
     6     7  1993      557.000000
     7     7  1993      531.000000
     8     7  1993      508.000000
     9     7  1993      489.000000
    10     7  1993      474.000000
    11     7  1993      464.000000
    12     7  1993      454.000000
    13     7  1993      446.000000
    14     7  1993      436.000000
    15     7  1993      426.000000
    16     7  1993      418.000000
    17     7  1993      410.000000
    18     7  1993      402.000000
    19     7  1993      396.000000
    20     7  1993      393.000000
    21     7  1993      384.000000
    22     7  1993      376.000000
    23     7  1993      368.000000
    24     7  1993      359.000000
    25     7  1993      350.000000
    26     7  1993      344.000000
    27     7  1993      335.000000
    28     7  1993      329.000000
    29     7  1993      324.000000
    30     7  1993      314.000000
    31     7  1993      305.000000
     1     8  1993      296.000000
     2     8  1993      289.000000
     3     8  1993      283.000000
     4     8  1993      277.000000
     5     8  1993      272.000000
     6     8  1993      266.000000
     7     8  1993      262.000000
     8     8  1993      255.000000
     9     8  1993      249.000000
    10     8  1993      247.000000
    11     8  1993      243.000000
    12     8  1993      240.000000
    13     8  1993      237.000000
    14     8  1993      234.000000
    15     8  1993      231.000000
    16     8  1993      228.000000
    17     8  1993      231.000000
    18     8  1993      233.000000
    19     8  1993      236.000000
    20     8  1993      238.000000
    21     8  1993      249.000000
    22     8  1993      259.000000
    23     8  1993      266.000000
    24     8  1993      269.000000
    25     8  1993      270.000000
    26     8  1993      266.000000
    27     8  1993      260.000000
    28     8  1993      254.000000
    29     8  1993      247.000000
    30     8  1993      238.000000
    31     8  1993      231.000000
     1     9  1993      226.000000
     2     9  1993      223.000000
     3     9  1993      219.000000
     4     9  1993      218.000000
     5     9  1993      216.000000
     6     9  1993      214.000000
     7     9  1993      210.000000
     8     9  1993      206.000000
     9     9  1993      200.000000
    10     9  1993      195.000000
    11     9  1993      190.000000
    12     9  1993      186.000000
    13     9  1993      180.000000
    14     9  1993      174.000000
    15     9  1993      168.000000
    16     9  1993      162.000000
    17     9  1993      156.000000
    18     9  1993      148.000000
    19     9  1993      141.000000
    20     9  1993      135.000000
    21     9  1993      131.000000
    22     9  1993      127.000000
    23     9  1993      123.000000
    24     9  1993      121.000000
    25     9  1993      121.000000
    26     9  1993      121.000000
    27     9  1993      120.000000
    28     9  1993      119.000000
    29     9  1993      120.000000
    30     9  1993      122.000000
     1    10  1993      128.000000
     2    10  1993      131.000000
     3    10  1993      135.000000
     4    10  1993      139.000000
     5    10  1993      143.000000
     6    10  1993      145.000000
     7    10  1993      146.000000
     8    10  1993      146.000000
     9    10  1993      148.000000
    10    10  1993      149.000000
    11    10  1993      156.000000
    12    10  1993      163.000000
    13    10  1993      170.000000
    14    10  1993      177.000000
    15    10  1993      193.000000
    16    10  1993      208.000000
    17    10  1993      222.000000
    18    10  1993      236.000000
    19    10  1993      251.000000
    20    10  1993      264.000000
    21    10  1993      273.000000
    22    10  1993      282.000000
    23    10  1993      289.000000
    24    10  1993      295.000000
    25    10  1993      304.000000
    26    10  1993      312.000000
    27    10  1993      321.000000
    28    10  1993      331.000000
    29    10  1993      343.000000
    30    10  1993      358.000000
    31    10  1993      379.000000
     1    11  1993      402.000000
     2    11  1993      430.000000
     3    11  1993      460.000000
     4    11  1993      486.000000
     5    11  1993      510.000000
     6    11  1993      533.000000
     7    11  1993      556.000000
     8    11  1993      583.000000
     9    11  1993      615.000000
    10    11  1993      646.000000
    11    11  1993      679.000000
    12    11  1993      709.000000
    13    11  1993      744.000000
    14    11  1993      767.000000
    15    11  1993      793.000000
    16    11  1993      819.000000
    17    11  1993      847.000000
    18    11  1993      876.000000
    19    11  1993      909.000000
    20    11  1993      933.000000
    21    11  1993      950.000000
    22    11  1993      971.000000
    23    11  1993      989.000000
    24    11  1993     1004.000000
    25    11  1993     1025.000000
    26    11  1993     1047.000000
    27    11  1993     1060.000000
    28    11  1993     1075.000000
    29    11  1993     1098.000000
    30    11  1993     1111.000000
     1    12  1993     1121.000000
     2    12  1993     1128.000000
     3    12  1993     1142.000000
     4    12  1993     1155.000000
     5    12  1993     1164.000000
     6    12  1993     1170.000000
     7    12  1993     1177.000000
     8    12  1993     1185.000000
     9    12  1993     1189.000000
    10    12  1993     1195.000000
    11    12  1993     1200.000000
    12    12  1993     1205.000000
    13    12  1993     1210.000000
    14    12  1993     1213.000000
    15    12  1993     1220.000000
    16    12  1993     1224.000000
    17    12  1993     1228.000000
    18    12  1993     1234.000000
    19    12  1993     1240.000000
    20    12  1993     1245.000000
    21    12  1993     1249.000000
    22    12  1993     1261.000000
    23    12  1993     1268.000000
    24    12  1993     1272.000000
    25    12  1993     1279.000000
    26    12  1993     1284.000000
    27    12  1993     1292.000000
    28    12  1993     1297.000000
    29    12  1993     1301.000000
    30    12  1993     1307.000000
    31    12  1993     1306.000000
     1     1  1994     1311.000000
     2     1  1994     1317.000000
     3     1  1994     1318.000000
     4     1  1994     1320.000000
     5     1  1994     1323.000000
     6     1  1994     1326.000000
     7     1  1994     1331.000000
     8     1  1994     1335.000000
     9     1  1994     1339.000000
    10     1  1994     1342.000000
    11     1  1994     1348.000000
    12     1  1994     1351.000000
    13     1  1994     1354.000000
    14     1  1994     1355.000000
    15     1  1994     1358.000000
    16     1  1994     1359.000000
    17     1  1994     1359.000000
    18     1  1994     1359.000000
    19     1  1994     1359.000000
    20     1  1994     1371.000000
    21     1  1994     1374.000000
    22     1  1994     1372.000000
    23     1  1994     1375.000000
    24     1  1994     1376.000000
    25     1  1994     1376.000000
    26     1  1994     1376.000000
    27     1  1994     1377.000000
    28     1  1994     1377.000000
    29     1  1994     1377.000000
    30     1  1994     1379.000000
    31     1  1994     1377.000000
     1     2  1994     1377.000000
     2     2  1994     1380.000000
     3     2  1994     1379.000000
     4     2  1994     1380.000000
     5     2  1994     1383.000000
     6     2  1994     1383.000000
     7     2  1994     1386.000000
     8     2  1994     1386.000000
     9     2  1994     1393.000000
    10     2  1994     1394.000000
    11     2  1994     1395.000000
    12     2  1994     1402.000000
    13     2  1994     1403.000000
    14     2  1994     1403.000000
    15     2  1994     1407.000000
    16     2  1994     1405.000000
    17     2  1994     1403.000000
    18     2  1994     1410.000000
    19     2  1994     1410.000000
    20     2  1994     1412.000000
    21     2  1994     1417.000000
    22     2  1994     1420.000000
    23     2  1994     1423.000000
    24     2  1994     1425.000000
    25     2  1994     1427.000000
    26     2  1994     1428.000000
    27     2  1994     1429.000000
    28     2  1994     1430.000000
     1     3  1994     1430.000000
     2     3  1994     1430.000000
     3     3  1994     1430.000000
     4     3  1994     1430.000000
     5     3  1994     1430.000000
     6     3  1994     1433.000000
     7     3  1994     1431.000000
     8     3  1994     1432.000000
     9     3  1994     1433.000000
    10     3  1994     1433.000000
    11     3  1994     1433.000000
    12     3  1994     1433.000000
    13     3  1994     1433.000000
    14     3  1994     1433.000000
    15     3  1994     1433.000000
    16     3  1994     1428.000000
    17     3  1994     1430.000000
    18     3  1994     1431.000000
    19     3  1994     1429.000000
    20     3  1994     1429.000000
    21     3  1994     1428.000000
    22     3  1994     1429.000000
    23     3  1994     1427.000000
    24     3  1994     1432.000000
    25     3  1994     1431.000000
    26     3  1994     1432.000000
    27     3  1994     1431.000000
    28     3  1994     1436.000000
    29     3  1994     1434.000000
    30     3  1994     1431.000000
    31     3  1994     1435.000000
     1     4  1994     1431.000000
     2     4  1994     1427.000000
     3     4  1994     1425.000000
     4     4  1994     1425.000000
     5     4  1994     1424.000000
     6     4  1994     1423.000000
     7     4  1994     1421.000000
