BOCADOACRE	-67.400	-8.736
     4     8  1985      522.000000
     5     8  1985      526.000000
     6     8  1985      531.000000
     7     8  1985      533.000000
     8     8  1985      530.000000
     9     8  1985      528.000000
    10     8  1985      530.000000
    11     8  1985      533.000000
    12     8  1985      533.000000
    13     8  1985      523.000000
    14     8  1985      516.000000
    15     8  1985      512.000000
    16     8  1985      510.000000
    17     8  1985      508.000000
    18     8  1985      510.000000
    19     8  1985      513.000000
    20     8  1985      516.000000
    21     8  1985      513.000000
    22     8  1985      511.000000
    23     8  1985      511.000000
    24     8  1985      514.000000
    25     8  1985      516.000000
    26     8  1985      514.000000
    27     8  1985      516.000000
    28     8  1985      522.000000
    29     8  1985      527.000000
    30     8  1985      524.000000
    31     8  1985      524.000000
     1     9  1985      526.000000
     2     9  1985      523.000000
     3     9  1985      522.000000
     4     9  1985      522.000000
     5     9  1985      524.000000
     6     9  1985      532.000000
     7     9  1985      539.000000
     8     9  1985      540.000000
     9     9  1985      533.000000
    10     9  1985      524.000000
    11     9  1985      517.000000
    12     9  1985      511.000000
    13     9  1985      505.000000
    14     9  1985      501.000000
    15     9  1985      498.000000
    16     9  1985      494.000000
    17     9  1985      492.000000
    18     9  1985      492.000000
    19     9  1985      494.000000
    20     9  1985      489.000000
    21     9  1985      485.000000
    22     9  1985      483.000000
    23     9  1985      484.000000
    24     9  1985      488.000000
    25     9  1985      498.000000
    26     9  1985      509.000000
    27     9  1985      528.000000
    28     9  1985      534.000000
    29     9  1985      536.000000
    30     9  1985      536.000000
     1    10  1985      540.000000
     2    10  1985      545.000000
     3    10  1985      544.000000
     4    10  1985      546.000000
     5    10  1985      564.000000
     6    10  1985      577.000000
     7    10  1985      588.000000
     8    10  1985      596.000000
     9    10  1985      605.000000
    10    10  1985      615.000000
    11    10  1985      636.000000
    12    10  1985      645.000000
    13    10  1985      653.000000
    14    10  1985      648.000000
    15    10  1985      634.000000
    16    10  1985      620.000000
    17    10  1985      624.000000
    18    10  1985      641.000000
    19    10  1985      649.000000
    20    10  1985      659.000000
    21    10  1985      673.000000
    22    10  1985      703.000000
    23    10  1985      767.000000
    24    10  1985      782.000000
    25    10  1985      786.000000
    26    10  1985      786.000000
    27    10  1985      788.000000
    28    10  1985      794.000000
    29    10  1985      806.000000
    30    10  1985      813.000000
    31    10  1985      815.000000
     1    11  1985      809.000000
