BOCADOPOMPEU-JUSANTE	-65.043	-10.918
    16     8  1985       26.000000
    17     8  1985       23.000000
    18     8  1985       21.000000
    19     8  1985       26.000000
    20     8  1985       32.000000
    21     8  1985       34.000000
    22     8  1985       34.000000
    23     8  1985       34.000000
    24     8  1985       33.000000
    25     8  1985       33.000000
    26     8  1985       31.000000
    27     8  1985       29.000000
    28     8  1985       27.000000
    29     8  1985       26.000000
    30     8  1985       25.000000
    31     8  1985       21.000000
     1     9  1985       21.000000
     2     9  1985       23.000000
     3     9  1985       23.000000
     4     9  1985       24.000000
     5     9  1985       25.000000
     6     9  1985       27.000000
     7     9  1985       26.000000
     8     9  1985       23.000000
     9     9  1985       22.000000
    10     9  1985       19.000000
    11     9  1985       17.000000
    12     9  1985       15.000000
    13     9  1985       13.000000
    14     9  1985       12.000000
    15     9  1985       12.000000
    16     9  1985       10.000000
    17     9  1985        9.000000
    18     9  1985        8.000000
    19     9  1985        8.000000
    20     9  1985       10.000000
    21     9  1985       14.000000
    22     9  1985       15.000000
    23     9  1985       14.000000
    24     9  1985       14.000000
    25     9  1985       14.000000
    26     9  1985       14.000000
    27     9  1985       15.000000
    28     9  1985       14.000000
    29     9  1985       13.000000
    30     9  1985       11.000000
     1    10  1985        9.000000
     2    10  1985        7.000000
     3    10  1985        6.000000
     4    10  1985        5.000000
     5    10  1985        3.000000
     6    10  1985        1.000000
     7    10  1985        1.000000
     8    10  1985        2.000000
     9    10  1985        3.000000
    10    10  1985        4.000000
    11    10  1985        4.000000
    12    10  1985        2.000000
    13    10  1985        4.000000
    14    10  1985        6.000000
    15    10  1985        8.000000
    16    10  1985        9.000000
    17    10  1985        9.000000
    18    10  1985       11.000000
    19    10  1985        8.000000
    20    10  1985       14.000000
    21    10  1985       17.000000
    22    10  1985       23.000000
    23    10  1985       29.000000
    24    10  1985       34.000000
    25    10  1985       43.000000
    26    10  1985       55.000000
    27    10  1985       58.000000
    28    10  1985       60.000000
    29    10  1985       61.000000
    30    10  1985       64.000000
    31    10  1985       67.000000
     1    11  1985       70.000000
     2    11  1985       74.000000
     3    11  1985       77.000000
     4    11  1985       77.000000
     5    11  1985       78.000000
     6    11  1985       78.000000
     7    11  1985       80.000000
     8    11  1985       87.000000
     9    11  1985       92.000000
    10    11  1985       91.000000
    11    11  1985       90.000000
    12    11  1985       90.000000
