SANTOSDUMONT	-68.246	-6.440
    13     7  1985      928.000000
    14     7  1985      930.000000
    15     7  1985      932.000000
    16     7  1985      934.000000
    17     7  1985      938.000000
    18     7  1985      939.000000
    19     7  1985      940.000000
    20     7  1985      940.000000
    21     7  1985      937.000000
    22     7  1985      930.000000
    23     7  1985      924.000000
    24     7  1985      912.000000
    25     7  1985      898.000000
    26     7  1985      874.000000
    27     7  1985      860.000000
    28     7  1985      848.000000
    29     7  1985      835.000000
    30     7  1985      822.000000
    31     7  1985      808.000000
     1     8  1985      792.000000
     2     8  1985      782.000000
     3     8  1985      774.000000
     4     8  1985      769.000000
     5     8  1985      768.000000
     6     8  1985      768.000000
     7     8  1985      767.000000
     8     8  1985      764.000000
     9     8  1985      756.000000
    10     8  1985      747.000000
    11     8  1985      739.000000
    12     8  1985      733.000000
    13     8  1985      729.000000
    14     8  1985      725.000000
    15     8  1985      725.000000
    16     8  1985      727.000000
    17     8  1985      732.000000
    18     8  1985      734.000000
    19     8  1985      738.000000
    20     8  1985      740.000000
    21     8  1985      742.000000
    22     8  1985      742.000000
    23     8  1985      748.000000
    24     8  1985      758.000000
    25     8  1985      764.000000
    26     8  1985      769.000000
    27     8  1985      770.000000
    28     8  1985      772.000000
    29     8  1985      774.000000
    30     8  1985      775.000000
    31     8  1985      775.000000
     1     9  1985      775.000000
     2     9  1985      775.000000
     3     9  1985      775.000000
     4     9  1985      776.000000
     5     9  1985      777.000000
     6     9  1985      775.000000
     7     9  1985      769.000000
     8     9  1985      766.000000
     9     9  1985      764.000000
    10     9  1985      762.000000
    11     9  1985      757.000000
    12     9  1985      752.000000
    13     9  1985      746.000000
    14     9  1985      742.000000
    15     9  1985      737.000000
    16     9  1985      728.000000
    17     9  1985      723.000000
    18     9  1985      717.000000
    19     9  1985      712.000000
    20     9  1985      708.000000
    21     9  1985      707.000000
    22     9  1985      708.000000
    23     9  1985      722.000000
    24     9  1985      746.000000
    25     9  1985      766.000000
    26     9  1985      772.000000
    27     9  1985      783.000000
    28     9  1985      806.000000
    29     9  1985      829.000000
    30     9  1985      843.000000
     1    10  1985      862.000000
     2    10  1985      878.000000
     3    10  1985      890.000000
     4    10  1985      896.000000
     5    10  1985      896.000000
     6    10  1985      894.000000
     7    10  1985      892.000000
     8    10  1985      894.000000
     9    10  1985      897.000000
    10    10  1985      899.000000
    11    10  1985      899.000000
    12    10  1985      916.000000
    13    10  1985      966.000000
    14    10  1985     1026.000000
    15    10  1985     1080.000000
