ASSISBRASIL	-69.550	-10.933
    18     5  1984      289.000000
    19     5  1984      287.000000
    20     5  1984      282.000000
    21     5  1984      284.000000
    22     5  1984      295.000000
    23     5  1984      289.000000
    24     5  1984      286.000000
    25     5  1984      281.000000
    26     5  1984      279.000000
    27     5  1984      282.000000
    28     5  1984      279.000000
    29     5  1984      277.000000
    30     5  1984      276.000000
    31     5  1984      276.000000
     1     6  1984      275.000000
     2     6  1984      276.000000
     3     6  1984      275.000000
     4     6  1984      274.000000
     5     6  1984      274.000000
     6     6  1984      297.000000
     7     6  1984      290.000000
     8     6  1984      283.000000
     9     6  1984      277.000000
    10     6  1984      272.000000
    11     6  1984      269.000000
    12     6  1984      268.000000
    13     6  1984      268.000000
    14     6  1984      268.000000
    15     6  1984      266.000000
    16     6  1984      269.000000
    17     6  1984      271.000000
    18     6  1984      267.000000
    19     6  1984      269.000000
    20     6  1984      264.000000
    21     6  1984      263.000000
    22     6  1984      264.000000
    23     6  1984      262.000000
    24     6  1984      261.000000
    25     6  1984      260.000000
    26     6  1984      259.000000
    27     6  1984      263.000000
    28     6  1984      265.000000
    29     6  1984      263.000000
    30     6  1984      259.000000
     1     7  1984      257.000000
     2     7  1984      256.000000
     3     7  1984      254.000000
     4     7  1984      254.000000
     5     7  1984      253.000000
     6     7  1984      253.000000
     7     7  1984      252.000000
     8     7  1984      252.000000
     9     7  1984      252.000000
    10     7  1984      251.000000
    11     7  1984      251.000000
    12     7  1984      252.000000
    13     7  1984      263.000000
    14     7  1984      259.000000
    15     7  1984      256.000000
    16     7  1984      254.000000
    17     7  1984      253.000000
    18     7  1984      254.000000
    19     7  1984      255.000000
    20     7  1984      253.000000
    21     7  1984      252.000000
    22     7  1984      250.000000
    23     7  1984      250.000000
    24     7  1984      250.000000
    25     7  1984      250.000000
    26     7  1984      248.000000
    27     7  1984      248.000000
    28     7  1984      248.000000
    29     7  1984      248.000000
    30     7  1984      248.000000
    31     7  1984      248.000000
     1     8  1984      248.000000
     2     8  1984      247.000000
     3     8  1984      246.000000
     4     8  1984      246.000000
     5     8  1984      246.000000
     6     8  1984      248.000000
     7     8  1984      246.000000
     8     8  1984      244.000000
     9     8  1984      246.000000
    10     8  1984      246.000000
    11     8  1984      244.000000
    12     8  1984      244.000000
    13     8  1984      244.000000
    14     8  1984      246.000000
    15     8  1984      246.000000
    16     8  1984      246.000000
    17     8  1984      244.000000
    18     8  1984      244.000000
