FAZENDAPASSARÃO	-60.571	3.208
    31     3  1984      562.000000
     1     4  1984      572.000000
     2     4  1984      584.000000
     3     4  1984      603.000000
     4     4  1984      600.000000
     5     4  1984      579.000000
     6     4  1984      568.000000
     7     4  1984      566.000000
     8     4  1984      559.000000
     9     4  1984      552.000000
    10     4  1984      544.000000
    11     4  1984      539.000000
    12     4  1984      531.000000
    13     4  1984      528.000000
    14     4  1984      524.000000
    15     4  1984      522.000000
    16     4  1984      518.000000
    17     4  1984      516.000000
    18     4  1984      515.000000
    19     4  1984      514.000000
    20     4  1984      517.000000
    21     4  1984      528.000000
    22     4  1984      534.000000
    23     4  1984      537.000000
    24     4  1984      536.000000
    25     4  1984      530.000000
    26     4  1984      528.000000
    27     4  1984      527.000000
    28     4  1984      527.000000
    29     4  1984      535.000000
    30     4  1984      599.000000
     1     5  1984      666.000000
     2     5  1984      694.000000
     3     5  1984      687.000000
     4     5  1984      672.000000
     5     5  1984      649.000000
     6     5  1984      646.000000
     7     5  1984      635.000000
     8     5  1984      612.000000
     9     5  1984      597.000000
    10     5  1984      595.000000
    11     5  1984      649.000000
    12     5  1984      690.000000
    13     5  1984      728.000000
    14     5  1984      689.000000
    15     5  1984      674.000000
    16     5  1984      676.000000
    17     5  1984      770.000000
    18     5  1984      784.000000
    19     5  1984      780.000000
    20     5  1984      762.000000
    21     5  1984      734.000000
    22     5  1984      705.000000
    23     5  1984      705.000000
    24     5  1984      746.000000
    25     5  1984      797.000000
    26     5  1984      814.000000
    27     5  1984      837.000000
    28     5  1984      858.000000
    29     5  1984      902.000000
    30     5  1984      916.000000
    31     5  1984      915.000000
     1     6  1984      886.000000
     2     6  1984      838.000000
     3     6  1984      849.000000
     4     6  1984      868.000000
     5     6  1984      889.000000
     6     6  1984      979.000000
     7     6  1984     1019.000000
     8     6  1984     1044.000000
     9     6  1984     1056.000000
    10     6  1984     1055.000000
    11     6  1984     1044.000000
    12     6  1984      978.000000
    13     6  1984      909.000000
    14     6  1984      848.000000
    15     6  1984      837.000000
    16     6  1984      844.000000
    17     6  1984      858.000000
    18     6  1984      875.000000
    19     6  1984      859.000000
    20     6  1984      832.000000
    21     6  1984      850.000000
    22     6  1984      958.000000
    23     6  1984      973.000000
    24     6  1984      994.000000
    25     6  1984     1022.000000
    26     6  1984     1055.000000
    27     6  1984     1052.000000
    28     6  1984     1037.000000
    29     6  1984      993.000000
    30     6  1984      967.000000
     1     7  1984      924.000000
     2     7  1984      868.000000
     3     7  1984      871.000000
     4     7  1984      883.000000
     5     7  1984      900.000000
     6     7  1984      893.000000
     7     7  1984      869.000000
     8     7  1984      846.000000
     9     7  1984      880.000000
    10     7  1984      921.000000
    11     7  1984      938.000000
    12     7  1984      943.000000
    13     7  1984      922.000000
    14     7  1984      879.000000
    15     7  1984      866.000000
    16     7  1984      888.000000
    17     7  1984      900.000000
    18     7  1984      889.000000
    19     7  1984      919.000000
    20     7  1984      935.000000
    21     7  1984      946.000000
    22     7  1984      931.000000
    23     7  1984      886.000000
    24     7  1984      874.000000
    25     7  1984      898.000000
    26     7  1984      918.000000
    27     7  1984      952.000000
    28     7  1984      984.000000
    29     7  1984     1004.000000
    30     7  1984     1027.000000
    31     7  1984     1049.000000
     1     8  1984     1056.000000
     2     8  1984     1054.000000
     3     8  1984     1034.000000
     4     8  1984     1006.000000
     5     8  1984      977.000000
     6     8  1984      954.000000
     7     8  1984      912.000000
     8     8  1984      870.000000
     9     8  1984      860.000000
    10     8  1984      843.000000
    11     8  1984      841.000000
    12     8  1984      838.000000
    13     8  1984      844.000000
    14     8  1984      889.000000
    15     8  1984      921.000000
    16     8  1984      929.000000
    17     8  1984      920.000000
    18     8  1984      924.000000
    19     8  1984      912.000000
    20     8  1984      879.000000
    21     8  1984      865.000000
    22     8  1984      852.000000
    23     8  1984      838.000000
    24     8  1984      818.000000
    25     8  1984      915.000000
    26     8  1984      946.000000
    27     8  1984      969.000000
    28     8  1984      988.000000
    29     8  1984      994.000000
    30     8  1984     1003.000000
    31     8  1984     1011.000000
     1     9  1984     1016.000000
     2     9  1984     1016.000000
     3     9  1984     1013.000000
     4     9  1984     1008.000000
     5     9  1984     1000.000000
     6     9  1984      987.000000
     7     9  1984      927.000000
     8     9  1984      915.000000
     9     9  1984      887.000000
    10     9  1984      869.000000
    11     9  1984      908.000000
    12     9  1984      952.000000
    13     9  1984      966.000000
    14     9  1984      935.000000
    15     9  1984      883.000000
    16     9  1984      860.000000
    17     9  1984      820.000000
    18     9  1984      785.000000
    19     9  1984      766.000000
    20     9  1984      769.000000
    21     9  1984      772.000000
    22     9  1984      763.000000
    23     9  1984      759.000000
    24     9  1984      747.000000
    25     9  1984      744.000000
    26     9  1984      739.000000
    27     9  1984      727.000000
    28     9  1984      713.000000
    29     9  1984      703.000000
    30     9  1984      688.000000
     1    10  1984      676.000000
     2    10  1984      672.000000
     3    10  1984      673.000000
     4    10  1984      693.000000
     5    10  1984      717.000000
     6    10  1984      736.000000
     7    10  1984      737.000000
     8    10  1984      737.000000
     9    10  1984      738.000000
    10    10  1984      730.000000
    11    10  1984      715.000000
    12    10  1984      704.000000
    13    10  1984      700.000000
    14    10  1984      697.000000
    15    10  1984      696.000000
    16    10  1984      694.000000
    17    10  1984      690.000000
    18    10  1984      694.000000
    19    10  1984      703.000000
    20    10  1984      710.000000
    21    10  1984      705.000000
    22    10  1984      701.000000
    23    10  1984      696.000000
    24    10  1984      692.000000
    25    10  1984      687.000000
    26    10  1984      677.000000
    27    10  1984      658.000000
    28    10  1984      644.000000
    29    10  1984      639.000000
    30    10  1984      651.000000
    31    10  1984      701.000000
     1    11  1984      722.000000
     2    11  1984      745.000000
     3    11  1984      784.000000
     4    11  1984      760.000000
     5    11  1984      740.000000
     6    11  1984      735.000000
     7    11  1984      738.000000
     8    11  1984      748.000000
     9    11  1984      779.000000
    10    11  1984      799.000000
    11    11  1984      815.000000
    12    11  1984      809.000000
    13    11  1984      800.000000
    14    11  1984      808.000000
    15    11  1984      814.000000
    16    11  1984      811.000000
    17    11  1984      804.000000
    18    11  1984      802.000000
    19    11  1984      789.000000
    20    11  1984      791.000000
    21    11  1984      795.000000
    22    11  1984      786.000000
    23    11  1984      742.000000
    24    11  1984      734.000000
    25    11  1984      718.000000
    26    11  1984      711.000000
    27    11  1984      700.000000
    28    11  1984      689.000000
    29    11  1984      670.000000
    30    11  1984      661.000000
     1    12  1984      661.000000
     2    12  1984      660.000000
     3    12  1984      658.000000
     4    12  1984      657.000000
     5    12  1984      656.000000
     6    12  1984      654.000000
     7    12  1984      653.000000
     8    12  1984      651.000000
     9    12  1984      654.000000
    10    12  1984      651.000000
    11    12  1984      648.000000
    12    12  1984      655.000000
    13    12  1984      658.000000
    14    12  1984      660.000000
    15    12  1984      653.000000
    16    12  1984      644.000000
    17    12  1984      633.000000
    18    12  1984      624.000000
    19    12  1984      624.000000
    20    12  1984      623.000000
    21    12  1984      625.000000
    22    12  1984      625.000000
    23    12  1984      641.000000
    24    12  1984      664.000000
    25    12  1984      715.000000
    26    12  1984      785.000000
    27    12  1984      753.000000
    28    12  1984      729.000000
    29    12  1984      713.000000
    30    12  1984      728.000000
    31    12  1984      756.000000
     1     1  1985      789.000000
     2     1  1985      789.000000
     3     1  1985      784.000000
     4     1  1985      750.000000
     5     1  1985      720.000000
     6     1  1985      722.000000
     7     1  1985      725.000000
     8     1  1985      710.000000
     9     1  1985      689.000000
    10     1  1985      681.000000
    11     1  1985      735.000000
    12     1  1985      759.000000
    13     1  1985      761.000000
    14     1  1985      767.000000
    15     1  1985      761.000000
    16     1  1985      739.000000
    17     1  1985      714.000000
    18     1  1985      694.000000
    19     1  1985      676.000000
    20     1  1985      660.000000
    21     1  1985      648.000000
    22     1  1985      644.000000
    23     1  1985      633.000000
    24     1  1985      629.000000
    25     1  1985      622.000000
    26     1  1985      618.000000
    27     1  1985      617.000000
    28     1  1985      614.000000
    29     1  1985      612.000000
    30     1  1985      610.000000
    31     1  1985      606.000000
     1     2  1985      603.000000
     2     2  1985      602.000000
     3     2  1985      601.000000
     4     2  1985      601.000000
     5     2  1985      599.000000
     6     2  1985      589.000000
     7     2  1985      583.000000
     8     2  1985      581.000000
     9     2  1985      576.000000
    10     2  1985      571.000000
    11     2  1985      570.000000
    12     2  1985      569.000000
    13     2  1985      569.000000
    14     2  1985      566.000000
    15     2  1985      564.000000
    16     2  1985      562.000000
    17     2  1985      560.000000
    18     2  1985      560.000000
    19     2  1985      560.000000
    20     2  1985      559.000000
    21     2  1985      555.000000
    22     2  1985      550.000000
    23     2  1985      548.000000
    24     2  1985      540.000000
    25     2  1985      540.000000
    26     2  1985      539.000000
    27     2  1985      538.000000
    28     2  1985      538.000000
     1     3  1985      538.000000
     2     3  1985      538.000000
     3     3  1985      535.000000
     4     3  1985      535.000000
     5     3  1985      535.000000
     6     3  1985      535.000000
     7     3  1985      535.000000
     8     3  1985      542.000000
     9     3  1985      541.000000
    10     3  1985      542.000000
    11     3  1985      542.000000
