TABATINGA	-69.933	-4.250
     1     7  1984      996.000000
     2     7  1984      991.000000
     3     7  1984      986.000000
     4     7  1984      981.000000
     5     7  1984      975.000000
     6     7  1984      964.000000
     7     7  1984      958.000000
     8     7  1984      954.000000
     9     7  1984      949.000000
    10     7  1984      946.000000
    11     7  1984      944.000000
    12     7  1984      941.000000
    13     7  1984      935.000000
    14     7  1984      929.000000
    15     7  1984      925.000000
    16     7  1984      918.000000
    17     7  1984      908.000000
    18     7  1984      885.000000
    19     7  1984      866.000000
    20     7  1984      846.000000
    21     7  1984      826.000000
    22     7  1984      805.000000
    23     7  1984      786.000000
    24     7  1984      771.000000
    25     7  1984      759.000000
    26     7  1984      750.000000
    27     7  1984      742.000000
    28     7  1984      738.000000
    29     7  1984      732.000000
    30     7  1984      727.000000
    31     7  1984      721.000000
     1     8  1984      700.000000
     2     8  1984      676.000000
     3     8  1984      651.000000
     4     8  1984      634.000000
     5     8  1984      617.000000
     6     8  1984      592.000000
     7     8  1984      572.000000
     8     8  1984      544.000000
     9     8  1984      522.000000
    10     8  1984      499.000000
    11     8  1984      482.000000
    12     8  1984      446.000000
    13     8  1984      413.000000
    14     8  1984      400.000000
    15     8  1984      398.000000
    16     8  1984      410.000000
    17     8  1984      446.000000
    18     8  1984      482.000000
    19     8  1984      499.000000
    20     8  1984      522.000000
    21     8  1984      542.000000
    22     8  1984      544.000000
    23     8  1984      544.000000
    24     8  1984      539.000000
    25     8  1984      535.000000
    26     8  1984      532.000000
    27     8  1984      530.000000
    28     8  1984      532.000000
    29     8  1984      545.000000
    30     8  1984      558.000000
    31     8  1984      568.000000
     1     9  1984      578.000000
     2     9  1984      587.000000
     3     9  1984      598.000000
     4     9  1984      610.000000
     5     9  1984      614.000000
     6     9  1984      613.000000
     7     9  1984      601.000000
     8     9  1984      585.000000
     9     9  1984      568.000000
    10     9  1984      550.000000
    11     9  1984      534.000000
    12     9  1984      518.000000
    13     9  1984      505.000000
    14     9  1984      494.000000
    15     9  1984      495.000000
    16     9  1984      504.000000
    17     9  1984      513.000000
    18     9  1984      518.000000
    19     9  1984      516.000000
    20     9  1984      508.000000
    21     9  1984      500.000000
    22     9  1984      493.000000
    23     9  1984      488.000000
    24     9  1984      482.000000
    25     9  1984      466.000000
    26     9  1984      443.000000
    27     9  1984      422.000000
    28     9  1984      392.000000
    29     9  1984      372.000000
    30     9  1984      364.000000
     1    10  1984      365.000000
     2    10  1984      374.000000
     3    10  1984      385.000000
     4    10  1984      399.000000
     5    10  1984      417.000000
     6    10  1984      442.000000
     7    10  1984      464.000000
     8    10  1984      489.000000
     9    10  1984      511.000000
    10    10  1984      520.000000
    11    10  1984      525.000000
    12    10  1984      529.000000
    13    10  1984      533.000000
    14    10  1984      536.000000
    15    10  1984      538.000000
    16    10  1984      537.000000
    17    10  1984      536.000000
    18    10  1984      539.000000
    19    10  1984      544.000000
    20    10  1984      551.000000
    21    10  1984      558.000000
    22    10  1984      568.000000
    23    10  1984      582.000000
    24    10  1984      601.000000
    25    10  1984      626.000000
    26    10  1984      652.000000
    27    10  1984      674.000000
    28    10  1984      696.000000
    29    10  1984      714.000000
    30    10  1984      731.000000
    31    10  1984      742.000000
     1    11  1984      747.000000
     2    11  1984      747.000000
     3    11  1984      742.000000
     4    11  1984      732.000000
     5    11  1984      720.000000
     6    11  1984      702.000000
     7    11  1984      682.000000
     8    11  1984      660.000000
     9    11  1984      634.000000
    10    11  1984      608.000000
    11    11  1984      579.000000
    12    11  1984      554.000000
    13    11  1984      524.000000
    14    11  1984      496.000000
    15    11  1984      484.000000
    16    11  1984      478.000000
    17    11  1984      478.000000
    18    11  1984      476.000000
    19    11  1984      473.000000
    20    11  1984      469.000000
    21    11  1984      466.000000
    22    11  1984      467.000000
    23    11  1984      475.000000
