XAPURI	-68.507	-10.650
     8     7  1984      326.000000
     9     7  1984      326.000000
    10     7  1984      326.000000
    11     7  1984      324.000000
    12     7  1984      324.000000
    13     7  1984      324.000000
    14     7  1984      323.000000
    15     7  1984      322.000000
    16     7  1984      322.000000
    17     7  1984      322.000000
    18     7  1984      320.000000
    19     7  1984      318.000000
    20     7  1984      316.000000
    21     7  1984      315.000000
    22     7  1984      314.000000
    23     7  1984      314.000000
    24     7  1984      312.000000
    25     7  1984      312.000000
    26     7  1984      310.000000
    27     7  1984      310.000000
    28     7  1984      308.000000
    29     7  1984      308.000000
    30     7  1984      308.000000
    31     7  1984      307.000000
     1     8  1984      305.000000
     2     8  1984      304.000000
     3     8  1984      304.000000
     4     8  1984      302.000000
     5     8  1984      302.000000
     6     8  1984      302.000000
     7     8  1984      302.000000
     8     8  1984      302.000000
     9     8  1984      302.000000
    10     8  1984      302.000000
    11     8  1984      300.000000
    12     8  1984      300.000000
    13     8  1984      300.000000
    14     8  1984      299.000000
    15     8  1984      298.000000
    16     8  1984      298.000000
    17     8  1984      298.000000
    18     8  1984      298.000000
    19     8  1984      296.000000
    20     8  1984      296.000000
    21     8  1984      296.000000
    22     8  1984      294.000000
    23     8  1984      294.000000
    24     8  1984      294.000000
    25     8  1984      292.000000
    26     8  1984      292.000000
    27     8  1984      292.000000
    28     8  1984      292.000000
    29     8  1984      290.000000
    30     8  1984      290.000000
    31     8  1984      290.000000
     1     9  1984      290.000000
     2     9  1984      290.000000
     3     9  1984      288.000000
     4     9  1984      288.000000
     5     9  1984      287.000000
     6     9  1984      286.000000
     7     9  1984      292.000000
     8     9  1984      314.000000
     9     9  1984      338.000000
    10     9  1984      355.000000
    11     9  1984      366.000000
    12     9  1984      343.000000
    13     9  1984      320.000000
    14     9  1984      305.000000
    15     9  1984      300.000000
    16     9  1984      295.000000
    17     9  1984      292.000000
    18     9  1984      294.000000
    19     9  1984      295.000000
    20     9  1984      293.000000
    21     9  1984      292.000000
    22     9  1984      302.000000
    23     9  1984      340.000000
    24     9  1984      364.000000
    25     9  1984      339.000000
    26     9  1984      317.000000
    27     9  1984      306.000000
    28     9  1984      305.000000
    29     9  1984      301.000000
    30     9  1984      298.000000
     1    10  1984      293.000000
     2    10  1984      290.000000
     3    10  1984      291.000000
     4    10  1984      292.000000
     5    10  1984      291.000000
     6    10  1984      290.000000
     7    10  1984      294.000000
     8    10  1984      302.000000
     9    10  1984      327.000000
    10    10  1984      338.000000
    11    10  1984      308.000000
    12    10  1984      294.000000
    13    10  1984      293.000000
    14    10  1984      296.000000
    15    10  1984      319.000000
    16    10  1984      373.000000
    17    10  1984      419.000000
    18    10  1984      438.000000
    19    10  1984      435.000000
    20    10  1984      423.000000
    21    10  1984      457.000000
    22    10  1984      547.000000
    23    10  1984      543.000000
    24    10  1984      467.000000
    25    10  1984      417.000000
    26    10  1984      414.000000
    27    10  1984      468.000000
    28    10  1984      496.000000
    29    10  1984      468.000000
    30    10  1984      411.000000
    31    10  1984      402.000000
     1    11  1984      520.000000
     2    11  1984      713.000000
     3    11  1984      759.000000
     4    11  1984      611.000000
     5    11  1984      489.000000
     6    11  1984      473.000000
     7    11  1984      576.000000
     8    11  1984      630.000000
     9    11  1984      571.000000
    10    11  1984      528.000000
    11    11  1984      440.000000
    12    11  1984      530.000000
    13    11  1984      685.000000
    14    11  1984      676.000000
    15    11  1984      667.000000
    16    11  1984      664.000000
    17    11  1984      598.000000
    18    11  1984      536.000000
    19    11  1984      485.000000
    20    11  1984      627.000000
    21    11  1984      766.000000
    22    11  1984      563.000000
    23    11  1984      547.000000
    24    11  1984      581.000000
    25    11  1984      633.000000
    26    11  1984      675.000000
    27    11  1984      609.000000
    28    11  1984      542.000000
    29    11  1984      486.000000
    30    11  1984      456.000000
     1    12  1984      588.000000
     2    12  1984      703.000000
     3    12  1984      524.000000
     4    12  1984      473.000000
     5    12  1984      518.000000
     6    12  1984      661.000000
     7    12  1984      689.000000
     8    12  1984      582.000000
     9    12  1984      593.000000
    10    12  1984      813.000000
    11    12  1984     1212.000000
