BARCELOS	-62.931	-0.966
    10     6  1984      712.000000
    11     6  1984      720.000000
    12     6  1984      729.000000
    13     6  1984      736.000000
    14     6  1984      741.000000
    15     6  1984      746.000000
    16     6  1984      751.000000
    17     6  1984      757.000000
    18     6  1984      763.000000
    19     6  1984      768.000000
    20     6  1984      772.000000
    21     6  1984      776.000000
    22     6  1984      779.000000
    23     6  1984      783.000000
    24     6  1984      787.000000
    25     6  1984      790.000000
    26     6  1984      793.000000
    27     6  1984      795.000000
    28     6  1984      799.000000
    29     6  1984      802.000000
    30     6  1984      803.000000
     1     7  1984      805.000000
     2     7  1984      806.000000
     3     7  1984      807.000000
     4     7  1984      807.000000
     5     7  1984      807.000000
     6     7  1984      807.000000
     7     7  1984      808.000000
     8     7  1984      808.000000
     9     7  1984      807.000000
    10     7  1984      807.000000
    11     7  1984      805.000000
    12     7  1984      803.000000
    13     7  1984      802.000000
    14     7  1984      802.000000
    15     7  1984      800.000000
    16     7  1984      799.000000
    17     7  1984      799.000000
    18     7  1984      797.000000
    19     7  1984      795.000000
    20     7  1984      793.000000
    21     7  1984      791.000000
    22     7  1984      789.000000
    23     7  1984      788.000000
    24     7  1984      788.000000
    25     7  1984      786.000000
    26     7  1984      785.000000
    27     7  1984      784.000000
    28     7  1984      784.000000
    29     7  1984      783.000000
    30     7  1984      782.000000
    31     7  1984      780.000000
     1     8  1984      779.000000
     2     8  1984      777.000000
     3     8  1984      776.000000
     4     8  1984      775.000000
     5     8  1984      775.000000
     6     8  1984      775.000000
     7     8  1984      774.000000
     8     8  1984      773.000000
     9     8  1984      771.000000
    10     8  1984      769.000000
    11     8  1984      766.000000
    12     8  1984      762.000000
    13     8  1984      760.000000
    14     8  1984      758.000000
    15     8  1984      756.000000
    16     8  1984      753.000000
    17     8  1984      750.000000
    18     8  1984      748.000000
    19     8  1984      745.000000
    20     8  1984      741.000000
    21     8  1984      737.000000
    22     8  1984      731.000000
    23     8  1984      726.000000
    24     8  1984      720.000000
    25     8  1984      714.000000
    26     8  1984      707.000000
    27     8  1984      701.000000
    28     8  1984      696.000000
    29     8  1984      687.000000
    30     8  1984      681.000000
    31     8  1984      679.000000
     1     9  1984      675.000000
     2     9  1984      671.000000
     3     9  1984      669.000000
     4     9  1984      666.000000
     5     9  1984      662.000000
     6     9  1984      657.000000
     7     9  1984      650.000000
     8     9  1984      643.000000
     9     9  1984      637.000000
    10     9  1984      631.000000
    11     9  1984      624.000000
    12     9  1984      618.000000
    13     9  1984      609.000000
    14     9  1984      599.000000
    15     9  1984      593.000000
    16     9  1984      589.000000
    17     9  1984      588.000000
    18     9  1984      586.000000
    19     9  1984      582.000000
    20     9  1984      578.000000
    21     9  1984      573.000000
    22     9  1984      566.000000
    23     9  1984      560.000000
    24     9  1984      555.000000
    25     9  1984      552.000000
    26     9  1984      549.000000
    27     9  1984      546.000000
    28     9  1984      545.000000
    29     9  1984      540.000000
    30     9  1984      538.000000
     1    10  1984      536.000000
     2    10  1984      534.000000
     3    10  1984      533.000000
