IPIXUNA	-71.684	-7.051
    22     3  1985     1263.000000
    23     3  1985     1260.000000
    24     3  1985     1268.000000
    25     3  1985     1273.000000
    26     3  1985     1282.000000
    27     3  1985     1288.000000
    28     3  1985     1294.000000
    29     3  1985     1304.000000
    30     3  1985     1309.000000
    31     3  1985     1311.000000
     1     4  1985     1312.000000
     2     4  1985     1311.000000
     3     4  1985     1306.000000
     4     4  1985     1286.000000
     5     4  1985     1268.000000
     6     4  1985     1256.000000
     7     4  1985     1248.000000
     8     4  1985     1246.000000
     9     4  1985     1246.000000
    10     4  1985     1251.000000
    11     4  1985     1246.000000
    12     4  1985     1243.000000
    13     4  1985     1246.000000
    14     4  1985     1245.000000
    15     4  1985     1241.000000
    16     4  1985     1240.000000
    17     4  1985     1238.000000
    18     4  1985     1235.000000
    19     4  1985     1232.000000
    20     4  1985     1230.000000
    21     4  1985     1233.000000
    22     4  1985     1236.000000
    23     4  1985     1238.000000
    24     4  1985     1242.000000
    25     4  1985     1243.000000
    26     4  1985     1243.000000
    27     4  1985     1252.000000
    28     4  1985     1269.000000
    29     4  1985     1272.000000
    30     4  1985     1276.000000
     1     5  1985     1276.000000
     2     5  1985     1278.000000
     3     5  1985     1278.000000
     4     5  1985     1277.000000
     5     5  1985     1276.000000
     6     5  1985     1273.000000
     7     5  1985     1267.000000
     8     5  1985     1260.000000
     9     5  1985     1252.000000
    10     5  1985     1241.000000
    11     5  1985     1225.000000
    12     5  1985     1189.000000
    13     5  1985     1148.000000
    14     5  1985     1100.000000
    15     5  1985     1056.000000
    16     5  1985     1044.000000
    17     5  1985     1062.000000
    18     5  1985     1074.000000
    19     5  1985     1070.000000
    20     5  1985     1062.000000
    21     5  1985     1057.000000
    22     5  1985     1052.000000
    23     5  1985     1040.000000
    24     5  1985     1033.000000
    25     5  1985     1022.000000
    26     5  1985     1014.000000
    27     5  1985     1001.000000
    28     5  1985      994.000000
    29     5  1985      984.000000
    30     5  1985      977.000000
    31     5  1985      970.000000
     1     6  1985      962.000000
     2     6  1985      952.000000
     3     6  1985      939.000000
     4     6  1985      921.000000
     5     6  1985      900.000000
     6     6  1985      888.000000
     7     6  1985      877.000000
     8     6  1985      848.000000
     9     6  1985      832.000000
    10     6  1985      808.000000
    11     6  1985      794.000000
    12     6  1985      782.000000
    13     6  1985      768.000000
    14     6  1985      742.000000
    15     6  1985      728.000000
    16     6  1985      717.000000
    17     6  1985      703.000000
    18     6  1985      686.000000
    19     6  1985      684.000000
    20     6  1985      684.000000
    21     6  1985      675.000000
    22     6  1985      666.000000
    23     6  1985      662.000000
    24     6  1985      657.000000
    25     6  1985      654.000000
    26     6  1985      650.000000
    27     6  1985      644.000000
    28     6  1985      640.000000
    29     6  1985      631.000000
    30     6  1985      626.000000
     1     7  1985      620.000000
     2     7  1985      614.000000
     3     7  1985      598.000000
     4     7  1985      581.000000
     5     7  1985      573.000000
     6     7  1985      577.000000
     7     7  1985      580.000000
     8     7  1985      571.000000
     9     7  1985      554.000000
    10     7  1985      546.000000
    11     7  1985      537.000000
    12     7  1985      533.000000
    13     7  1985      527.000000
    14     7  1985      531.000000
    15     7  1985      532.000000
    16     7  1985      531.000000
    17     7  1985      518.000000
    18     7  1985      493.000000
    19     7  1985      480.000000
    20     7  1985      464.000000
    21     7  1985      450.000000
    22     7  1985      429.000000
    23     7  1985      412.000000
    24     7  1985      396.000000
    25     7  1985      384.000000
    26     7  1985      379.000000
    27     7  1985      378.000000
    28     7  1985      377.000000
    29     7  1985      374.000000
    30     7  1985      372.000000
    31     7  1985      372.000000
     1     8  1985      371.000000
     2     8  1985      368.000000
     3     8  1985      361.000000
     4     8  1985      362.000000
     5     8  1985      372.000000
     6     8  1985      382.000000
     7     8  1985      394.000000
     8     8  1985      402.000000
     9     8  1985      408.000000
    10     8  1985      411.000000
    11     8  1985      408.000000
    12     8  1985      408.000000
    13     8  1985      410.000000
    14     8  1985      414.000000
    15     8  1985      415.000000
    16     8  1985      416.000000
    17     8  1985      413.000000
    18     8  1985      402.000000
    19     8  1985      381.000000
    20     8  1985      366.000000
    21     8  1985      360.000000
    22     8  1985      360.000000
    23     8  1985      360.000000
    24     8  1985      359.000000
    25     8  1985      358.000000
    26     8  1985      360.000000
    27     8  1985      364.000000
    28     8  1985      364.000000
    29     8  1985      354.000000
    30     8  1985      338.000000
    31     8  1985      354.000000
     1     9  1985      374.000000
     2     9  1985      375.000000
     3     9  1985      365.000000
     4     9  1985      353.000000
     5     9  1985      354.000000
     6     9  1985      360.000000
     7     9  1985      369.000000
     8     9  1985      373.000000
     9     9  1985      375.000000
    10     9  1985      382.000000
    11     9  1985      385.000000
    12     9  1985      393.000000
    13     9  1985      397.000000
    14     9  1985      399.000000
    15     9  1985      406.000000
    16     9  1985      410.000000
    17     9  1985      410.000000
    18     9  1985      414.000000
    19     9  1985      416.000000
    20     9  1985      420.000000
    21     9  1985      422.000000
    22     9  1985      421.000000
    23     9  1985      418.000000
    24     9  1985      425.000000
    25     9  1985      430.000000
    26     9  1985      442.000000
    27     9  1985      465.000000
    28     9  1985      487.000000
    29     9  1985      497.000000
    30     9  1985      508.000000
     1    10  1985      516.000000
     2    10  1985      524.000000
     3    10  1985      540.000000
     4    10  1985      564.000000
     5    10  1985      578.000000
     6    10  1985      592.000000
     7    10  1985      612.000000
     8    10  1985      622.000000
     9    10  1985      629.000000
    10    10  1985      643.000000
    11    10  1985      650.000000
    12    10  1985      661.000000
    13    10  1985      672.000000
    14    10  1985      682.000000
    15    10  1985      683.000000
    16    10  1985      678.000000
    17    10  1985      678.000000
    18    10  1985      690.000000
    19    10  1985      707.000000
    20    10  1985      713.000000
    21    10  1985      720.000000
    22    10  1985      722.000000
    23    10  1985      723.000000
    24    10  1985      720.000000
    25    10  1985      713.000000
    26    10  1985      710.000000
    27    10  1985      716.000000
    28    10  1985      726.000000
    29    10  1985      734.000000
    30    10  1985      738.000000
    31    10  1985      738.000000
     1    11  1985      736.000000
     2    11  1985      734.000000
