LÁBREA	-64.800	-7.252
    14    12  1984     1435.000000
    15    12  1984     1445.000000
    16    12  1984     1456.000000
    17    12  1984     1470.000000
    18    12  1984     1481.000000
    19    12  1984     1496.000000
    20    12  1984     1512.000000
    21    12  1984     1526.000000
    22    12  1984     1541.000000
    23    12  1984     1554.000000
    24    12  1984     1564.000000
    25    12  1984     1572.000000
    26    12  1984     1577.000000
    27    12  1984     1584.000000
    28    12  1984     1590.000000
    29    12  1984     1596.000000
    30    12  1984     1601.000000
    31    12  1984     1602.000000
     1     1  1985     1602.000000
     2     1  1985     1602.000000
     3     1  1985     1600.000000
     4     1  1985     1599.000000
     5     1  1985     1599.000000
     6     1  1985     1606.000000
     7     1  1985     1610.000000
     8     1  1985     1614.000000
     9     1  1985     1621.000000
    10     1  1985     1634.000000
    11     1  1985     1644.000000
    12     1  1985     1652.000000
    13     1  1985     1662.000000
    14     1  1985     1678.000000
    15     1  1985     1692.000000
    16     1  1985     1706.000000
    17     1  1985     1724.000000
    18     1  1985     1740.000000
    19     1  1985     1756.000000
    20     1  1985     1770.000000
    21     1  1985     1786.000000
    22     1  1985     1803.000000
    23     1  1985     1826.000000
    24     1  1985     1843.000000
    25     1  1985     1852.000000
    26     1  1985     1862.000000
    27     1  1985     1871.000000
    28     1  1985     1879.000000
    29     1  1985     1886.000000
    30     1  1985     1892.000000
    31     1  1985     1896.000000
     1     2  1985     1900.000000
     2     2  1985     1904.000000
     3     2  1985     1908.000000
     4     2  1985     1909.000000
     5     2  1985     1912.000000
     6     2  1985     1914.000000
     7     2  1985     1920.000000
     8     2  1985     1922.000000
     9     2  1985     1924.000000
    10     2  1985     1926.000000
    11     2  1985     1928.000000
    12     2  1985     1928.000000
    13     2  1985     1928.000000
    14     2  1985     1928.000000
    15     2  1985     1928.000000
    16     2  1985     1927.000000
    17     2  1985     1925.000000
    18     2  1985     1924.000000
    19     2  1985     1922.000000
    20     2  1985     1919.000000
    21     2  1985     1918.000000
    22     2  1985     1918.000000
    23     2  1985     1918.000000
    24     2  1985     1915.000000
    25     2  1985     1913.000000
    26     2  1985     1912.000000
    27     2  1985     1910.000000
    28     2  1985     1908.000000
     1     3  1985     1908.000000
     2     3  1985     1908.000000
     3     3  1985     1912.000000
     4     3  1985     1918.000000
     5     3  1985     1922.000000
     6     3  1985     1924.000000
     7     3  1985     1926.000000
     8     3  1985     1930.000000
     9     3  1985     1934.000000
    10     3  1985     1939.000000
    11     3  1985     1942.000000
    12     3  1985     1948.000000
    13     3  1985     1952.000000
    14     3  1985     1956.000000
    15     3  1985     1962.000000
    16     3  1985     1965.000000
    17     3  1985     1973.000000
    18     3  1985     1977.000000
    19     3  1985     1984.000000
    20     3  1985     1991.000000
    21     3  1985     1995.000000
    22     3  1985     1996.000000
    23     3  1985     1997.000000
    24     3  1985     1997.000000
    25     3  1985     1998.000000
    26     3  1985     2000.000000
    27     3  1985     2002.000000
    28     3  1985     2005.000000
    29     3  1985     2008.000000
    30     3  1985     2009.000000
    31     3  1985     2010.000000
     1     4  1985     2010.000000
     2     4  1985     2012.000000
     3     4  1985     2012.000000
     4     4  1985     2012.000000
     5     4  1985     2012.000000
     6     4  1985     2012.000000
     7     4  1985     2013.000000
     8     4  1985     2012.000000
     9     4  1985     2012.000000
