CAREIRO	-59.833	-3.196
    14     2  1984     1120.000000
    15     2  1984     1126.000000
    16     2  1984     1131.000000
    17     2  1984     1136.000000
    18     2  1984     1142.000000
    19     2  1984     1146.000000
    20     2  1984     1152.000000
    21     2  1984     1159.000000
    22     2  1984     1166.000000
    23     2  1984     1172.000000
    24     2  1984     1178.000000
    25     2  1984     1184.000000
    26     2  1984     1190.000000
    27     2  1984     1197.000000
    28     2  1984     1201.000000
    29     2  1984     1204.000000
     1     3  1984     1209.000000
     2     3  1984     1215.000000
     3     3  1984     1222.000000
     4     3  1984     1229.000000
     5     3  1984     1236.000000
     6     3  1984     1242.000000
     7     3  1984     1249.000000
     8     3  1984     1256.000000
     9     3  1984     1261.000000
    10     3  1984     1265.000000
    11     3  1984     1270.000000
    12     3  1984     1276.000000
    13     3  1984     1280.000000
    14     3  1984     1286.000000
    15     3  1984     1290.000000
    16     3  1984     1292.000000
    17     3  1984     1296.000000
    18     3  1984     1299.000000
    19     3  1984     1306.000000
    20     3  1984     1313.000000
    21     3  1984     1317.000000
    22     3  1984     1323.000000
    23     3  1984     1326.000000
    24     3  1984     1330.000000
    25     3  1984     1332.000000
    26     3  1984     1334.000000
    27     3  1984     1337.000000
    28     3  1984     1339.000000
    29     3  1984     1342.000000
    30     3  1984     1344.000000
    31     3  1984     1346.000000
     1     4  1984     1348.000000
     2     4  1984     1352.000000
     3     4  1984     1354.000000
     4     4  1984     1355.000000
     5     4  1984     1356.000000
     6     4  1984     1358.000000
     7     4  1984     1358.000000
     8     4  1984     1360.000000
     9     4  1984     1360.000000
    10     4  1984     1362.000000
    11     4  1984     1364.000000
    12     4  1984     1366.000000
    13     4  1984     1368.000000
    14     4  1984     1370.000000
    15     4  1984     1372.000000
    16     4  1984     1372.000000
    17     4  1984     1374.000000
    18     4  1984     1377.000000
    19     4  1984     1380.000000
    20     4  1984     1384.000000
    21     4  1984     1387.000000
    22     4  1984     1390.000000
    23     4  1984     1393.000000
    24     4  1984     1397.000000
    25     4  1984     1402.000000
    26     4  1984     1408.000000
    27     4  1984     1414.000000
    28     4  1984     1419.000000
    29     4  1984     1424.000000
    30     4  1984     1428.000000
     1     5  1984     1432.000000
     2     5  1984     1440.000000
     3     5  1984     1442.000000
     4     5  1984     1445.000000
     5     5  1984     1448.000000
     6     5  1984     1451.000000
     7     5  1984     1456.000000
     8     5  1984     1460.000000
     9     5  1984     1465.000000
    10     5  1984     1469.000000
    11     5  1984     1473.000000
    12     5  1984     1478.000000
    13     5  1984     1481.000000
    14     5  1984     1484.000000
    15     5  1984     1489.000000
    16     5  1984     1492.000000
    17     5  1984     1496.000000
    18     5  1984     1499.000000
    19     5  1984     1501.000000
    20     5  1984     1504.000000
    21     5  1984     1509.000000
    22     5  1984     1512.000000
    23     5  1984     1516.000000
    24     5  1984     1520.000000
    25     5  1984     1522.000000
    26     5  1984     1524.000000
    27     5  1984     1526.000000
    28     5  1984     1528.000000
    29     5  1984     1530.000000
    30     5  1984     1532.000000
    31     5  1984     1533.000000
     1     6  1984     1534.000000
     2     6  1984     1535.000000
     3     6  1984     1538.000000
     4     6  1984     1540.000000
     5     6  1984     1542.000000
     6     6  1984     1544.000000
     7     6  1984     1546.000000
     8     6  1984     1548.000000
     9     6  1984     1550.000000
    10     6  1984     1550.000000
    11     6  1984     1552.000000
    12     6  1984     1554.000000
    13     6  1984     1556.000000
    14     6  1984     1557.000000
    15     6  1984     1558.000000
    16     6  1984     1558.000000
    17     6  1984     1559.000000
    18     6  1984     1560.000000
    19     6  1984     1560.000000
    20     6  1984     1561.000000
    21     6  1984     1560.000000
    22     6  1984     1560.000000
    23     6  1984     1560.000000
    24     6  1984     1560.000000
    25     6  1984     1559.000000
    26     6  1984     1558.000000
    27     6  1984     1557.000000
    28     6  1984     1557.000000
    29     6  1984     1556.000000
    30     6  1984     1554.000000
     1     7  1984     1553.000000
     2     7  1984     1552.000000
     3     7  1984     1551.000000
     4     7  1984     1550.000000
     5     7  1984     1549.000000
     6     7  1984     1548.000000
     7     7  1984     1546.000000
     8     7  1984     1544.000000
     9     7  1984     1542.000000
    10     7  1984     1540.000000
    11     7  1984     1538.000000
    12     7  1984     1536.000000
    13     7  1984     1534.000000
    14     7  1984     1532.000000
    15     7  1984     1530.000000
    16     7  1984     1527.000000
    17     7  1984     1524.000000
    18     7  1984     1522.000000
    19     7  1984     1520.000000
    20     7  1984     1518.000000
    21     7  1984     1516.000000
    22     7  1984     1512.000000
    23     7  1984     1509.000000
    24     7  1984     1505.000000
    25     7  1984     1502.000000
    26     7  1984     1499.000000
    27     7  1984     1495.000000
    28     7  1984     1492.000000
    29     7  1984     1488.000000
    30     7  1984     1482.000000
    31     7  1984     1479.000000
     1     8  1984     1475.000000
     2     8  1984     1470.000000
     3     8  1984     1465.000000
     4     8  1984     1461.000000
     5     8  1984     1457.000000
     6     8  1984     1453.000000
     7     8  1984     1449.000000
     8     8  1984     1444.000000
     9     8  1984     1438.000000
    10     8  1984     1431.000000
    11     8  1984     1427.000000
    12     8  1984     1422.000000
    13     8  1984     1417.000000
    14     8  1984     1412.000000
    15     8  1984     1404.000000
    16     8  1984     1398.000000
    17     8  1984     1392.000000
    18     8  1984     1386.000000
    19     8  1984     1378.000000
    20     8  1984     1370.000000
    21     8  1984     1360.000000
    22     8  1984     1352.000000
    23     8  1984     1342.000000
    24     8  1984     1334.000000
    25     8  1984     1323.000000
    26     8  1984     1314.000000
    27     8  1984     1304.000000
    28     8  1984     1293.000000
    29     8  1984     1284.000000
    30     8  1984     1275.000000
    31     8  1984     1264.000000
     1     9  1984     1256.000000
     2     9  1984     1248.000000
     3     9  1984     1240.000000
     4     9  1984     1232.000000
     5     9  1984     1222.000000
     6     9  1984     1212.000000
     7     9  1984     1201.000000
     8     9  1984     1192.000000
     9     9  1984     1182.000000
    10     9  1984     1174.000000
    11     9  1984     1162.000000
    12     9  1984     1154.000000
    13     9  1984     1146.000000
    14     9  1984     1138.000000
    15     9  1984     1128.000000
    16     9  1984     1116.000000
    17     9  1984     1108.000000
    18     9  1984     1098.000000
    19     9  1984     1090.000000
    20     9  1984     1080.000000
    21     9  1984     1067.000000
    22     9  1984     1052.000000
    23     9  1984     1042.000000
    24     9  1984     1032.000000
    25     9  1984     1020.000000
    26     9  1984     1008.000000
    27     9  1984     1000.000000
    28     9  1984      988.000000
    29     9  1984      979.000000
    30     9  1984      970.000000
     1    10  1984      960.000000
     2    10  1984      949.000000
     3    10  1984      940.000000
     4    10  1984      927.000000
     5    10  1984      916.000000
     6    10  1984      903.000000
     7    10  1984      890.000000
     8    10  1984      878.000000
     9    10  1984      866.000000
    10    10  1984      854.000000
    11    10  1984      841.000000
    12    10  1984      832.000000
    13    10  1984      820.000000
    14    10  1984      811.000000
    15    10  1984      800.000000
    16    10  1984      790.000000
    17    10  1984      782.000000
    18    10  1984      776.000000
    19    10  1984      769.000000
    20    10  1984      761.000000
    21    10  1984      754.000000
    22    10  1984      748.000000
    23    10  1984      742.000000
    24    10  1984      739.000000
    25    10  1984      733.000000
    26    10  1984      730.000000
    27    10  1984      728.000000
    28    10  1984      727.000000
    29    10  1984      726.000000
    30    10  1984      726.000000
    31    10  1984      724.000000
     1    11  1984      726.000000
     2    11  1984      728.000000
     3    11  1984      728.000000
     4    11  1984      729.000000
     5    11  1984      733.000000
     6    11  1984      737.000000
     7    11  1984      742.000000
     8    11  1984      746.000000
     9    11  1984      750.000000
    10    11  1984      754.000000
    11    11  1984      757.000000
    12    11  1984      762.000000
    13    11  1984      767.000000
    14    11  1984      771.000000
    15    11  1984      774.000000
    16    11  1984      776.000000
    17    11  1984      778.000000
    18    11  1984      778.000000
    19    11  1984      778.000000
    20    11  1984      778.000000
    21    11  1984      776.000000
    22    11  1984      773.000000
    23    11  1984      770.000000
    24    11  1984      768.000000
    25    11  1984      764.000000
    26    11  1984      760.000000
    27    11  1984      759.000000
    28    11  1984      756.000000
    29    11  1984      754.000000
    30    11  1984      752.000000
     1    12  1984      750.000000
     2    12  1984      748.000000
     3    12  1984      746.000000
     4    12  1984      746.000000
     5    12  1984      745.000000
     6    12  1984      746.000000
     7    12  1984      747.000000
     8    12  1984      751.000000
     9    12  1984      756.000000
    10    12  1984      761.000000
    11    12  1984      766.000000
    12    12  1984      774.000000
    13    12  1984      782.000000
    14    12  1984      790.000000
    15    12  1984      798.000000
    16    12  1984      808.000000
    17    12  1984      817.000000
    18    12  1984      826.000000
    19    12  1984      834.000000
    20    12  1984      842.000000
    21    12  1984      852.000000
    22    12  1984      860.000000
    23    12  1984      868.000000
    24    12  1984      876.000000
    25    12  1984      887.000000
    26    12  1984      894.000000
    27    12  1984      902.000000
    28    12  1984      912.000000
    29    12  1984      921.000000
    30    12  1984      930.000000
    31    12  1984      938.000000
     1     1  1985      946.000000
     2     1  1985      954.000000
     3     1  1985      962.000000
     4     1  1985      970.000000
     5     1  1985      977.000000
     6     1  1985      984.000000
     7     1  1985      990.000000
     8     1  1985      998.000000
     9     1  1985     1008.000000
    10     1  1985     1017.000000
    11     1  1985     1027.000000
    12     1  1985     1038.000000
    13     1  1985     1047.000000
    14     1  1985     1057.000000
    15     1  1985     1068.000000
    16     1  1985     1078.000000
    17     1  1985     1088.000000
    18     1  1985     1098.000000
    19     1  1985     1108.000000
    20     1  1985     1116.000000
    21     1  1985     1124.000000
    22     1  1985     1132.000000
    23     1  1985     1140.000000
    24     1  1985     1147.000000
    25     1  1985     1153.000000
    26     1  1985     1156.000000
    27     1  1985     1160.000000
    28     1  1985     1162.000000
    29     1  1985     1164.000000
    30     1  1985     1165.000000
    31     1  1985     1164.000000
     1     2  1985     1164.000000
     2     2  1985     1160.000000
     3     2  1985     1160.000000
     4     2  1985     1158.000000
     5     2  1985     1155.000000
     6     2  1985     1152.000000
     7     2  1985     1151.000000
     8     2  1985     1150.000000
     9     2  1985     1148.000000
    10     2  1985     1146.000000
    11     2  1985     1144.000000
    12     2  1985     1137.000000
    13     2  1985     1132.000000
    14     2  1985     1126.000000
    15     2  1985     1121.000000
    16     2  1985     1117.000000
    17     2  1985     1112.000000
    18     2  1985     1106.000000
    19     2  1985     1102.000000
    20     2  1985     1096.000000
    21     2  1985     1090.000000
    22     2  1985     1087.000000
    23     2  1985     1084.000000
    24     2  1985     1081.000000
    25     2  1985     1078.000000
    26     2  1985     1076.000000
    27     2  1985     1074.000000
    28     2  1985     1074.000000
     1     3  1985     1074.000000
     2     3  1985     1074.000000
     3     3  1985     1072.000000
     4     3  1985     1072.000000
     5     3  1985     1072.000000
     6     3  1985     1074.000000
     7     3  1985     1072.000000
     8     3  1985     1072.000000
     9     3  1985     1072.000000
    10     3  1985     1074.000000
    11     3  1985     1076.000000
    12     3  1985     1076.000000
    13     3  1985     1076.000000
    14     3  1985     1077.000000
    15     3  1985     1078.000000
    16     3  1985     1079.000000
    17     3  1985     1079.000000
    18     3  1985     1080.000000
    19     3  1985     1080.000000
    20     3  1985     1082.000000
    21     3  1985     1089.000000
    22     3  1985     1094.000000
    23     3  1985     1096.000000
    24     3  1985     1098.000000
    25     3  1985     1100.000000
    26     3  1985     1102.000000
    27     3  1985     1104.000000
    28     3  1985     1106.000000
    29     3  1985     1108.000000
    30     3  1985     1110.000000
    31     3  1985     1112.000000
     1     4  1985     1114.000000
     2     4  1985     1115.000000
     3     4  1985     1116.000000
     4     4  1985     1116.000000
     5     4  1985     1117.000000
     6     4  1985     1117.000000
     7     4  1985     1118.000000
     8     4  1985     1118.000000
     9     4  1985     1118.000000
    10     4  1985     1118.000000
    11     4  1985     1118.000000
    12     4  1985     1119.000000
    13     4  1985     1120.000000
    14     4  1985     1121.000000
    15     4  1985     1120.000000
    16     4  1985     1119.000000
    17     4  1985     1118.000000
    18     4  1985     1116.000000
    19     4  1985     1118.000000
    20     4  1985     1118.000000
    21     4  1985     1118.000000
    22     4  1985     1118.000000
    23     4  1985     1119.000000
    24     4  1985     1120.000000
    25     4  1985     1121.000000
    26     4  1985     1124.000000
    27     4  1985     1128.000000
    28     4  1985     1130.000000
    29     4  1985     1132.000000
    30     4  1985     1134.000000
     1     5  1985     1136.000000
     2     5  1985     1137.000000
     3     5  1985     1138.000000
     4     5  1985     1140.000000
     5     5  1985     1145.000000
     6     5  1985     1149.000000
     7     5  1985     1153.000000
     8     5  1985     1158.000000
