ESTIRÃODOREPOUSO	-70.933	-4.367
     6     6  1984     1347.000000
     7     6  1984     1325.000000
     8     6  1984     1308.000000
     9     6  1984     1294.000000
    10     6  1984     1282.000000
    11     6  1984     1273.000000
    12     6  1984     1266.000000
    13     6  1984     1255.000000
    14     6  1984     1230.000000
    15     6  1984     1201.000000
    16     6  1984     1168.000000
    17     6  1984     1148.000000
    18     6  1984     1137.000000
    19     6  1984     1132.000000
    20     6  1984     1129.000000
    21     6  1984     1126.000000
    22     6  1984     1128.000000
    23     6  1984     1130.000000
    24     6  1984     1133.000000
    25     6  1984     1136.000000
    26     6  1984     1153.000000
    27     6  1984     1165.000000
    28     6  1984     1152.000000
    29     6  1984     1140.000000
    30     6  1984     1131.000000
     1     7  1984     1121.000000
     2     7  1984     1088.000000
     3     7  1984     1056.000000
     4     7  1984     1024.000000
     5     7  1984      987.000000
     6     7  1984      955.000000
     7     7  1984      929.000000
     8     7  1984      909.000000
     9     7  1984      891.000000
    10     7  1984      878.000000
    11     7  1984      864.000000
    12     7  1984      854.000000
    13     7  1984      846.000000
    14     7  1984      837.000000
    15     7  1984      829.000000
    16     7  1984      846.000000
    17     7  1984      853.000000
    18     7  1984      848.000000
    19     7  1984      840.000000
    20     7  1984      828.000000
    21     7  1984      813.000000
    22     7  1984      814.000000
    23     7  1984      825.000000
    24     7  1984      834.000000
    25     7  1984      836.000000
    26     7  1984      825.000000
    27     7  1984      806.000000
    28     7  1984      782.000000
    29     7  1984      756.000000
    30     7  1984      738.000000
    31     7  1984      724.000000
     1     8  1984      708.000000
     2     8  1984      688.000000
     3     8  1984      668.000000
     4     8  1984      640.000000
     5     8  1984      607.000000
     6     8  1984      572.000000
     7     8  1984      547.000000
     8     8  1984      512.000000
     9     8  1984      482.000000
    10     8  1984      469.000000
    11     8  1984      468.000000
    12     8  1984      472.000000
    13     8  1984      492.000000
    14     8  1984      508.000000
    15     8  1984      514.000000
    16     8  1984      523.000000
    17     8  1984      544.000000
    18     8  1984      560.000000
    19     8  1984      566.000000
    20     8  1984      566.000000
    21     8  1984      564.000000
    22     8  1984      564.000000
    23     8  1984      566.000000
    24     8  1984      572.000000
    25     8  1984      583.000000
    26     8  1984      598.000000
    27     8  1984      634.000000
    28     8  1984      669.000000
    29     8  1984      701.000000
    30     8  1984      745.000000
    31     8  1984      791.000000
     1     9  1984      816.000000
     2     9  1984      822.000000
     3     9  1984      812.000000
     4     9  1984      770.000000
     5     9  1984      722.000000
     6     9  1984      672.000000
     7     9  1984      648.000000
     8     9  1984      618.000000
     9     9  1984      614.000000
    10     9  1984      643.000000
    11     9  1984      684.000000
    12     9  1984      739.000000
    13     9  1984      798.000000
    14     9  1984      850.000000
    15     9  1984      883.000000
    16     9  1984      922.000000
    17     9  1984      919.000000
    18     9  1984      903.000000
    19     9  1984      872.000000
    20     9  1984      826.000000
    21     9  1984      791.000000
    22     9  1984      754.000000
    23     9  1984      728.000000
    24     9  1984      703.000000
    25     9  1984      680.000000
    26     9  1984      653.000000
    27     9  1984      629.000000
    28     9  1984      612.000000
    29     9  1984      582.000000
    30     9  1984      558.000000
     1    10  1984      538.000000
     2    10  1984      528.000000
     3    10  1984      526.000000
     4    10  1984      520.000000
     5    10  1984      518.000000
     6    10  1984      516.000000
     7    10  1984      510.000000
     8    10  1984      517.000000
     9    10  1984      532.000000
    10    10  1984      536.000000
    11    10  1984      536.000000
    12    10  1984      537.000000
    13    10  1984      570.000000
    14    10  1984      596.000000
    15    10  1984      628.000000
    16    10  1984      664.000000
    17    10  1984      702.000000
    18    10  1984      752.000000
    19    10  1984      810.000000
    20    10  1984      854.000000
    21    10  1984      887.000000
    22    10  1984      931.000000
    23    10  1984      964.000000
    24    10  1984      996.000000
    25    10  1984     1022.000000
    26    10  1984     1032.000000
    27    10  1984     1037.000000
    28    10  1984     1036.000000
    29    10  1984     1022.000000
    30    10  1984     1006.000000
    31    10  1984      978.000000
     1    11  1984      958.000000
     2    11  1984      942.000000
     3    11  1984      908.000000
     4    11  1984      868.000000
     5    11  1984      828.000000
     6    11  1984      785.000000
     7    11  1984      752.000000
     8    11  1984      732.000000
     9    11  1984      685.000000
    10    11  1984      656.000000
    11    11  1984      648.000000
    12    11  1984      646.000000
    13    11  1984      642.000000
    14    11  1984      642.000000
    15    11  1984      670.000000
    16    11  1984      710.000000
    17    11  1984      757.000000
    18    11  1984      804.000000
    19    11  1984      838.000000
    20    11  1984      862.000000
    21    11  1984      880.000000
    22    11  1984      898.000000
    23    11  1984      906.000000
    24    11  1984      912.000000
    25    11  1984      922.000000
    26    11  1984      924.000000
    27    11  1984      926.000000
    28    11  1984      932.000000
    29    11  1984      936.000000
    30    11  1984      952.000000
     1    12  1984      996.000000
     2    12  1984     1060.000000
     3    12  1984     1149.000000
     4    12  1984     1179.000000
     5    12  1984     1208.000000
     6    12  1984     1244.000000
     7    12  1984     1256.000000
     8    12  1984     1267.000000
     9    12  1984     1288.000000
    10    12  1984     1298.000000
    11    12  1984     1304.000000
    12    12  1984     1320.000000
    13    12  1984     1329.000000
    14    12  1984     1345.000000
    15    12  1984     1354.000000
    16    12  1984     1361.000000
    17    12  1984     1367.000000
    18    12  1984     1378.000000
    19    12  1984     1390.000000
    20    12  1984     1401.000000
    21    12  1984     1405.000000
    22    12  1984     1408.000000
    23    12  1984     1410.000000
    24    12  1984     1408.000000
    25    12  1984     1405.000000
    26    12  1984     1402.000000
    27    12  1984     1398.000000
    28    12  1984     1388.000000
    29    12  1984     1382.000000
    30    12  1984     1378.000000
    31    12  1984     1372.000000
     1     1  1985     1368.000000
     2     1  1985     1366.000000
     3     1  1985     1367.000000
     4     1  1985     1375.000000
     5     1  1985     1381.000000
     6     1  1985     1385.000000
     7     1  1985     1388.000000
     8     1  1985     1387.000000
     9     1  1985     1386.000000
    10     1  1985     1384.000000
    11     1  1985     1382.000000
    12     1  1985     1378.000000
    13     1  1985     1371.000000
    14     1  1985     1365.000000
    15     1  1985     1355.000000
    16     1  1985     1336.000000
    17     1  1985     1298.000000
    18     1  1985     1238.000000
    19     1  1985     1172.000000
    20     1  1985     1090.000000
    21     1  1985     1030.000000
    22     1  1985      982.000000
    23     1  1985      936.000000
    24     1  1985      897.000000
    25     1  1985      860.000000
    26     1  1985      816.000000
    27     1  1985      771.000000
    28     1  1985      720.000000
    29     1  1985      672.000000
    30     1  1985      626.000000
    31     1  1985      570.000000
     1     2  1985      512.000000
     2     2  1985      484.000000
     3     2  1985      444.000000
     4     2  1985      412.000000
     5     2  1985      395.000000
     6     2  1985      402.000000
     7     2  1985      410.000000
     8     2  1985      414.000000
     9     2  1985      438.000000
    10     2  1985      472.000000
    11     2  1985      508.000000
    12     2  1985      570.000000
    13     2  1985      700.000000
    14     2  1985      749.000000
    15     2  1985      782.000000
    16     2  1985      822.000000
    17     2  1985      874.000000
    18     2  1985      930.000000
    19     2  1985      947.000000
    20     2  1985      974.000000
    21     2  1985      994.000000
    22     2  1985     1020.000000
    23     2  1985     1042.000000
    24     2  1985     1054.000000
    25     2  1985     1062.000000
    26     2  1985     1074.000000
    27     2  1985     1080.000000
    28     2  1985     1084.000000
     1     3  1985     1090.000000
     2     3  1985     1101.000000
     3     3  1985     1119.000000
     4     3  1985     1123.000000
     5     3  1985     1128.000000
     6     3  1985     1134.000000
     7     3  1985     1136.000000
     8     3  1985     1164.000000
     9     3  1985     1181.000000
    10     3  1985     1188.000000
    11     3  1985     1194.000000
    12     3  1985     1199.000000
    13     3  1985     1206.000000
    14     3  1985     1212.000000
    15     3  1985     1215.000000
    16     3  1985     1216.000000
    17     3  1985     1214.000000
    18     3  1985     1214.000000
    19     3  1985     1216.000000
    20     3  1985     1218.000000
    21     3  1985     1228.000000
    22     3  1985     1241.000000
    23     3  1985     1248.000000
    24     3  1985     1256.000000
    25     3  1985     1258.000000
    26     3  1985     1262.000000
    27     3  1985     1268.000000
    28     3  1985     1278.000000
    29     3  1985     1288.000000
    30     3  1985     1292.000000
    31     3  1985     1294.000000
     1     4  1985     1299.000000
     2     4  1985     1304.000000
     3     4  1985     1308.000000
     4     4  1985     1306.000000
     5     4  1985     1308.000000
     6     4  1985     1312.000000
     7     4  1985     1319.000000
     8     4  1985     1323.000000
     9     4  1985     1328.000000
    10     4  1985     1332.000000
    11     4  1985     1330.000000
    12     4  1985     1332.000000
    13     4  1985     1336.000000
    14     4  1985     1344.000000
    15     4  1985     1352.000000
    16     4  1985     1356.000000
    17     4  1985     1358.000000
    18     4  1985     1360.000000
    19     4  1985     1360.000000
    20     4  1985     1364.000000
    21     4  1985     1376.000000
    22     4  1985     1382.000000
    23     4  1985     1385.000000
    24     4  1985     1389.000000
    25     4  1985     1388.000000
    26     4  1985     1386.000000
    27     4  1985     1380.000000
    28     4  1985     1369.000000
    29     4  1985     1358.000000
    30     4  1985     1347.000000
     1     5  1985     1338.000000
     2     5  1985     1334.000000
     3     5  1985     1331.000000
     4     5  1985     1327.000000
     5     5  1985     1323.000000
     6     5  1985     1318.000000
     7     5  1985     1312.000000
     8     5  1985     1309.000000
     9     5  1985     1296.000000
    10     5  1985     1284.000000
    11     5  1985     1268.000000
    12     5  1985     1236.000000
    13     5  1985     1196.000000
    14     5  1985     1168.000000
    15     5  1985     1149.000000
    16     5  1985     1128.000000
    17     5  1985     1116.000000
    18     5  1985     1120.000000
    19     5  1985     1128.000000
    20     5  1985     1133.000000
    21     5  1985     1139.000000
    22     5  1985     1135.000000
    23     5  1985     1124.000000
    24     5  1985     1118.000000
    25     5  1985     1117.000000
    26     5  1985     1121.000000
    27     5  1985     1128.000000
    28     5  1985     1136.000000
    29     5  1985     1140.000000
    30     5  1985     1142.000000
    31     5  1985     1146.000000
     1     6  1985     1149.000000
     2     6  1985     1153.000000
     3     6  1985     1156.000000
     4     6  1985     1164.000000
     5     6  1985     1174.000000
     6     6  1985     1182.000000
     7     6  1985     1181.000000
     8     6  1985     1172.000000
     9     6  1985     1158.000000
    10     6  1985     1134.000000
    11     6  1985     1107.000000
    12     6  1985     1080.000000
    13     6  1985     1044.000000
    14     6  1985      990.000000
    15     6  1985      945.000000
    16     6  1985      928.000000
    17     6  1985      902.000000
    18     6  1985      869.000000
    19     6  1985      836.000000
    20     6  1985      817.000000
    21     6  1985      786.000000
    22     6  1985      758.000000
    23     6  1985      764.000000
    24     6  1985      790.000000
    25     6  1985      820.000000
    26     6  1985      851.000000
    27     6  1985      876.000000
    28     6  1985      887.000000
    29     6  1985      894.000000
    30     6  1985      892.000000
     1     7  1985      881.000000
     2     7  1985      873.000000
     3     7  1985      864.000000
     4     7  1985      858.000000
     5     7  1985      854.000000
     6     7  1985      850.000000
     7     7  1985      879.000000
     8     7  1985      896.000000
     9     7  1985      910.000000
    10     7  1985      929.000000
    11     7  1985      946.000000
    12     7  1985      964.000000
    13     7  1985      976.000000
    14     7  1985      980.000000
    15     7  1985      972.000000
    16     7  1985      961.000000
    17     7  1985      942.000000
    18     7  1985      944.000000
    19     7  1985      956.000000
    20     7  1985      966.000000
    21     7  1985      964.000000
    22     7  1985      946.000000
    23     7  1985      925.000000
    24     7  1985      898.000000
    25     7  1985      860.000000
    26     7  1985      815.000000
    27     7  1985      752.000000
    28     7  1985      711.000000
    29     7  1985      669.000000
    30     7  1985      642.000000
    31     7  1985      622.000000
     1     8  1985      618.000000
