MANAUS	-60.027	-3.137
     6     3  1984     2474.000000
     7     3  1984     2481.000000
     8     3  1984     2488.000000
     9     3  1984     2494.000000
    10     3  1984     2499.000000
    11     3  1984     2504.000000
    12     3  1984     2508.000000
    13     3  1984     2512.000000
    14     3  1984     2517.000000
    15     3  1984     2522.000000
    16     3  1984     2526.000000
    17     3  1984     2530.000000
    18     3  1984     2535.000000
    19     3  1984     2540.000000
    20     3  1984     2544.000000
    21     3  1984     2549.000000
    22     3  1984     2554.000000
    23     3  1984     2558.000000
    24     3  1984     2561.000000
    25     3  1984     2564.000000
    26     3  1984     2566.000000
    27     3  1984     2569.000000
    28     3  1984     2571.000000
    29     3  1984     2574.000000
    30     3  1984     2576.000000
    31     3  1984     2578.000000
     1     4  1984     2580.000000
     2     4  1984     2582.000000
     3     4  1984     2585.000000
     4     4  1984     2586.000000
     5     4  1984     2587.000000
     6     4  1984     2588.000000
     7     4  1984     2589.000000
     8     4  1984     2590.000000
     9     4  1984     2591.000000
    10     4  1984     2592.000000
    11     4  1984     2594.000000
    12     4  1984     2595.000000
    13     4  1984     2597.000000
    14     4  1984     2599.000000
    15     4  1984     2600.000000
    16     4  1984     2601.000000
    17     4  1984     2604.000000
    18     4  1984     2607.000000
    19     4  1984     2610.000000
    20     4  1984     2613.000000
    21     4  1984     2616.000000
    22     4  1984     2619.000000
    23     4  1984     2622.000000
    24     4  1984     2627.000000
    25     4  1984     2632.000000
    26     4  1984     2636.000000
    27     4  1984     2640.000000
    28     4  1984     2645.000000
    29     4  1984     2651.000000
    30     4  1984     2657.000000
     1     5  1984     2663.000000
     2     5  1984     2668.000000
     3     5  1984     2672.000000
     4     5  1984     2676.000000
     5     5  1984     2680.000000
     6     5  1984     2683.000000
     7     5  1984     2686.000000
     8     5  1984     2691.000000
     9     5  1984     2696.000000
    10     5  1984     2701.000000
    11     5  1984     2705.000000
    12     5  1984     2709.000000
    13     5  1984     2713.000000
    14     5  1984     2717.000000
    15     5  1984     2721.000000
    16     5  1984     2725.000000
    17     5  1984     2729.000000
    18     5  1984     2733.000000
    19     5  1984     2737.000000
    20     5  1984     2740.000000
    21     5  1984     2743.000000
    22     5  1984     2747.000000
    23     5  1984     2750.000000
    24     5  1984     2754.000000
    25     5  1984     2757.000000
    26     5  1984     2760.000000
    27     5  1984     2763.000000
    28     5  1984     2766.000000
    29     5  1984     2766.000000
    30     5  1984     2767.000000
    31     5  1984     2769.000000
     1     6  1984     2771.000000
     2     6  1984     2773.000000
     3     6  1984     2775.000000
     4     6  1984     2778.000000
     5     6  1984     2779.000000
     6     6  1984     2780.000000
     7     6  1984     2781.000000
     8     6  1984     2785.000000
     9     6  1984     2787.000000
    10     6  1984     2789.000000
    11     6  1984     2791.000000
    12     6  1984     2793.000000
    13     6  1984     2795.000000
    14     6  1984     2797.000000
    15     6  1984     2799.000000
    16     6  1984     2801.000000
    17     6  1984     2802.000000
    18     6  1984     2803.000000
    19     6  1984     2803.000000
    20     6  1984     2803.000000
    21     6  1984     2803.000000
    22     6  1984     2803.000000
    23     6  1984     2803.000000
    24     6  1984     2802.000000
    25     6  1984     2801.000000
    26     6  1984     2801.000000
    27     6  1984     2801.000000
    28     6  1984     2800.000000
    29     6  1984     2799.000000
    30     6  1984     2798.000000
     1     7  1984     2797.000000
     2     7  1984     2797.000000
     3     7  1984     2796.000000
     4     7  1984     2795.000000
     5     7  1984     2794.000000
     6     7  1984     2792.000000
     7     7  1984     2790.000000
     8     7  1984     2789.000000
     9     7  1984     2788.000000
    10     7  1984     2787.000000
    11     7  1984     2785.000000
    12     7  1984     2782.000000
    13     7  1984     2779.000000
    14     7  1984     2776.000000
    15     7  1984     2774.000000
    16     7  1984     2772.000000
    17     7  1984     2770.000000
    18     7  1984     2767.000000
    19     7  1984     2764.000000
    20     7  1984     2762.000000
    21     7  1984     2760.000000
    22     7  1984     2758.000000
    23     7  1984     2755.000000
    24     7  1984     2751.000000
    25     7  1984     2747.000000
    26     7  1984     2744.000000
    27     7  1984     2741.000000
    28     7  1984     2738.000000
    29     7  1984     2734.000000
    30     7  1984     2730.000000
    31     7  1984     2726.000000
     1     8  1984     2722.000000
     2     8  1984     2716.000000
     3     8  1984     2712.000000
     4     8  1984     2708.000000
     5     8  1984     2704.000000
     6     8  1984     2700.000000
     7     8  1984     2695.000000
     8     8  1984     2690.000000
     9     8  1984     2685.000000
    10     8  1984     2679.000000
    11     8  1984     2673.000000
    12     8  1984     2667.000000
    13     8  1984     2660.000000
    14     8  1984     2654.000000
    15     8  1984     2648.000000
    16     8  1984     2642.000000
    17     8  1984     2637.000000
    18     8  1984     2629.000000
    19     8  1984     2620.000000
    20     8  1984     2611.000000
    21     8  1984     2597.000000
    22     8  1984     2587.000000
    23     8  1984     2577.000000
    24     8  1984     2569.000000
    25     8  1984     2561.000000
    26     8  1984     2553.000000
    27     8  1984     2545.000000
    28     8  1984     2536.000000
    29     8  1984     2527.000000
    30     8  1984     2517.000000
    31     8  1984     2507.000000
     1     9  1984     2494.000000
     2     9  1984     2481.000000
     3     9  1984     2468.000000
     4     9  1984     2462.000000
     5     9  1984     2457.000000
     6     9  1984     2452.000000
     7     9  1984     2443.000000
     8     9  1984     2434.000000
     9     9  1984     2424.000000
    10     9  1984     2414.000000
    11     9  1984     2405.000000
    12     9  1984     2395.000000
    13     9  1984     2385.000000
    14     9  1984     2375.000000
    15     9  1984     2365.000000
    16     9  1984     2356.000000
    17     9  1984     2347.000000
    18     9  1984     2337.000000
    19     9  1984     2326.000000
    20     9  1984     2316.000000
    21     9  1984     2305.000000
    22     9  1984     2294.000000
    23     9  1984     2283.000000
    24     9  1984     2272.000000
    25     9  1984     2261.000000
    26     9  1984     2251.000000
    27     9  1984     2240.000000
    28     9  1984     2229.000000
    29     9  1984     2219.000000
    30     9  1984     2209.000000
     1    10  1984     2199.000000
     2    10  1984     2190.000000
     3    10  1984     2180.000000
     4    10  1984     2170.000000
     5    10  1984     2161.000000
     6    10  1984     2148.000000
     7    10  1984     2135.000000
     8    10  1984     2122.000000
     9    10  1984     2109.000000
    10    10  1984     2094.000000
    11    10  1984     2080.000000
    12    10  1984     2068.000000
    13    10  1984     2058.000000
    14    10  1984     2048.000000
    15    10  1984     2038.000000
    16    10  1984     2028.000000
    17    10  1984     2016.000000
    18    10  1984     2009.000000
    19    10  1984     2004.000000
    20    10  1984     1998.000000
    21    10  1984     1991.000000
    22    10  1984     1984.000000
    23    10  1984     1978.000000
    24    10  1984     1972.000000
    25    10  1984     1968.000000
    26    10  1984     1964.000000
    27    10  1984     1962.000000
    28    10  1984     1961.000000
    29    10  1984     1960.000000
    30    10  1984     1959.000000
    31    10  1984     1958.000000
     1    11  1984     1958.000000
     2    11  1984     1959.000000
     3    11  1984     1960.000000
     4    11  1984     1962.000000
     5    11  1984     1964.000000
     6    11  1984     1966.000000
     7    11  1984     1970.000000
     8    11  1984     1975.000000
     9    11  1984     1980.000000
    10    11  1984     1985.000000
    11    11  1984     1989.000000
    12    11  1984     1993.000000
    13    11  1984     1997.000000
