CARACARAÍ	-61.124	1.821
    25     7  1984      619.000000
    26     7  1984      613.000000
    27     7  1984      619.000000
    28     7  1984      624.000000
    29     7  1984      632.000000
    30     7  1984      649.000000
    31     7  1984      665.000000
     1     8  1984      676.000000
     2     8  1984      681.000000
     3     8  1984      677.000000
     4     8  1984      666.000000
     5     8  1984      654.000000
     6     8  1984      642.000000
     7     8  1984      612.000000
     8     8  1984      571.000000
     9     8  1984      522.000000
    10     8  1984      474.000000
    11     8  1984      462.000000
    12     8  1984      454.000000
    13     8  1984      465.000000
    14     8  1984      474.000000
    15     8  1984      483.000000
    16     8  1984      492.000000
    17     8  1984      504.000000
    18     8  1984      518.000000
    19     8  1984      524.000000
    20     8  1984      533.000000
    21     8  1984      528.000000
    22     8  1984      518.000000
    23     8  1984      513.000000
    24     8  1984      514.000000
    25     8  1984      513.000000
    26     8  1984      472.000000
    27     8  1984      439.000000
    28     8  1984      413.000000
    29     8  1984      389.000000
    30     8  1984      382.000000
    31     8  1984      406.000000
     1     9  1984      441.000000
     2     9  1984      460.000000
     3     9  1984      473.000000
     4     9  1984      479.000000
     5     9  1984      497.000000
     6     9  1984      514.000000
     7     9  1984      525.000000
     8     9  1984      533.000000
     9     9  1984      542.000000
    10     9  1984      551.000000
    11     9  1984      559.000000
    12     9  1984      566.000000
    13     9  1984      572.000000
    14     9  1984      580.000000
    15     9  1984      571.000000
    16     9  1984      557.000000
    17     9  1984      545.000000
    18     9  1984      532.000000
    19     9  1984      509.000000
    20     9  1984      474.000000
    21     9  1984      460.000000
    22     9  1984      448.000000
    23     9  1984      431.000000
    24     9  1984      427.000000
    25     9  1984      419.000000
    26     9  1984      414.000000
    27     9  1984      409.000000
    28     9  1984      402.000000
    29     9  1984      396.000000
    30     9  1984      385.000000
     1    10  1984      375.000000
     2    10  1984      365.000000
     3    10  1984      356.000000
     4    10  1984      348.000000
     5    10  1984      339.000000
     6    10  1984      330.000000
     7    10  1984      320.000000
     8    10  1984      311.000000
     9    10  1984      300.000000
    10    10  1984      291.000000
    11    10  1984      281.000000
    12    10  1984      275.000000
    13    10  1984      271.000000
    14    10  1984      267.000000
    15    10  1984      263.000000
    16    10  1984      259.000000
    17    10  1984      252.000000
    18    10  1984      245.000000
    19    10  1984      238.000000
    20    10  1984      231.000000
    21    10  1984      227.000000
    22    10  1984      223.000000
    23    10  1984      219.000000
    24    10  1984      214.000000
    25    10  1984      209.000000
    26    10  1984      208.000000
    27    10  1984      221.000000
    28    10  1984      229.000000
    29    10  1984      237.000000
    30    10  1984      244.000000
    31    10  1984      251.000000
     1    11  1984      254.000000
     2    11  1984      257.000000
     3    11  1984      266.000000
     4    11  1984      301.000000
     5    11  1984      336.000000
     6    11  1984      334.000000
     7    11  1984      315.000000
     8    11  1984      294.000000
     9    11  1984      287.000000
    10    11  1984      300.000000
    11    11  1984      340.000000
    12    11  1984      389.000000
    13    11  1984      405.000000
    14    11  1984      395.000000
    15    11  1984      377.000000
    16    11  1984      363.000000
    17    11  1984      356.000000
    18    11  1984      354.000000
    19    11  1984      371.000000
    20    11  1984      384.000000
    21    11  1984      377.000000
    22    11  1984      350.000000
    23    11  1984      329.000000
    24    11  1984      307.000000
    25    11  1984      299.000000
    26    11  1984      279.000000
    27    11  1984      261.000000
    28    11  1984      242.000000
    29    11  1984      228.000000
    30    11  1984      212.000000
     1    12  1984      201.000000
     2    12  1984      191.000000
     3    12  1984      180.000000
     4    12  1984      171.000000
     5    12  1984      165.000000
     6    12  1984      156.000000
     7    12  1984      149.000000
     8    12  1984      144.000000
     9    12  1984      138.000000
    10    12  1984      130.000000
    11    12  1984      122.000000
    12    12  1984      115.000000
    13    12  1984      109.000000
    14    12  1984      115.000000
    15    12  1984      124.000000
    16    12  1984      134.000000
    17    12  1984      145.000000
    18    12  1984      158.000000
    19    12  1984      168.000000
    20    12  1984      179.000000
    21    12  1984      190.000000
    22    12  1984      200.000000
    23    12  1984      210.000000
    24    12  1984      224.000000
    25    12  1984      237.000000
    26    12  1984      244.000000
    27    12  1984      250.000000
    28    12  1984      258.000000
    29    12  1984      263.000000
    30    12  1984      269.000000
    31    12  1984      276.000000
     1     1  1985      281.000000
     2     1  1985      285.000000
     3     1  1985      290.000000
     4     1  1985      293.000000
     5     1  1985      280.000000
     6     1  1985      257.000000
     7     1  1985      245.000000
     8     1  1985      233.000000
     9     1  1985      223.000000
    10     1  1985      211.000000
    11     1  1985      199.000000
    12     1  1985      194.000000
    13     1  1985      222.000000
    14     1  1985      240.000000
    15     1  1985      258.000000
    16     1  1985      263.000000
    17     1  1985      257.000000
    18     1  1985      242.000000
    19     1  1985      221.000000
    20     1  1985      203.000000
    21     1  1985      194.000000
    22     1  1985      179.000000
    23     1  1985      168.000000
    24     1  1985      148.000000
    25     1  1985      141.000000
    26     1  1985      136.000000
    27     1  1985      131.000000
    28     1  1985      129.000000
    29     1  1985      126.000000
    30     1  1985      123.000000
    31     1  1985      120.000000
     1     2  1985      118.000000
     2     2  1985      114.000000
     3     2  1985      111.000000
