SANTOANTÔNIODOIÇÁ	-67.933	-3.083
     4     6  1984     1268.000000
     5     6  1984     1265.000000
     6     6  1984     1260.000000
     7     6  1984     1257.000000
     8     6  1984     1253.000000
     9     6  1984     1247.000000
    10     6  1984     1242.000000
    11     6  1984     1237.000000
    12     6  1984     1233.000000
    13     6  1984     1229.000000
    14     6  1984     1225.000000
    15     6  1984     1220.000000
    16     6  1984     1214.000000
    17     6  1984     1209.000000
    18     6  1984     1205.000000
    19     6  1984     1200.000000
    20     6  1984     1194.000000
    21     6  1984     1182.000000
    22     6  1984     1174.000000
    23     6  1984     1168.000000
    24     6  1984     1163.000000
    25     6  1984     1158.000000
    26     6  1984     1155.000000
    27     6  1984     1150.000000
    28     6  1984     1145.000000
    29     6  1984     1140.000000
    30     6  1984     1136.000000
     1     7  1984     1132.000000
     2     7  1984     1127.000000
     3     7  1984     1122.000000
     4     7  1984     1117.000000
     5     7  1984     1114.000000
     6     7  1984     1111.000000
     7     7  1984     1107.000000
     8     7  1984     1100.000000
     9     7  1984     1092.000000
    10     7  1984     1088.000000
    11     7  1984     1083.000000
    12     7  1984     1079.000000
    13     7  1984     1075.000000
    14     7  1984     1071.000000
    15     7  1984     1067.000000
    16     7  1984     1062.000000
    17     7  1984     1058.000000
    18     7  1984     1052.000000
    19     7  1984     1044.000000
    20     7  1984     1033.000000
    21     7  1984     1022.000000
    22     7  1984     1010.000000
    23     7  1984      998.000000
    24     7  1984      986.000000
    25     7  1984      972.000000
    26     7  1984      960.000000
    27     7  1984      946.000000
    28     7  1984      934.000000
    29     7  1984      923.000000
    30     7  1984      914.000000
    31     7  1984      905.000000
     1     8  1984      894.000000
     2     8  1984      881.000000
     3     8  1984      866.000000
     4     8  1984      852.000000
     5     8  1984      838.000000
     6     8  1984      818.000000
     7     8  1984      793.000000
     8     8  1984      763.000000
     9     8  1984      736.000000
    10     8  1984      713.000000
    11     8  1984      686.000000
    12     8  1984      663.000000
    13     8  1984      634.000000
